EventId,EventTemplate,Occurrences
513018c0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed = false, startingMoved = false, isRelaunching = false",1
6d75b0da,"acquire lock=<*>, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=<*>, pid=<*>",1
f2eb9306,"ready=true,policy=<*>,wakefulness=<*>,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",3
3adeb30a,Skipping <*> <*> <*> u0 <*> t761}}} -- going to hide,4
ae0e6d6d,visible is <*>,3
168e62e2,mVisiblity.getValue is false,5
9042ff8a,visible is <*> gt <*>,2
9486be24,"release:lock=<*>, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=<*>, pid=<*>",1
86870f3b,"updateClipping <*> getTopPadding=<*>.<*>, Translation=<*>.<*>",65
d6169692,updateDimmedActivatedHideSensitive <*>,65
7bf44fc6,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
c2f45aa5,"release:lock=<*>, flg=0x0, <*> <*> <*> uid=<*>, pid=<*>",25
16d71e57,"setSystemUiVisibility <*> <*> <*> <*> <*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",200
3c2ee2af,cancelAutohide,15
efe402c7,<*> SystemUiVisibility=0x<*>,16
3121505a,Destroying surface Surface(name=SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked:<*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow:<*> com.android.server.wm.Session.performDeferredDestroy:<*> android.view.IWindowSession$Stub.onTransact:<*> com.android.server.wm.Session.onTransact:<*> android.os.Binder.execTransact:<*> <bottom of call stack> <bottom of call stack>,1
db5098bd,Destroying surface <*> called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.destroyOrSaveSurface:<*> <*> <*> <*> <*> <*>,10
9f91cc67,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, <*> uid=<*>",69
5cb1a72a,"ready=true,policy=<*>,wakefulness=<*>,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",100
748b2271,"orientation change is complete, call stopFreezingDisplayLocked",1
fd69041a,Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},1
fc3ab7b2,startAnimation <*>,2
ec22a815,<*> <*> <*> broadcastIntent}}) changed bounds; rebatching,2
dff63344,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
e9fc9238,"Application requested orientation <*>, got rotation <*> which has compatible metrics",3
85ee7ba2,"acquire lock=<*>, flags=0x1, <*> <*> <*> uid=<*>, pid=<*>",25
78791997,shouldBlockLocation running ...,37
37b6a779,shouldBlockLocation <*>,37
8e08c680,getNeighboringCellInfo calling app is com.amap.android.ams,5
0cc0841c,"ready=true,policy=<*>,wakefulness=<*>,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",96
bcab3745,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
7d72c8fc,HBM <*> =<*>,170
1b7a0525,"Animating brightness: target=<*>, rate=<*>",85
482e1e93,suspendAutohide,23
