EventId,EventTemplate,Occurrences
b72a0c97,DisplayPowerStatesetColorFadeLevel: level=<*>.<*>,8
e55c594d,"action:<*>, mPermissionType:<*>",25
1b7a0525,"Animating brightness: target=<*>, rate=<*>",33
0df25095,"DisplayPowerController updatePowerState mPendingRequestLocked=policy=BRIGHT, useProximitySensor=true, useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=-<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=-<*>, userId=<*>",20
3e42a09f,DisplayPowerState Updating screen state: <*> backlight=<*>,15
3f269dfa,back light level before map = <*>,8
a0c3dfa8,onScreenTurnedOn(),8
a13696e2,Display ready!,8
cd1c1993,Finished business...,8
8bd6e539,Caller checkPermission fail,17
35cd872e,KGSvcCall onScreenTurnedOn.,4
9d671f2e,notifyScreenTurnedOn,4
4365b7b7,handleNotifyScreenTurnedOn,4
468e6ee8,onScreenTurnedOn,4
9cc510ac,getNextIndex: <*>; from <*> to <*>; size: <*>,4
2f4476c6,report msg is :{picture: <*>},4
21be4fb5,"report result = falsereport type:<*> msg:{picture: <*>, channelId: <*>}",4
6a13b071,Screen already turned on at: <*>,4
b1ffc7b2,Split enqueueing broadcast [callerApp]:ProcessRecord{<*> <*>,25
c5afc1ed,EventCenter Get :<*>,5
a797a27a,Get no-perm notification callback <*>,7
61e46442,ScreenState present,4
f4aaa700,<*>|upDateHealthNotification()|<*>|<*>.<*>|<*>,5
434f4f20,ITrafficInfo:ITrafficInfo create 301updateBytes = <*>,7
29cf7af1,<*>|rebuild notification,5
afa3e515,ContentChange for slot: <*>,18
cff1c62f,onChange selfChange:false uri.toString():content:/<*> mIsObserveAutoBrightnessChange:true,6
661fcf50,"case xxx, not a fingerprint unlock",4
2bd0bdb0,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",37
b8ad1fcd,"PowerManagerNotifier onWakefulnessChangeFinished mInteractiveChanging=true, <*>",7
3130d210,"APS brightness=<*>.<*>,ConvertToPercentage=<*>.<*>",3
b38592a8,getSeekBarProgress isAutoMode:true current brightness:<*> <*>,6
f54b641a,updateSlider1 seekBarProgress:<*>,6
d781f074,updateSlider2 seekBarProgress:<*>,6
21a28837,mSeekListener onProgressChanged progress:<*> fromUser:false,12
af1a6af9,msg = <*> received,7
ea42efea,enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=null sound=null defaults=<*> flags=<*> color=<*> vis=PRIVATE),5
a69523ee,enqueueNotificationInternal: n.getKey = <*>|<*>|<*>|null|<*>,9
d4b8d889,"presently, hw_update_color_temp_for_rg_led interface not achieved.",8
b433dc0c,DialpadFragment mBroadcastReceiver action:<*>,7
cf0e8cca,InCallActivity - mScreenOnReceiver mCallEndOptionsDialog = null,4
f96ce7bc,disableEffects=null canInterrupt=false once update: false,9
861c9a3c,"onNotificationPosted: StatusBarNotification(pkg=<*> user=UserHandle{<*>} id=<*> tag=null key=<*>|<*>|<*>|null|<*>: Notification(pri=<*> contentView=null vibrate=null sound=null defaults=<*> flags=<*> color=<*> vis=PRIVATE)) important=<*>, post=<*>, when=<*>, vis=<*>, userid=<*>",5
4933f370,updateNotification(StatusBarNotification(pkg=<*> user=UserHandle{<*>} id=<*> tag=null key=<*>|<*>|<*>|null|<*>: Notification(pri=<*> contentView=null vibrate=null sound=null defaults=<*> flags=<*> color=<*> vis=PRIVATE))),5
02c4d19b,Create obj success use class <*>,46
04bbd147,updateTint: tint=<*>,22
738eb9b7,No peeking: unimportant notification: <*>|<*>|<*>|null|<*>,9
220146c6,applyInPlace=true shouldPeek=false alertAgain=true,5
a13c983e,onEntryUpdated:<*>|<*>|<*>|null|<*>,5
ff7c1265,"onEntryAdded:<*>|<*>|<*>|null|<*>, group=<*>|<*>|<*>|null|<*>",9
d2994755,reusing notification for key: <*>|<*>|<*>|null|<*>,5
4d6d94b7,RetryTaskController:mTaskList is null,3
06327cf8,updateNotificationShade,24
99e75217,removeNotificationChildren,12
b4f7e619,showNotificationAll,12
95b24769,main{<*>} PushService.onStartCommand(PushService.java:<*>) Push Service Start by userEvent,4
256a6cba,uid:<*> pid:<*> PhoneStateListener.LISTEN_CELL_LOCATION:<*> events:<*>,7
49908fb9,LISTEN_CELL_LOCATION uid:<*>,4
1bb149e2,WatchThread{<*>} TcpCirChannel.shutdown(TcpCirChannel.java:<*>) Login_By_Step-> shut down now connect,4
f2bee63d,WatchThread{<*>} TcpClient.clearAll(TcpClient.java:<*>) ==================== TCP CLIENT CLEAR ALL ====================,8
35c7a856,WatchThread{<*>} TcpClient.disconnect_i(TcpClient.java:<*>) ==================== TCP CLIENT DISCONNECT ====================,4
76e26663,"[Thermal_Hw] temperature_valid, battery : temperature is invalid, invalid temperatrue is <*>",2
dd89ff5c,"[Thermal_Hw] temperature_filter: get invalid temperature, use old temp",2
595fa32b,transferRemoteInputFocus: <*>,19
