LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,[Sun,Dec,04,05:15:09,2005] [error] [client 222.166.160.184] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
2,[Sun,Dec,04,07:45:45,2005] [error] [client 63.13.186.196] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
3,[Sun,Dec,04,08:54:17,2005] [error] [client 147.31.138.75] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
4,[Sun,Dec,04,09:35:12,2005] [error] [client 207.203.80.15] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
5,[Sun,Dec,04,10:53:30,2005] [error] [client 218.76.139.20] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
6,[Sun,Dec,04,11:11:07,2005] [error] [client 24.147.151.74] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
7,[Sun,Dec,04,11:33:18,2005] [error] [client 211.141.93.88] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
8,[Sun,Dec,04,11:42:43,2005] [error] [client 216.127.124.16] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
9,[Sun,Dec,04,12:33:13,2005] [error] [client 208.51.151.210] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
10,[Sun,Dec,04,13:32:32,2005] [error] [client 65.68.235.27] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
11,[Sun,Dec,04,14:29:00,2005] [error] [client 4.245.93.87] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
12,[Sun,Dec,04,15:18:36,2005] [error] [client 67.154.58.130] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
13,[Sun,Dec,04,15:59:01,2005] [error] [client 24.83.37.136] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
14,[Sun,Dec,04,16:24:05,2005] [error] [client 58.225.62.140] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
15,[Sun,Dec,04,17:34:57,2005] [error] [client 61.138.216.82] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
16,[Sun,Dec,04,17:53:43,2005] [error] [client 218.39.132.175] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
17,[Sun,Dec,04,18:24:22,2005] [error] [client 125.30.38.52] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
18,[Sun,Dec,04,19:36:05,2005] [error] [client 61.37.222.240] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
19,[Mon,Dec,05,01:04:31,2005] [error] [client 218.62.18.218] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
20,[Mon,Dec,05,01:30:32,2005] [error] [client 211.62.201.48] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
21,[Mon,Dec,05,03:23:24,2005] [error] [client 218.207.61.7] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
22,[Mon,Dec,05,03:44:50,2005] [error] [client 168.20.198.21] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
23,[Mon,Dec,05,06:36:59,2005] [error] [client 221.232.178.24] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
24,[Mon,Dec,05,09:09:48,2005] [error] [client 207.12.15.211] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
25,[Mon,Dec,05,10:26:39,2005] [error] [client 141.153.150.164] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
26,[Mon,Dec,05,10:28:44,2005] [error] [client 198.232.168.9] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
27,[Mon,Dec,05,10:48:48,2005] [error] [client 67.166.248.235] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
28,[Mon,Dec,05,14:11:43,2005] [error] [client 141.154.18.244] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
29,[Mon,Dec,05,16:45:04,2005] [error] [client 216.216.185.130] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
30,[Mon,Dec,05,17:31:39,2005] [error] [client 218.75.106.250] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
31,[Mon,Dec,05,19:00:56,2005] [error] [client 68.228.3.15] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
32,[Mon,Dec,05,19:14:09,2005] [error] [client 61.220.139.68] Directory index forbidden by rule,/var/www/html/,7da51544,/var/www/html/,[]
