LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,081109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_38865049064139660']"
2,081109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_41568866430030969 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_41568866430030969']"
3,081109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_46350609966048381 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_46350609966048381']"
4,081109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_69404109586036863 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_69404109586036863']"
5,081109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_46050499631683068 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_46050499631683068']"
6,081109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_-6952295868487656571']"
7,081109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_5652747-858966592816 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_5652747-858966592816']"
8,081109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_7796468559628815-256 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_7796468559628815-256']"
9,081109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_794872566859216-5658 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_794872566859216-5658']"
10,081109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_14672562557588869-69 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_14672562557588869-69']"
11,081109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.73.220:50010', 'blk_7128370237687728475', '67108864']"
12,081109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_2872475878777231063 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.73.220:50010', 'blk_2872475878777231063', '67108864']"
13,081109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_3268787871770743252 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.73.220:50010', 'blk_3268787871770743252', '67108864']"
14,081109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7308731524772772688 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.73.220:50010', 'blk_7308731524772772688', '67108864']"
15,081109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_4687377782751372280 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.73.220:50010', 'blk_4687377782751372280', '67108864']"
16,081109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_8229193803249955061']"
17,081109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_2853990942301129568 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_2853990942301129568']"
18,081109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_9921251904362395880 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_9921251904362395880']"
19,081109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_5960280312893514992 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_5960280312893514992']"
20,081109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_9532182300649291958 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_9532182300649291958']"
21,081109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_-6670958622368987959']"
22,081109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_56865-97989796220863 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_56865-97989796220863']"
23,081109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8970-659652968982736 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_8970-659652968982736']"
24,081109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_88365702862999795-66 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_88365702862999795-66']"
25,081109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_0959867729863865296- terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_0959867729863865296-']"
26,081109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.43.115:50010', 'blk_3050920587428079149', '67108864']"
27,081109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_4509843720901987025 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.43.115:50010', 'blk_4509843720901987025', '67108864']"
28,081109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_5259038007278901449 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.43.115:50010', 'blk_5259038007278901449', '67108864']"
29,081109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_9091045037480752892 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.43.115:50010', 'blk_9091045037480752892', '67108864']"
30,081109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_0445582890109972730 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.43.115:50010', 'blk_0445582890109972730', '67108864']"
31,081109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.203.80:50010', 'blk_7888946331804732825', '67108864']"
32,081109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_3877180283963244858 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.203.80:50010', 'blk_3877180283963244858', '67108864']"
33,081109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_8837120786843384952 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.203.80:50010', 'blk_8837120786843384952', '67108864']"
34,081109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_8412888336749370285 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.203.80:50010', 'blk_8412888336749370285', '67108864']"
35,081109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_4883306734188522897 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.203.80:50010', 'blk_4883306734188522897', '67108864']"
36,081109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.250.11.85:50010', 'blk_2377150260128098806', '67108864']"
37,081109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_3790158200868620271 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.250.11.85:50010', 'blk_3790158200868620271', '67108864']"
38,081109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2688300011057292768 size 67108864,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.250.11.85:50010', 'blk_2688300011057292768', '67108864']"
