EventId,EventTemplate,Occurrences
dc2c74b7,PacketResponder <*> for block <*> terminating,1555
5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,1570
46003790,Received block <*> of size <*> from /<*>,1460
bbb51b95,Receiving block <*> src: /<*> dest: /<*>,1460
3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,575
32777b38,Verification succeeded for <*>,100
dba996ef,Deleting block <*> file <*>,1315
4dec0816,<*> Served block <*> to /<*>,400
a333d363,<*>:Got exception while serving <*> to /<*>:,400
d63ef163,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,1120
40651754,<*> Starting thread to transfer block <*> to <*>,5
04137b95,BLOCK* ask <*> to delete <*>,10
68a0b1bc,Received block <*> src: /<*> dest: /<*> of size 67108864,10
98012f03,BLOCK* ask <*> to delete <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
cea5619a,BLOCK* ask <*> to delete <*>-864878947879007 <*>-585 <*>-967560376 <*> <*> <*> <*>-3592379636044 <*>-8529966015 <*> <*> <*>-8295222 <*> <*> <*>- <*>-473430697195 <*>-717797964255 <*>-9 <*> <*> <*>-86061 <*> <*> <*> <*>-24667 <*> <*> <*>-2 <*> <*>-77121848204072855 <*>-33198353 <*> <*>-884084074247038142 <*>-432400013131897 <*> <*>-40318668134116 <*>-230264637793137812 <*> <*> <*>-727760144296534773 <*> <*> <*> <*> <*> <*>-7871134327 <*>-45715665819400204 <*> <*> <*> <*> <*> <*>-956924 <*> <*>-0216792210976 <*> <*> <*>-976921802620501 <*> <*>-74369079397830 <*>-781291228533280 <*>-6335914993 <*>- <*>-2330024385504 <*>-980014579158885 <*> <*> <*>-586490246 <*>-3821 <*> <*> <*>-5401833051789 <*>-4822 <*> <*>-8558 <*> <*>-7019 <*>-9 <*> <*> <*> <*> <*>-151 <*> <*> <*>-328124104 <*>-234350 <*> <*> <*>-39410715 <*> <*>-053735452113528 <*>-51261291149 <*>-2794756204 <*>-320123658 <*> <*> <*>-882342824677479763 <*> <*> <*>-15876807,1
64266d6e,BLOCK* ask <*> to delete <*>-84571894876370 <*>-9551429434252007 <*> <*> <*> <*> <*>-26134658 <*>-323501835 <*> <*> <*>-2510096795225032 <*> <*> <*>-527900 <*>-379 <*>-79724742597001 <*> <*> <*> <*>-6504213141 <*> <*>-2042073146783983 <*> <*>-17 <*> <*> <*>-66612734310236 <*>-7 <*>-18028280775 <*>-635804581 <*> <*>-4047440128 <*>-74033184 <*> <*>-188303154 <*>-7 <*> <*> <*>-96767 <*> <*> <*> <*> <*> <*>-11 <*>-079 <*> <*> <*> <*> <*> <*>-01987 <*> <*>-2 <*> <*> <*>-5 <*> <*>-976043 <*>-236182875839 <*>-37553413949467 <*>-156347302 <*>-59285342408350835 <*>-0 <*> <*> <*>-844489283569 <*>-481 <*> <*> <*>-0877034905618 <*>-291 <*> <*>-9 <*> <*>-77 <*>-469 <*> <*> <*> <*> <*>-175016514266941 <*> <*> <*>-1108380530172443 <*>- <*> <*> <*>-146563057163 <*> <*>-04273 <*>-053219161464 <*>-02 <*>-8031492626842552 <*> <*> <*>-47774868 <*> <*> <*>-860275766317621,1
9ce628a2,BLOCK* ask <*> to delete <*>-79650178884397 <*>-87406209 <*>-7820475299 <*> <*> <*> <*>-682369531 <*>-32555509537 <*> <*> <*>-093178922 <*> <*> <*>-2 <*>-948371 <*>-9076527044 <*>-1 <*> <*> <*>- <*> <*>-447329716 <*> <*>-1576747332 <*> <*> <*>-62 <*>-49 <*>-742878380 <*>-5865634893043053 <*> <*>-00802274484 <*>-59 <*> <*>-188613350146109644 <*>-746219260521333 <*> <*> <*>-20726 <*> <*> <*> <*> <*> <*> <*>-9900756852446 <*> <*> <*> <*> <*> <*>-441 <*> <*>-062 <*> <*> <*>- <*> <*>-6993096730 <*>-3 <*> <*>-54527520724166 <*>-58245880045 <*>-05180551808898 <*> <*> <*>-464528884308 <*>-322621021275 <*> <*> <*>-78509814790 <*>-3258024303 <*> <*>-8964497488885 <*> <*>-671070 <*>-8664 <*> <*> <*> <*> <*>-6414964741125 <*> <*> <*>-821 <*> <*> <*> <*>-054760 <*> <*>-21418053709 <*>-414692032 <*>-29082404127156 <*>-32688 <*> <*> <*>- <*> <*> <*>-660668210376825,1
b39785e6,BLOCK* ask <*> to delete <*> <*>-231 <*>-906 <*> <*> <*> <*>-9373496979028156 <*>-55798593561 <*> <*> <*>-52 <*> <*> <*>-76329 <*>-433389739746038451 <*>-5975072 <*>-665126 <*> <*> <*>-0406 <*> <*>-020920246338 <*> <*>-307277375662714015 <*> <*> <*>-65627 <*>-23427 <*> <*>-50598813 <*> <*> <*>-035914108373421 <*> <*>-9 <*>-0531961487 <*> <*> <*>-5136 <*> <*> <*> <*> <*> <*>-73224471561 <*>-720094685591410 <*> <*> <*> <*> <*> <*>-74264 <*> <*>- <*> <*> <*>- <*> <*>-8 <*>-3072131259826 <*>-3734416996335465 <*>-5064536267723 <*>- <*>-870858895091481 <*> <*> <*>-8234884 <*>-556811842722 <*> <*> <*>-9368 <*>-05124790029432 <*> <*>-9885185489986 <*> <*>-67797 <*>-019441586 <*> <*> <*> <*> <*>-46166035571 <*> <*> <*>-4526701138124 <*>-79344638529872308 <*> <*> <*>-641903450356 <*> <*>-521543308817320 <*>-51449131293266061 <*>-047212429 <*>-32189425503425268 <*> <*> <*>-447886 <*> <*> <*>-686662110770,1
