EventId,EventTemplate,Occurrences
f7fe7f88,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,85
9302fad4,Invalid user <*> from <*>,142
6b674ff1,input_userauth_request: invalid user <*> [preauth],142
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,164
e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,139
21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,164
2491ca3e,Connection closed by <*> [preauth],37
2817a946,Received disconnect from <*>: 11: <*> <*> <*>,1034
066b4d3e,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= <*> <*>,991
f831cb6d,Failed password for <*> from <*> port <*> ssh2,991
4fbf66db,message repeated 5 times: [ Failed password for root from <*> port <*> ssh2],2
509a487f,Disconnecting: Too many authentication failures for <*> [preauth],3
216ab66c,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= <*> user=root,2
00a684b8,PAM service(sshd) ignoring max retries; <*> > 3,7
c926c7d9,Did not receive identification string from <*>,10
3a7285d3,error: Received disconnect from <*>: 3: <*>: Auth fail [preauth],2
e2e22af4,Received disconnect from <*>: 11: Closed due to user request. [preauth],7
2702de18,Failed none for invalid user <*> from <*> port <*> ssh2,4
6ff8b88b,PAM <*> more authentication <*> logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,8
d7242a1b,error: Received disconnect from <*>: 14: No more user authentication methods available. [preauth],60
bb75510d,Accepted password for fztu from <*> port 49116 ssh2,1
4ca88b08,pam_unix(sshd:session): session opened for user fztu by (uid=0),1
cfe22f2e,pam_unix(sshd:session): session closed for user fztu,1
f32f0642,fatal: Write failed: Connection reset by peer [preauth],1
a998e480,fatal: Read from socket failed: Connection reset by peer [preauth],2
