LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate,ParameterList
1,-,1131523501,2005.11.09,aadmin1,Nov,10,00:05:01,src@aadmin1,in.tftpd,14620,tftp: client does not accept options,c89a99ae,tftp: client does not accept options,[]
2,-,1131524071,2005.11.09,tbird-admin1,Nov,10,00:14:31,local@tbird-admin1,postfix/postdrop,10896,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
3,-,1131524073,2005.11.09,tbird-admin1,Nov,10,00:14:33,local@tbird-admin1,postfix/postdrop,10900,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
4,-,1131524106,2005.11.09,tbird-admin1,Nov,10,00:15:06,local@tbird-admin1,postfix/postdrop,10910,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
5,-,1131524107,2005.11.09,tbird-admin1,Nov,10,00:15:07,local@tbird-admin1,postfix/postdrop,10913,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
6,-,1131524196,2005.11.09,tbird-admin1,Nov,10,00:16:36,local@tbird-admin1,postfix/postdrop,10939,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
7,-,1131524197,2005.11.09,tbird-admin1,Nov,10,00:16:37,local@tbird-admin1,postfix/postdrop,10943,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
8,-,1131524199,2005.11.09,tbird-admin1,Nov,10,00:16:39,local@tbird-admin1,postfix/postdrop,10946,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
9,-,1131524201,2005.11.09,tbird-admin1,Nov,10,00:16:41,local@tbird-admin1,postfix/postdrop,10950,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
10,-,1131524202,2005.11.09,tbird-admin1,Nov,10,00:16:42,local@tbird-admin1,postfix/postdrop,10953,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
11,-,1131524287,2005.11.09,tbird-admin1,Nov,10,00:18:07,local@tbird-admin1,postfix/postdrop,10989,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
12,-,1131524290,2005.11.09,tbird-admin1,Nov,10,00:18:10,local@tbird-admin1,postfix/postdrop,10995,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
13,-,1131524290,2005.11.09,tbird-admin1,Nov,10,00:18:10,local@tbird-admin1,postfix/postdrop,10998,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
14,-,1131524291,2005.11.09,tbird-admin1,Nov,10,00:18:11,local@tbird-admin1,postfix/postdrop,11001,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
15,-,1131524292,2005.11.09,tbird-admin1,Nov,10,00:18:12,local@tbird-admin1,postfix/postdrop,11004,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
16,-,1131524292,2005.11.09,tbird-admin1,Nov,10,00:18:12,local@tbird-admin1,postfix/postdrop,11007,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
17,-,1131524293,2005.11.09,tbird-admin1,Nov,10,00:18:13,local@tbird-admin1,postfix/postdrop,11011,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
18,-,1131524400,2005.11.09,tbird-admin1,Nov,10,00:20:00,local@tbird-admin1,postfix/postdrop,11052,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
19,-,1131524901,2005.11.09,aadmin1,Nov,10,00:28:21,src@aadmin1,in.tftpd,22523,tftp: client does not accept options,c89a99ae,tftp: client does not accept options,[]
20,-,1131525909,2005.11.09,tbird-admin1,Nov,10,00:45:09,local@tbird-admin1,postfix/postdrop,11729,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
21,-,1131525911,2005.11.09,tbird-admin1,Nov,10,00:45:11,local@tbird-admin1,postfix/postdrop,11732,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
22,-,1131525912,2005.11.09,tbird-admin1,Nov,10,00:45:12,local@tbird-admin1,postfix/postdrop,11735,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
23,-,1131525912,2005.11.09,tbird-admin1,Nov,10,00:45:12,local@tbird-admin1,postfix/postdrop,11738,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
24,-,1131525913,2005.11.09,tbird-admin1,Nov,10,00:45:13,local@tbird-admin1,postfix/postdrop,11743,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
25,-,1131525914,2005.11.09,tbird-admin1,Nov,10,00:45:14,local@tbird-admin1,postfix/postdrop,11746,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
26,-,1131525997,2005.11.09,tbird-admin1,Nov,10,00:46:37,local@tbird-admin1,postfix/postdrop,11779,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
27,-,1131526000,2005.11.09,tbird-admin1,Nov,10,00:46:40,local@tbird-admin1,postfix/postdrop,11782,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
28,-,1131526004,2005.11.09,tbird-admin1,Nov,10,00:46:44,local@tbird-admin1,postfix/postdrop,11785,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
29,-,1131526086,2005.11.09,tbird-admin1,Nov,10,00:48:06,local@tbird-admin1,postfix/postdrop,11821,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
30,-,1131526092,2005.11.09,tbird-admin1,Nov,10,00:48:12,local@tbird-admin1,postfix/postdrop,11825,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
31,-,1131526092,2005.11.09,tbird-admin1,Nov,10,00:48:12,local@tbird-admin1,postfix/postdrop,11828,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
32,-,1131526092,2005.11.09,tbird-admin1,Nov,10,00:48:12,local@tbird-admin1,postfix/postdrop,11831,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
33,-,1131526092,2005.11.09,tbird-admin1,Nov,10,00:48:12,local@tbird-admin1,postfix/postdrop,11834,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
34,-,1131526092,2005.11.09,tbird-admin1,Nov,10,00:48:12,local@tbird-admin1,postfix/postdrop,11837,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
35,-,1131526200,2005.11.09,tbird-admin1,Nov,10,00:50:00,local@tbird-admin1,postfix/postdrop,11889,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
36,-,1131526304,2005.11.09,aadmin1,Nov,10,00:51:44,src@aadmin1,in.tftpd,1038,tftp: client does not accept options,c89a99ae,tftp: client does not accept options,[]
37,-,1131526848,2005.11.09,tbird-admin1,Nov,10,01:00:48,local@tbird-admin1,postfix/postdrop,12191,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
38,-,1131527670,2005.11.09,tbird-admin1,Nov,10,01:14:30,local@tbird-admin1,postfix/postdrop,12824,warning: unable to look up public/pickup: No such file or directory,25be66dc,warning: unable to look up public/pickup: No such file or directory,[]
