method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Drain,Android,2,0:00:00.758920,9.019435,1
Drain,Android,2,0:00:00.764406,9.019495,2
Drain,Android,2,0:00:00.755869,9.019427,3
Drain,Android,2,0:00:00.769428,9.019251,4
Drain,Android,2,0:00:00.771106,9.019504,5
Drain,Android,2,0:00:00.750622,9.018311,6
Drain,Android,2,0:00:00.784969,9.019495,7
Drain,Android,2,0:00:00.763574,9.019319,8
Drain,Android,2,0:00:00.759548,9.019813,9
Drain,Android,2,0:00:00.764058,9.019557,10
Drain,Android,4,0:00:01.251861,11.91528,1
Drain,Android,4,0:00:01.243715,11.914961,2
Drain,Android,4,0:00:01.343773,11.914965,3
Drain,Android,4,0:00:01.606503,11.914907,4
Drain,Android,4,0:00:01.462232,11.914782,5
Drain,Android,4,0:00:01.278170,11.914409,6
Drain,Android,4,0:00:01.412691,11.914898,7
Drain,Android,4,0:00:01.273827,11.915154,8
Drain,Android,4,0:00:01.343126,11.914912,9
Drain,Android,4,0:00:01.252917,11.914961,10
