method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Drain,SSH,2,0:00:00.498785,3.035248,1
Drain,SSH,2,0:00:00.483909,3.035761,2
Drain,SSH,2,0:00:00.511960,3.035809,3
Drain,SSH,2,0:00:00.491317,3.035935,4
Drain,SSH,2,0:00:00.504925,3.03562,5
Drain,SSH,2,0:00:00.498145,3.035809,6
Drain,SSH,2,0:00:00.493828,3.035824,7
Drain,SSH,2,0:00:00.487556,3.035683,8
Drain,SSH,2,0:00:00.505982,3.035756,9
Drain,SSH,2,0:00:00.542480,3.035683,10
Drain,SSH,4,0:00:01.043968,5.158492,1
Drain,SSH,4,0:00:01.052974,5.158996,2
Drain,SSH,4,0:00:01.063562,5.158429,3
Drain,SSH,4,0:00:01.029291,5.158691,4
Drain,SSH,4,0:00:01.025008,5.158551,5
Drain,SSH,4,0:00:01.020070,5.158744,6
Drain,SSH,4,0:00:00.985884,5.15887,7
Drain,SSH,4,0:00:01.001710,5.158933,8
Drain,SSH,4,0:00:01.025816,5.15887,9
Drain,SSH,4,0:00:01.016293,5.15887,10
