EventId,EventTemplate,Occurrences
b72a0c97,DisplayPowerStatesetColorFadeLevel: level=<*>.<*>,2
e55c594d,"action:<*>, mPermissionType:<*>",7
1b7a0525,"Animating brightness: target=<*>, rate=<*>",9
0df25095,"DisplayPowerController updatePowerState mPendingRequestLocked=policy=BRIGHT, useProximitySensor=true, useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=-<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, brightnessWaitMode=false, brightnessWaitRet=true, screenAutoBrightness=-<*>, userId=<*>",5
3e42a09f,DisplayPowerState Updating screen state: <*> backlight=<*>,4
3f269dfa,back light level before map = <*>,2
a0c3dfa8,onScreenTurnedOn(),2
a13696e2,Display ready!,2
cd1c1993,Finished business...,2
8bd6e539,Caller checkPermission fail,5
35cd872e,KGSvcCall onScreenTurnedOn.,1
9d671f2e,notifyScreenTurnedOn,1
4365b7b7,handleNotifyScreenTurnedOn,1
468e6ee8,onScreenTurnedOn,1
9cc510ac,getNextIndex: <*>; from <*> to <*>; size: <*>,1
2f4476c6,report msg is :{picture: <*>},1
21be4fb5,"report result = falsereport type:<*> msg:{picture: <*>, channelId: <*>}",1
6a13b071,Screen already turned on at: <*>,1
b1ffc7b2,Split enqueueing broadcast [callerApp]:ProcessRecord{<*> <*>,7
c5afc1ed,EventCenter Get :<*>,2
a797a27a,Get no-perm notification callback <*>,2
61e46442,ScreenState present,1
f4aaa700,<*>|upDateHealthNotification()|<*>|<*>.<*>|<*>,2
434f4f20,ITrafficInfo:ITrafficInfo create 301updateBytes = <*>,2
29cf7af1,<*>|rebuild notification,2
afa3e515,ContentChange for slot: <*>,6
cff1c62f,onChange selfChange:false uri.toString():content:/<*> mIsObserveAutoBrightnessChange:true,2
661fcf50,"case xxx, not a fingerprint unlock",1
2bd0bdb0,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",13
b8ad1fcd,"PowerManagerNotifier onWakefulnessChangeFinished mInteractiveChanging=true, <*>",2
3130d210,"APS brightness=<*>.<*>,ConvertToPercentage=<*>.<*>",1
b38592a8,getSeekBarProgress isAutoMode:true current brightness:<*> <*>,2
f54b641a,updateSlider1 seekBarProgress:<*>,2
d781f074,updateSlider2 seekBarProgress:<*>,2
21a28837,mSeekListener onProgressChanged progress:<*> fromUser:false,4
af1a6af9,msg = <*> received,2
ea42efea,enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=null sound=null defaults=<*> flags=<*> color=<*> vis=PRIVATE),2
a69523ee,enqueueNotificationInternal: n.getKey = <*>|<*>|<*>|null|<*>,3
d4b8d889,"presently, hw_update_color_temp_for_rg_led interface not achieved.",2
b433dc0c,DialpadFragment mBroadcastReceiver action:<*>,2
cf0e8cca,InCallActivity - mScreenOnReceiver mCallEndOptionsDialog = null,1
f96ce7bc,disableEffects=null canInterrupt=false once update: false,3
861c9a3c,"onNotificationPosted: StatusBarNotification(pkg=<*> user=UserHandle{<*>} id=<*> tag=null key=<*>|<*>|<*>|null|<*>: Notification(pri=<*> contentView=null vibrate=null sound=null defaults=<*> flags=<*> color=<*> vis=PRIVATE)) important=<*>, post=<*>, when=<*>, vis=<*>, userid=<*>",2
4933f370,updateNotification(StatusBarNotification(pkg=<*> user=UserHandle{<*>} id=<*> tag=null key=<*>|<*>|<*>|null|<*>: Notification(pri=<*> contentView=null vibrate=null sound=null defaults=<*> flags=<*> color=<*> vis=PRIVATE))),2
02c4d19b,Create obj success use class <*>,14
04bbd147,updateTint: tint=<*>,7
738eb9b7,No peeking: unimportant notification: <*>|<*>|<*>|null|<*>,3
220146c6,applyInPlace=true shouldPeek=false alertAgain=true,2
a13c983e,onEntryUpdated:<*>|<*>|<*>|null|<*>,2
ff7c1265,"onEntryAdded:<*>|<*>|<*>|null|<*>, group=<*>|<*>|<*>|null|<*>",3
d2994755,reusing notification for key: <*>|<*>|<*>|null|<*>,2
4d6d94b7,RetryTaskController:mTaskList is null,1
06327cf8,updateNotificationShade,6
99e75217,removeNotificationChildren,3
b4f7e619,showNotificationAll,3
95b24769,main{<*>} PushService.onStartCommand(PushService.java:<*>) Push Service Start by userEvent,1
256a6cba,uid:<*> pid:<*> PhoneStateListener.LISTEN_CELL_LOCATION:<*> events:<*>,2
49908fb9,LISTEN_CELL_LOCATION uid:<*>,1
1bb149e2,WatchThread{<*>} TcpCirChannel.shutdown(TcpCirChannel.java:<*>) Login_By_Step-> shut down now connect,1
f2bee63d,WatchThread{<*>} TcpClient.clearAll(TcpClient.java:<*>) ==================== TCP CLIENT CLEAR ALL ====================,2
35c7a856,WatchThread{<*>} TcpClient.disconnect_i(TcpClient.java:<*>) ==================== TCP CLIENT DISCONNECT ====================,1
76e26663,"[Thermal_Hw] temperature_valid, battery : temperature is invalid, invalid temperatrue is <*>",1
dd89ff5c,"[Thermal_Hw] temperature_filter: get invalid temperature, use old temp",1
595fa32b,transferRemoteInputFocus: <*>,7
958de38b,updateClipping isOverlap:false,2
b794132a,updateDimmedActivatedHideSensitive overlap:false,2
6fea91f2,[ACC]processReportInd: X: <*>.<*> Y: <*>.<*> Z: <*> x_offset:<*>.<*> y_offset:<*>.<*> z_offset:<*>.<*>,12
