LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,081109,203518,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.19.102:54106 dest: /10.250.19.102:50010,bbb51b95,Receiving block <*> src: /<*> dest: /<*>,"['blk_-1608999687919862906', '10.250.19.102:54106', '10.250.19.102:50010']"
2,081109,203518,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906']
3,081109,203519,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.10.6:40524 dest: /10.250.10.6:50010,bbb51b95,Receiving block <*> src: /<*> dest: /<*>,"['blk_-1608999687919862906', '10.250.10.6:40524', '10.250.10.6:50010']"
4,081109,203519,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.14.224:42420 dest: /10.250.14.224:50010,bbb51b95,Receiving block <*> src: /<*> dest: /<*>,"['blk_-1608999687919862906', '10.250.14.224:42420', '10.250.14.224:50010']"
5,081109,203519,145,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_-1608999687919862906 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_-1608999687919862906']"
6,081109,203519,145,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-1608999687919862906 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_-1608999687919862906']"
7,081109,203519,145,INFO,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.10.6,46003790,Received block <*> of size <*> from /<*>,"['blk_-1608999687919862906', '91178', '10.250.10.6']"
8,081109,203519,145,INFO,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.19.102,46003790,Received block <*> of size <*> from /<*>,"['blk_-1608999687919862906', '91178', '10.250.19.102']"
9,081109,203519,147,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-1608999687919862906 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_-1608999687919862906']"
10,081109,203519,147,INFO,dfs.DataNode$PacketResponder,Received block blk_-1608999687919862906 of size 91178 from /10.250.14.224,46003790,Received block <*> of size <*> from /<*>,"['blk_-1608999687919862906', '91178', '10.250.14.224']"
11,081109,203519,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862906 size 91178,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.250.10.6:50010', 'blk_-1608999687919862906', '91178']"
12,081109,203519,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.209:50010 is added to blk_-1608999687919862906 size 91178,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.111.209:50010', 'blk_-1608999687919862906', '91178']"
13,081109,203519,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.224:50010 is added to blk_-1608999687919862906 size 91178,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.250.14.224:50010', 'blk_-1608999687919862906', '91178']"
14,081109,203520,142,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.251.215.16:55695 dest: /10.251.215.16:50010,bbb51b95,Receiving block <*> src: /<*> dest: /<*>,"['blk_7503483334202473044', '10.251.215.16:55695', '10.251.215.16:50010']"
15,081109,203520,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.250.19.102:34232 dest: /10.250.19.102:50010,bbb51b95,Receiving block <*> src: /<*> dest: /<*>,"['blk_7503483334202473044', '10.250.19.102:34232', '10.250.19.102:50010']"
16,081109,203520,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.split. blk_7503483334202473044,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/mnt/hadoop/mapred/system/job_200811092030_0001/job.split. blk_7503483334202473044']
17,081109,203521,143,INFO,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010 of size 91178,fcebd192,Received block <*> src: /<*> dest: /<*> of size 91178,"['blk_-1608999687919862906', '10.251.215.16:52002', '10.251.215.16:50010']"
18,081109,203521,143,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010,bbb51b95,Receiving block <*> src: /<*> dest: /<*>,"['blk_-1608999687919862906', '10.251.215.16:52002', '10.251.215.16:50010']"
19,081109,203521,144,INFO,dfs.DataNode$DataXceiver,Receiving block blk_7503483334202473044 src: /10.251.71.16:51590 dest: /10.251.71.16:50010,bbb51b95,Receiving block <*> src: /<*> dest: /<*>,"['blk_7503483334202473044', '10.251.71.16:51590', '10.251.71.16:50010']"
20,081109,203521,145,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-3544583377289625738 src: /10.250.19.102:39325 dest: /10.250.19.102:50010,bbb51b95,Receiving block <*> src: /<*> dest: /<*>,"['blk_-3544583377289625738', '10.250.19.102:39325', '10.250.19.102:50010']"
21,081109,203521,145,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_7503483334202473044 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['1', 'blk_7503483334202473044']"
22,081109,203521,145,INFO,dfs.DataNode$PacketResponder,Received block blk_7503483334202473044 of size 233217 from /10.251.215.16,46003790,Received block <*> of size <*> from /<*>,"['blk_7503483334202473044', '233217', '10.251.215.16']"
23,081109,203521,146,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_7503483334202473044 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['0', 'blk_7503483334202473044']"
24,081109,203521,146,INFO,dfs.DataNode$PacketResponder,Received block blk_7503483334202473044 of size 233217 from /10.251.71.16,46003790,Received block <*> of size <*> from /<*>,"['blk_7503483334202473044', '233217', '10.251.71.16']"
25,081109,203521,147,INFO,dfs.DataNode$DataTransfer,10.250.14.224:50010:Transmitted block blk_-1608999687919862906 to /10.251.215.16:50010,9c784e29,<*>:Transmitted block <*> to /<*>,"['10.250.14.224:50010', 'blk_-1608999687919862906', '10.251.215.16:50010']"
26,081109,203521,147,INFO,dfs.DataNode$DataXceiver,Received block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010 of size 91178,fcebd192,Received block <*> src: /<*> dest: /<*> of size 91178,"['blk_-1608999687919862906', '10.250.14.224:35754', '10.250.14.224:50010']"
27,081109,203521,147,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010,bbb51b95,Receiving block <*> src: /<*> dest: /<*>,"['blk_-1608999687919862906', '10.250.14.224:35754', '10.250.14.224:50010']"
28,081109,203521,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_7503483334202473044 terminating,dc2c74b7,PacketResponder <*> for block <*> terminating,"['2', 'blk_7503483334202473044']"
29,081109,203521,148,INFO,dfs.DataNode$PacketResponder,Received block blk_7503483334202473044 of size 233217 from /10.250.19.102,46003790,Received block <*> of size <*> from /<*>,"['blk_7503483334202473044', '233217', '10.250.19.102']"
30,081109,203521,19,INFO,dfs.DataNode,"10.250.14.224:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.215.16:50010, 10.251.71.193:50010",75627efd,"<*> Starting thread to transfer block <*> to <*>, <*>","['10.250.14.224:50010', 'blk_-1608999687919862906', '10.251.215.16:50010', '10.251.71.193:50010']"
31,081109,203521,19,INFO,dfs.FSNamesystem,BLOCK* ask 10.250.14.224:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.215.16:50010 10.251.71.193:50010,54e5f6b4,BLOCK* ask <*> to replicate <*> to datanode(s) <*> <*>,"['10.250.14.224:50010', 'blk_-1608999687919862906', '10.251.215.16:50010 10.251.71.193:50010']"
32,081109,203521,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.10:50010 is added to blk_7503483334202473044 size 233217,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.106.10:50010', 'blk_7503483334202473044', '233217']"
33,081109,203521,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.xml. blk_-3544583377289625738,3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,['/mnt/hadoop/mapred/system/job_200811092030_0001/job.xml. blk_-3544583377289625738']
34,081109,203521,30,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.193:50010 is added to blk_-1608999687919862906 size 91178,5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,"['10.251.71.193:50010', 'blk_-1608999687919862906', '91178']"
