EventId,EventTemplate,Occurrences
f7fe7f88,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,85
9302fad4,Invalid user <*> from <*>,88
6b674ff1,input_userauth_request: invalid user <*> [preauth],88
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,110
e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,85
21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,110
2491ca3e,Connection closed by <*> [preauth],29
2817a946,Received disconnect from <*>: 11: <*> <*> <*>,126
066b4d3e,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= <*> <*>,102
f831cb6d,Failed password for <*> from <*> port <*> ssh2,102
4fbf66db,message repeated 5 times: [ Failed password for root from <*> port <*> ssh2],2
ea4aa83d,Disconnecting: Too many authentication failures for root [preauth],2
216ab66c,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= <*> user=root,2
00a684b8,PAM service(sshd) ignoring max retries; <*> > 3,6
c926c7d9,Did not receive identification string from <*>,10
3a7285d3,error: Received disconnect from <*>: 3: <*>: Auth fail [preauth],2
e2e22af4,Received disconnect from <*>: 11: Closed due to user request. [preauth],7
2702de18,Failed none for invalid user <*> from <*> port <*> ssh2,4
6ff8b88b,PAM <*> more authentication <*> logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,7
d7242a1b,error: Received disconnect from <*>: 14: No more user authentication methods available. [preauth],30
bb75510d,Accepted password for fztu from <*> port 49116 ssh2,1
4ca88b08,pam_unix(sshd:session): session opened for user fztu by (uid=0),1
cfe22f2e,pam_unix(sshd:session): session closed for user fztu,1
