EventId,EventTemplate,Occurrences
c89a99ae,tftp: client does not accept options,18
25be66dc,warning: unable to look up public/pickup: No such file or directory,122
668ba66e,Connection broken to <*> reopening in 60 seconds,11
545ada7a,My unqualified host name (dadmin1) unknown; sleeping for retry,1
ef226888,synchronized to <*> stratum <*>,189
eb0cfa2a,[ib_sm_sweep.c:1455]: No topology change,18
9db750e6,[ib_sm_sweep.c:1482]: No configuration change required,18
2adbb5c6,session opened for user root by <*>,2
dacd011d,Accepted publickey for root from ::ffff:<*> port <*> ssh2,2
a91e1952,START: <*> <*> from=<*>,4
41f5477e,Kickstart Install: Torque Mom and Maui speconf Tree,1
e72b9d1c,Kickstart: configure services,1
877055b5,Kickstart Install: Prepare speconf_sync to work,1
d4c8f7e8,Kickstart: setup firstboot,1
5d8891b0,Kickstart: setup firstboot for <*> <*> <*>,2
99faeab9,pam_timestamp: updated timestamp file `/var/run/sudo/root/console',3
f5aa81fa,running '/usr/sbin/up2date --nox -i <*> with root privileges on behalf of 'root',2
1cfe3a76,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,17
fcc7ce1e,gmond <*> succeeded,2
f3f66216,Kickstart Install: Setup to become a Tbird login,1
a26fdf53,Kickstart Install: tbird kernel package,1
99132f5d,kernel time sync <*> <*>,5
d96740f1,Installing all prepared tables,1
75d40ea8,Starting NFS services: succeeded,1
e41deed5,rpc.mountd <*> succeeded,2
beef3b8e,rpc.nfsd startup succeeded,1
924e20d4,rpc.rquotad <*> succeeded,2
9b1751bd,succeeded,2
a52a6cc9,ntpd <*> succeeded,3
09487f02,Listening on interface <*> <*>,9
f85d8172,ntpd #2#@1.1190-r Mon Oct 11 09:15:58 EDT 2004 (1),2
e7a11707,precision = 1.000 usec,2
9b53702b,signal_no_reset: signal 13 had flags 4000000,1
34c3c947,step time server <*> offset <*> sec,2
02efd722,/usr/bin/mysqladmin -u root -h tbird-admin1 password 'new-password',1
045b685d,/usr/bin/mysqladmin -u root password 'new-password',1
34356470,Fill help tables,1
0d4ae4b8,PLEASE REMEMBER TO SET A PASSWORD FOR THE MySQL root USER !,1
36e9961d,Please report any problems with the /usr/bin/mysqlbug script!,1
e58ee2d1,See the manual for more instructions.,1
c559931e,Support MySQL by buying support/licenses at https://#4#,1
cdb07b75,The latest information about MySQL is available on the web at,1
6fb417d7,"To do so, start the server, then issue the following commands:",1
2cd9c9e6,To start mysqld at boot time you have to copy support-files/mysql.server,1
66d86e68,You can start the MySQL daemon with:,1
39453fac,You can test the MySQL daemon with the benchmarks in the 'sql-bench' directory:,1
ca8dd7ab,cd /usr ; /usr/bin/mysqld_safe &,1
d2f4f92f,cd sql-bench ; perl run-all-tests,1
86881b51,http://#5#,1
1775fb9c,to the right place for your system,1
789f6dce,Initializing MySQL database: succeeded,1
2cdea1de,Starting MySQL: succeeded,1
1efc109b,All rights reserved.,2
3cd5b830,Copyright 2004 Internet Systems Consortium.,2
63aedad2,"For info, please visit http://#6#/sw/dhcp/",2
626cb88a,Internet Systems Consortium DHCP Server V3.0.1,2
3a04b00c,Listening on LPF/eth0/00:11:43:e3:94:9a/admin_net,2
bbadc51a,Sending on <*>,4
743ffbc8,Wrote 0 deleted host decls to leases file.,2
8a39b2b6,Wrote 0 leases to leases file.,2
2f8fcf13,Wrote 0 new dynamic host decls to leases file.,2
595ec60b,dhcpd <*> succeeded,2
f86a514a,httpd <*> succeeded,2
bc5eb760,<*> avc: denied { read write } for pid=19257 comm=ntpdate <*> <*> <*> scontext=user_u:system_r:ntpd_t <*> <*>,2
e7e9bfba,setup NTP client,1
55ab9c77,ntpd shutdown failed,1
ec283c91,<*> avc: denied { <*> } for pid=19257 comm=ntpdate <*> <*> <*> scontext=user_u:system_r:ntpd_t <*> <*>,5
4ce5f86a,audit(1131559876.630:0): avc: denied { read } for pid=19257 comm=ntpdate path=/tmp/biosdev (deleted) dev=ramfs ino=954 scontext=user_u:system_r:ntpd_t tcontext=user_u:object_r:ramfs_t tclass=blk_file,1
9eaf7118,audit(1131559877.215:0): avc: denied { getattr } for pid=19265 comm=ntpd path=/dev/null dev=ram0 ino=40 scontext=user_u:system_r:ntpd_t tcontext=system_u:object_r:file_t tclass=chr_file,1
8517948b,"configure: keyword ""authenticate"" unknown, line ignored",1
d2b15686,frequency initialized 0.000 PPM from /var/lib/ntp/drift,1
4428cca0,Kickstart Install: Dell OMSA Package,1
6391d957,data_thread() got not answer from any <*> datasource,191
cd05ca84,running '/usr/sbin/up2date --nox -i -f kernel-devel' with root privileges on behalf of 'root',1
fadd4d28,unable to qualify my own domain name <*> -- using short name,5
3be46d32,session closed for user root,5
23929b89,"<*> from=root, <*> class=0, nrcpts=1, <*> relay=#7#@localhost",5
33823f8f,"<*> to=root, ctladdr=root (0/0), <*> xdelay=00:00:00, mailer=relay, <*> relay=[<*>] [<*>], dsn=4.0.0, stat=Deferred: Connection refused by [<*>]",5
9b93c8b1,Kickstart Install: Dell BIOS CONF Package,1
e9da6206,Kickstart: setup the cisco (topspin) ib stack,1
34b6e188,Kickstart Install: TBIRD Dell FIRMWARE Update Module,1
e24059ac,Kickstart/Yast Install: Finished installation on localhost.localdomain,1
880f1546,Local disconnected: Connection closed.,2
f2f7a33e,connection lost: 'Connection closed.',2
a567d7d8,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time 1131559996 when last update time is 1131559996 (minimum one second step),1
1da73d45,DHCPDISCOVER from 00:11:43:32:c6:8c via eth1: network C_net: no free leases,3
aeb8f6f8,DHCPDISCOVER from 00:11:43:32:c6:8c via eth1,1
4e676dc4,DHCPOFFER on <*> to 00:11:43:32:c6:8c via eth1,1
4cd25ab4,DHCPREQUEST for <*> (<*>) from 00:11:43:32:c6:8c via eth1: unknown lease <*>.,3
c641c47f,DHCPACK on <*> to 00:11:43:32:c6:8c via eth1,1
