LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList
1,﻿2016-09-28,04:30:30,Info,CBS,Starting TrustedInstaller initialization.,05f90e58,Starting TrustedInstaller initialization.,[]
2,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,8c7b6197,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,[]
3,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),13caa1c5,<*> WcpInitialize (wcp.dll version 0.0.0.6) called (stack <*>,"['00000001@2016/9/27:20:30:31.455', '@0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f)']"
4,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),13caa1c5,<*> WcpInitialize (wcp.dll version 0.0.0.6) called (stack <*>,"['00000002@2016/9/27:20:30:31.458', '@0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799)']"
5,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),13caa1c5,<*> WcpInitialize (wcp.dll version 0.0.0.6) called (stack <*>,"['00000003@2016/9/27:20:30:31.458', '@0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f)']"
6,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,2d8b5399,Ending TrustedInstaller initialization.,[]
7,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,ddb70245,Starting the TrustedInstaller main loop.,[]
8,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,70236f55,TrustedInstaller service starts successfully.,[]
9,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,492269e4,SQM: Initializing online with Windows opt-in: False,[]
10,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,88c7a286,SQM: Cleaning up report files older than 10 days.,[]
11,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,7e5b1617,SQM: Requesting upload of all unsent reports.,[]
