method,dataset,log_size,elapsed_time,peak_memory,iteration_no
AEL,BGL,1,0:00:00.106428,88.84765625,1
AEL,BGL,1,0:00:00.098460,89.03515625,2
AEL,BGL,1,0:00:00.100910,89.32421875,3
AEL,BGL,1,0:00:00.100290,89.3359375,4
AEL,BGL,1,0:00:00.106456,89.0234375,5
AEL,BGL,1,0:00:00.098703,88.81640625,6
AEL,BGL,1,0:00:00.107729,88.7890625,7
AEL,BGL,1,0:00:00.105136,89.171875,8
AEL,BGL,1,0:00:00.100788,89.3671875,9
AEL,BGL,1,0:00:00.103623,89.32421875,10
AEL,BGL,2,0:00:00.261284,90.90234375,1
AEL,BGL,2,0:00:00.264249,90.59375,2
AEL,BGL,2,0:00:00.262358,90.80859375,3
AEL,BGL,2,0:00:00.262342,90.83203125,4
AEL,BGL,2,0:00:00.268391,90.83984375,5
AEL,BGL,2,0:00:00.266052,90.703125,6
AEL,BGL,2,0:00:00.263601,90.734375,7
AEL,BGL,2,0:00:00.263866,91.0625,8
AEL,BGL,2,0:00:00.255519,90.69921875,9
AEL,BGL,2,0:00:00.268298,90.890625,10
AEL,BGL,4,0:00:00.293859,92.0234375,1
AEL,BGL,4,0:00:00.296261,92.21484375,2
AEL,BGL,4,0:00:00.299114,92.2578125,3
AEL,BGL,4,0:00:00.326379,91.875,4
AEL,BGL,4,0:00:00.296007,92.12890625,5
AEL,BGL,4,0:00:00.297099,91.890625,6
AEL,BGL,4,0:00:00.298931,92.3125,7
AEL,BGL,4,0:00:00.296154,92.1640625,8
AEL,BGL,4,0:00:00.296598,92.30078125,9
AEL,BGL,4,0:00:00.299459,91.6796875,10
AEL,BGL,20,0:00:02.144769,113.03125,1
AEL,BGL,20,0:00:02.148510,113.1640625,2
AEL,BGL,20,0:00:02.144619,112.703125,3
AEL,BGL,20,0:00:02.140478,112.82421875,4
AEL,BGL,20,0:00:02.151579,112.625,5
AEL,BGL,20,0:00:02.141960,112.7734375,6
AEL,BGL,20,0:00:02.157303,112.41796875,7
AEL,BGL,20,0:00:02.134819,112.2890625,8
AEL,BGL,20,0:00:02.142605,113.109375,9
AEL,BGL,20,0:00:02.129600,112.59375,10
AEL,BGL,50,0:00:04.837230,144.296875,1
AEL,BGL,50,0:00:04.900699,144.33203125,2
AEL,BGL,50,0:00:04.874246,144.42578125,3
AEL,BGL,50,0:00:04.867070,144.26171875,4
AEL,BGL,50,0:00:04.895538,144.10546875,5
AEL,BGL,50,0:00:04.883936,144.19140625,6
AEL,BGL,50,0:00:04.925877,144.5390625,7
AEL,BGL,50,0:00:04.925914,144.015625,8
AEL,BGL,50,0:00:04.905531,144.1640625,9
AEL,BGL,50,0:00:04.957033,144.41796875,10
AEL,BGL,100,0:00:09.627068,200.734375,1
AEL,BGL,100,0:00:09.617514,200.3046875,2
AEL,BGL,100,0:00:09.580951,200.30078125,3
AEL,BGL,100,0:00:09.514247,192.84375,4
AEL,BGL,100,0:00:09.640526,192.66796875,5
AEL,BGL,100,0:00:09.550662,192.62890625,6
AEL,BGL,100,0:00:09.736558,200.2109375,7
AEL,BGL,100,0:00:09.595959,200.30078125,8
AEL,BGL,100,0:00:09.570438,200.1953125,9
AEL,BGL,100,0:00:09.633034,192.71484375,10
AEL,BGL,200,0:00:18.856158,312.0390625,1
AEL,BGL,200,0:00:18.743993,312.2421875,2
AEL,BGL,200,0:00:18.838237,312.171875,3
AEL,BGL,200,0:00:19.201467,312.56640625,4
AEL,BGL,200,0:00:18.725017,312.44921875,5
AEL,BGL,200,0:00:18.882708,311.63671875,6
AEL,BGL,200,0:00:18.845309,311.5234375,7
AEL,BGL,200,0:00:18.816840,311.80859375,8
AEL,BGL,200,0:00:18.859158,311.625,9
AEL,BGL,200,0:00:18.856195,311.8046875,10
AEL,BGL,300,0:00:27.309729,397.72265625,1
AEL,BGL,300,0:00:27.614017,397.6640625,2
AEL,BGL,300,0:00:27.364218,398.125,3
AEL,BGL,300,0:00:27.303935,398.16015625,4
AEL,BGL,300,0:00:27.418629,397.81640625,5
AEL,BGL,300,0:00:27.595225,397.53125,6
AEL,BGL,300,0:00:27.489413,398.015625,7
AEL,BGL,300,0:00:27.613346,397.796875,8
AEL,BGL,300,0:00:27.380121,398.07421875,9
AEL,BGL,300,0:00:27.813200,397.8203125,10
