method,dataset,log_size,elapsed_time,peak_memory,iteration_no
AEL,OpenSSH,1,0:00:00.176158,89.35546875,1
AEL,OpenSSH,1,0:00:00.168786,89.15234375,2
AEL,OpenSSH,1,0:00:00.165530,89.234375,3
AEL,OpenSSH,1,0:00:00.173821,89.55859375,4
AEL,OpenSSH,1,0:00:00.183875,89.32421875,5
AEL,OpenSSH,1,0:00:00.167291,89.56640625,6
AEL,OpenSSH,1,0:00:00.173084,89.03515625,7
AEL,OpenSSH,1,0:00:00.171784,89.5859375,8
AEL,OpenSSH,1,0:00:00.172818,89.18359375,9
AEL,OpenSSH,1,0:00:00.176850,89.46875,10
AEL,OpenSSH,2,0:00:00.305243,90.42578125,1
AEL,OpenSSH,2,0:00:00.298567,90.12109375,2
AEL,OpenSSH,2,0:00:00.299660,90.27734375,3
AEL,OpenSSH,2,0:00:00.288905,90.59375,4
AEL,OpenSSH,2,0:00:00.297042,90.48828125,5
AEL,OpenSSH,2,0:00:00.303284,89.96484375,6
AEL,OpenSSH,2,0:00:00.303194,90.125,7
AEL,OpenSSH,2,0:00:00.294979,90.046875,8
AEL,OpenSSH,2,0:00:00.304286,90.21484375,9
AEL,OpenSSH,2,0:00:00.298456,90.40234375,10
AEL,OpenSSH,4,0:00:00.571341,92.4375,1
AEL,OpenSSH,4,0:00:00.572601,92.65625,2
AEL,OpenSSH,4,0:00:00.573036,92.86328125,3
AEL,OpenSSH,4,0:00:00.577980,92.28515625,4
AEL,OpenSSH,4,0:00:00.574088,92.51953125,5
AEL,OpenSSH,4,0:00:00.575972,92.39453125,6
AEL,OpenSSH,4,0:00:00.569633,92.328125,7
AEL,OpenSSH,4,0:00:00.570058,92.2578125,8
AEL,OpenSSH,4,0:00:00.579179,92.609375,9
AEL,OpenSSH,4,0:00:00.575961,92.5625,10
AEL,OpenSSH,20,0:00:03.368110,113.796875,1
AEL,OpenSSH,20,0:00:03.432643,114.28125,2
AEL,OpenSSH,20,0:00:03.409439,113.5078125,3
AEL,OpenSSH,20,0:00:03.397102,113.7109375,4
AEL,OpenSSH,20,0:00:03.441348,113.78125,5
AEL,OpenSSH,20,0:00:03.396511,113.546875,6
AEL,OpenSSH,20,0:00:03.414208,114.01171875,7
AEL,OpenSSH,20,0:00:03.377487,113.953125,8
AEL,OpenSSH,20,0:00:03.424691,114.24609375,9
AEL,OpenSSH,20,0:00:03.369624,114.19140625,10
AEL,OpenSSH,50,0:00:11.710651,149.11328125,1
AEL,OpenSSH,50,0:00:11.649952,149.2734375,2
AEL,OpenSSH,50,0:00:11.785903,149.125,3
AEL,OpenSSH,50,0:00:11.682392,149.5078125,4
AEL,OpenSSH,50,0:00:11.758631,149.015625,5
AEL,OpenSSH,50,0:00:11.658976,149.38671875,6
AEL,OpenSSH,50,0:00:11.679436,149.13671875,7
AEL,OpenSSH,50,0:00:11.627595,149.09765625,8
AEL,OpenSSH,50,0:00:11.676413,149.16796875,9
AEL,OpenSSH,50,0:00:11.694438,149.171875,10
AEL,OpenSSH,100,0:00:37.768484,207.140625,1
AEL,OpenSSH,100,0:00:37.516966,206.90234375,2
AEL,OpenSSH,100,0:00:37.304710,206.6484375,3
AEL,OpenSSH,100,0:00:36.565185,206.80859375,4
AEL,OpenSSH,100,0:00:38.182906,206.75,5
AEL,OpenSSH,100,0:00:36.967601,206.73828125,6
AEL,OpenSSH,100,0:00:37.465576,206.4375,7
AEL,OpenSSH,100,0:00:37.188761,206.79296875,8
AEL,OpenSSH,100,0:00:37.599586,206.46875,9
AEL,OpenSSH,100,0:00:38.024576,206.6640625,10
AEL,OpenSSH,200,0:01:49.845720,313.828125,1
AEL,OpenSSH,200,0:01:49.927153,313.75390625,2
AEL,OpenSSH,200,0:01:47.449375,313.76953125,3
AEL,OpenSSH,200,0:02:02.155298,313.66015625,4
AEL,OpenSSH,200,0:01:53.816277,313.75,5
AEL,OpenSSH,200,0:01:48.639624,313.45703125,6
AEL,OpenSSH,200,0:01:49.543066,313.67578125,7
AEL,OpenSSH,200,0:01:48.648281,313.484375,8
AEL,OpenSSH,200,0:01:48.658500,314.1875,9
AEL,OpenSSH,200,0:01:46.063493,313.65234375,10
AEL,OpenSSH,300,0:02:52.464414,420.75390625,1
AEL,OpenSSH,300,0:02:47.618525,420.3671875,2
AEL,OpenSSH,300,0:02:48.539887,420.953125,3
AEL,OpenSSH,300,0:02:50.806565,420.48046875,4
AEL,OpenSSH,300,0:02:45.824044,420.27734375,5
AEL,OpenSSH,300,0:02:51.814818,420.5859375,6
AEL,OpenSSH,300,0:02:47.359176,420.640625,7
AEL,OpenSSH,300,0:02:48.290510,420.484375,8
AEL,OpenSSH,300,0:02:46.323552,420.61328125,9
AEL,OpenSSH,300,0:02:47.350899,420.78515625,10
AEL,OpenSSH,500,0:05:54.466471,628.32421875,1
AEL,OpenSSH,500,0:05:53.745449,628.50390625,2
AEL,OpenSSH,500,0:06:04.783634,628.671875,3
AEL,OpenSSH,500,0:05:55.848679,628.56640625,4
AEL,OpenSSH,500,0:05:55.890263,628.01171875,5
AEL,OpenSSH,500,0:05:59.042551,627.96875,6
AEL,OpenSSH,500,0:06:04.489915,628.37109375,7
AEL,OpenSSH,500,0:05:54.811705,628.703125,8
AEL,OpenSSH,500,0:06:11.471984,628.171875,9
AEL,OpenSSH,500,0:05:53.912345,627.96875,10
