method,dataset,log_size,elapsed_time,peak_memory,iteration_no
AEL,Thunderbird,1,0:00:00.164717,89.3046875,1
AEL,Thunderbird,1,0:00:00.165945,89.48828125,2
AEL,Thunderbird,1,0:00:00.166041,89.62890625,3
AEL,Thunderbird,1,0:00:00.156599,89.0859375,4
AEL,Thunderbird,1,0:00:00.158558,89.0546875,5
AEL,Thunderbird,1,0:00:00.163700,89.6484375,6
AEL,Thunderbird,1,0:00:00.180479,89.3046875,7
AEL,Thunderbird,1,0:00:00.157521,89.37890625,8
AEL,Thunderbird,1,0:00:00.167968,89.23046875,9
AEL,Thunderbird,1,0:00:00.168265,89.7265625,10
AEL,Thunderbird,2,0:00:00.274183,90.34765625,1
AEL,Thunderbird,2,0:00:00.270686,90.59375,2
AEL,Thunderbird,2,0:00:00.281081,90.7265625,3
AEL,Thunderbird,2,0:00:00.284372,90.50390625,4
AEL,Thunderbird,2,0:00:00.278044,90.61328125,5
AEL,Thunderbird,2,0:00:00.275655,90.6171875,6
AEL,Thunderbird,2,0:00:00.276524,90.1796875,7
AEL,Thunderbird,2,0:00:00.281904,90.76171875,8
AEL,Thunderbird,2,0:00:00.274803,90.34375,9
AEL,Thunderbird,2,0:00:00.272714,90.19140625,10
AEL,Thunderbird,4,0:00:00.520140,93.01171875,1
AEL,Thunderbird,4,0:00:00.511327,92.77734375,2
AEL,Thunderbird,4,0:00:00.512313,93.2734375,3
AEL,Thunderbird,4,0:00:00.516710,92.91796875,4
AEL,Thunderbird,4,0:00:00.516907,93.0078125,5
AEL,Thunderbird,4,0:00:00.518575,93.01171875,6
AEL,Thunderbird,4,0:00:00.517954,93.09375,7
AEL,Thunderbird,4,0:00:00.531595,93.26953125,8
AEL,Thunderbird,4,0:00:00.514439,93.26953125,9
AEL,Thunderbird,4,0:00:00.517083,92.8515625,10
AEL,Thunderbird,10,0:00:13.521380,100.05078125,1
AEL,Thunderbird,10,0:00:13.562966,99.46875,2
AEL,Thunderbird,10,0:00:13.594111,99.57421875,3
AEL,Thunderbird,10,0:00:13.492208,99.91015625,4
AEL,Thunderbird,10,0:00:13.493260,100.078125,5
AEL,Thunderbird,10,0:00:13.465453,99.67578125,6
AEL,Thunderbird,10,0:00:13.534458,99.9921875,7
AEL,Thunderbird,10,0:00:13.584048,99.87890625,8
AEL,Thunderbird,10,0:00:13.535340,99.578125,9
AEL,Thunderbird,10,0:00:13.564809,99.5546875,10
AEL,Thunderbird,20,0:00:18.801074,111.31640625,1
AEL,Thunderbird,20,0:00:19.019500,111.171875,2
AEL,Thunderbird,20,0:00:18.886762,111.30078125,3
AEL,Thunderbird,20,0:00:18.880516,110.9921875,4
AEL,Thunderbird,20,0:00:18.873250,111.15234375,5
AEL,Thunderbird,20,0:00:18.823179,111.109375,6
AEL,Thunderbird,20,0:00:19.617006,111.0546875,7
AEL,Thunderbird,20,0:00:18.747508,111.23828125,8
AEL,Thunderbird,20,0:00:18.724257,110.9296875,9
AEL,Thunderbird,20,0:00:18.857196,111.015625,10
AEL,Thunderbird,50,0:00:42.908817,147.3125,1
AEL,Thunderbird,50,0:00:43.254481,147.12890625,2
AEL,Thunderbird,50,0:00:42.901111,147.44921875,3
AEL,Thunderbird,50,0:00:43.090560,146.4921875,4
AEL,Thunderbird,50,0:00:44.128321,147.2265625,5
AEL,Thunderbird,50,0:00:43.023941,147.078125,6
AEL,Thunderbird,50,0:00:43.317121,146.9140625,7
AEL,Thunderbird,50,0:00:43.062327,146.65625,8
AEL,Thunderbird,50,0:00:43.020517,147.08203125,9
AEL,Thunderbird,50,0:00:42.997575,147.015625,10
AEL,Thunderbird,100,0:00:49.129561,207.0546875,1
AEL,Thunderbird,100,0:00:48.773821,207.5546875,2
AEL,Thunderbird,100,0:00:48.995469,207.39453125,3
AEL,Thunderbird,100,0:00:48.931391,207.734375,4
AEL,Thunderbird,100,0:00:48.910690,207.37890625,5
AEL,Thunderbird,100,0:00:48.872891,207.52734375,6
AEL,Thunderbird,100,0:00:48.861552,207.49609375,7
AEL,Thunderbird,100,0:00:49.422922,207.46484375,8
AEL,Thunderbird,100,0:00:48.783780,207.8203125,9
AEL,Thunderbird,100,0:00:48.954065,207.359375,10
AEL,Thunderbird,200,0:01:00.737120,332.40234375,1
AEL,Thunderbird,200,0:01:00.383727,332.53515625,2
AEL,Thunderbird,200,0:01:00.706957,332.015625,3
AEL,Thunderbird,200,0:01:00.608486,332.15234375,4
AEL,Thunderbird,200,0:01:01.006445,332.2421875,5
AEL,Thunderbird,200,0:01:00.931438,332.3515625,6
AEL,Thunderbird,200,0:01:00.368269,332.3203125,7
AEL,Thunderbird,200,0:01:00.465757,332.3671875,8
AEL,Thunderbird,200,0:01:00.459378,331.94140625,9
AEL,Thunderbird,200,0:01:00.435418,331.9609375,10
AEL,Thunderbird,300,0:01:24.823424,476.1015625,1
AEL,Thunderbird,300,0:01:24.967798,476.046875,2
AEL,Thunderbird,300,0:01:24.785959,476.37109375,3
AEL,Thunderbird,300,0:01:24.641309,475.7578125,4
AEL,Thunderbird,300,0:01:24.984673,476.453125,5
AEL,Thunderbird,300,0:01:24.892127,475.8828125,6
AEL,Thunderbird,300,0:01:25.256708,475.796875,7
AEL,Thunderbird,300,0:01:24.878609,476.171875,8
AEL,Thunderbird,300,0:01:25.430884,475.87890625,9
AEL,Thunderbird,300,0:01:25.000092,475.98828125,10
AEL,Thunderbird,500,0:01:47.998816,713.51171875,1
AEL,Thunderbird,500,0:01:47.666075,713.58203125,2
AEL,Thunderbird,500,0:01:48.347694,713.44140625,3
AEL,Thunderbird,500,0:01:48.227659,713.80078125,4
AEL,Thunderbird,500,0:01:48.715967,713.6796875,5
AEL,Thunderbird,500,0:01:48.101805,713.38671875,6
AEL,Thunderbird,500,0:01:48.939921,713.546875,7
AEL,Thunderbird,500,0:01:47.767370,713.8671875,8
AEL,Thunderbird,500,0:01:48.102786,713.640625,9
AEL,Thunderbird,500,0:01:48.573175,713.5546875,10
