method,dataset,log_size,elapsed_time,peak_memory,iteration_no
AEL,Windows,1,0:00:00.166477,89.65625,1
AEL,Windows,1,0:00:00.166951,89.51171875,2
AEL,Windows,1,0:00:00.164536,89.5390625,3
AEL,Windows,1,0:00:00.167112,89.5,4
AEL,Windows,1,0:00:00.163801,89.5,5
AEL,Windows,1,0:00:00.165030,89.80078125,6
AEL,Windows,1,0:00:00.163155,89.4609375,7
AEL,Windows,1,0:00:00.162281,89.47265625,8
AEL,Windows,1,0:00:00.163904,89.4609375,9
AEL,Windows,1,0:00:00.165323,89.46484375,10
AEL,Windows,2,0:00:00.279514,90.4296875,1
AEL,Windows,2,0:00:00.281249,90.4453125,2
AEL,Windows,2,0:00:00.277420,90.5703125,3
AEL,Windows,2,0:00:00.281711,90.5390625,4
AEL,Windows,2,0:00:00.276605,90.76953125,5
AEL,Windows,2,0:00:00.277098,90.39453125,6
AEL,Windows,2,0:00:00.274439,90.5078125,7
AEL,Windows,2,0:00:00.280269,90.4453125,8
AEL,Windows,2,0:00:00.279810,90.38671875,9
AEL,Windows,2,0:00:00.271756,90.34375,10
AEL,Windows,4,0:00:00.540223,92.92578125,1
AEL,Windows,4,0:00:00.520075,92.640625,2
AEL,Windows,4,0:00:00.536719,92.8828125,3
AEL,Windows,4,0:00:00.529045,92.9609375,4
AEL,Windows,4,0:00:00.516744,92.41796875,5
AEL,Windows,4,0:00:00.525393,92.65625,6
AEL,Windows,4,0:00:00.513550,92.9140625,7
AEL,Windows,4,0:00:00.531336,92.6875,8
AEL,Windows,4,0:00:00.528772,92.2734375,9
AEL,Windows,4,0:00:00.548864,92.64453125,10
AEL,Windows,10,0:00:01.461990,99.390625,1
AEL,Windows,10,0:00:01.456661,99.31640625,2
AEL,Windows,10,0:00:01.466552,99.625,3
AEL,Windows,10,0:00:01.462487,99.6796875,4
AEL,Windows,10,0:00:01.459498,99.30859375,5
AEL,Windows,10,0:00:01.474007,99.36328125,6
AEL,Windows,10,0:00:01.469039,99.0078125,7
AEL,Windows,10,0:00:01.466190,99.67578125,8
AEL,Windows,10,0:00:01.458867,99.2265625,9
AEL,Windows,10,0:00:01.463587,99.3203125,10
AEL,Windows,20,0:00:03.584551,111.11328125,1
AEL,Windows,20,0:00:03.539395,110.9375,2
AEL,Windows,20,0:00:03.538789,111.37109375,3
AEL,Windows,20,0:00:03.532996,111.0234375,4
AEL,Windows,20,0:00:03.512635,110.875,5
AEL,Windows,20,0:00:03.533666,111.4375,6
AEL,Windows,20,0:00:03.522363,110.9453125,7
AEL,Windows,20,0:00:03.538875,111.10546875,8
AEL,Windows,20,0:00:03.538938,110.70703125,9
AEL,Windows,20,0:00:03.542819,111.0859375,10
AEL,Windows,50,0:00:08.743375,145.734375,1
AEL,Windows,50,0:00:08.737647,145.375,2
AEL,Windows,50,0:00:08.768415,145.73828125,3
AEL,Windows,50,0:00:08.763111,145.6484375,4
AEL,Windows,50,0:00:08.784135,145.50390625,5
AEL,Windows,50,0:00:08.729632,145.2109375,6
AEL,Windows,50,0:00:08.664851,145.5546875,7
AEL,Windows,50,0:00:08.672880,145.26171875,8
AEL,Windows,50,0:00:08.829083,145.0625,9
AEL,Windows,50,0:00:08.777729,145.19921875,10
AEL,Windows,100,0:00:16.527909,199.953125,1
AEL,Windows,100,0:00:16.415375,200.0078125,2
AEL,Windows,100,0:00:16.488241,199.97265625,3
AEL,Windows,100,0:00:16.350178,200.26171875,4
AEL,Windows,100,0:00:16.555383,200.01953125,5
AEL,Windows,100,0:00:16.452749,199.671875,6
AEL,Windows,100,0:00:16.465872,200.01953125,7
AEL,Windows,100,0:00:16.541189,200.23046875,8
AEL,Windows,100,0:00:16.563653,200.0859375,9
AEL,Windows,100,0:00:16.496732,200.1171875,10
AEL,Windows,200,0:00:39.451834,321.49609375,1
AEL,Windows,200,0:00:39.419077,321.5234375,2
AEL,Windows,200,0:00:39.502531,321.4296875,3
AEL,Windows,200,0:00:39.410018,321.62109375,4
AEL,Windows,200,0:00:39.465285,321.55859375,5
AEL,Windows,200,0:00:39.707335,321.3515625,6
AEL,Windows,200,0:00:39.466281,321.58984375,7
AEL,Windows,200,0:00:39.398055,321.5859375,8
AEL,Windows,200,0:00:39.364993,321.78125,9
AEL,Windows,200,0:00:39.424308,321.6875,10
AEL,Windows,300,0:01:11.069015,450.75390625,1
AEL,Windows,300,0:01:09.870512,450.79296875,2
AEL,Windows,300,0:01:10.070658,451.1796875,3
AEL,Windows,300,0:01:10.110760,450.375,4
AEL,Windows,300,0:01:09.866242,451.140625,5
AEL,Windows,300,0:01:10.434125,450.32421875,6
AEL,Windows,300,0:01:09.953830,450.91015625,7
AEL,Windows,300,0:01:10.092063,450.703125,8
AEL,Windows,300,0:01:09.618130,450.109375,9
AEL,Windows,300,0:01:09.894027,450.6015625,10
AEL,Windows,500,0:02:43.386860,693.484375,1
AEL,Windows,500,0:02:42.594339,693.8515625,2
AEL,Windows,500,0:02:44.785089,693.5,3
AEL,Windows,500,0:02:42.513175,693.55859375,4
AEL,Windows,500,0:02:42.716307,693.56640625,5
AEL,Windows,500,0:02:43.092030,693.53515625,6
AEL,Windows,500,0:02:42.800235,693.55859375,7
AEL,Windows,500,0:02:42.316992,693.76953125,8
AEL,Windows,500,0:02:43.397061,693.90234375,9
AEL,Windows,500,0:02:43.460154,693.375,10
