method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Drain,BGL,1,0:00:00.141626,89.55078125,1
Drain,BGL,1,0:00:00.148091,89.375,2
Drain,BGL,1,0:00:00.150492,89.0625,3
Drain,BGL,1,0:00:00.148956,89.21484375,4
Drain,BGL,1,0:00:00.148184,89.15234375,5
Drain,BGL,1,0:00:00.151604,89.08203125,6
Drain,BGL,1,0:00:00.142828,88.96875,7
Drain,BGL,1,0:00:00.148751,88.859375,8
Drain,BGL,1,0:00:00.149952,89.1171875,9
Drain,BGL,1,0:00:00.143837,88.99609375,10
Drain,BGL,2,0:00:00.346569,90.62109375,1
Drain,BGL,2,0:00:00.345955,90.44140625,2
Drain,BGL,2,0:00:00.346288,90.6171875,3
Drain,BGL,2,0:00:00.340430,90.609375,4
Drain,BGL,2,0:00:00.337846,90.54296875,5
Drain,BGL,2,0:00:00.345002,90.42578125,6
Drain,BGL,2,0:00:00.337184,90.46875,7
Drain,BGL,2,0:00:00.336376,90.30078125,8
Drain,BGL,2,0:00:00.344581,90.6171875,9
Drain,BGL,2,0:00:00.344454,90.6171875,10
Drain,BGL,4,0:00:00.477509,92.953125,1
Drain,BGL,4,0:00:00.486265,92.58984375,2
Drain,BGL,4,0:00:00.481646,92.203125,3
Drain,BGL,4,0:00:00.480103,92.73828125,4
Drain,BGL,4,0:00:00.484555,92.62890625,5
Drain,BGL,4,0:00:00.473676,92.3125,6
Drain,BGL,4,0:00:00.495840,92.609375,7
Drain,BGL,4,0:00:00.498299,92.640625,8
Drain,BGL,4,0:00:00.472333,92.02734375,9
Drain,BGL,4,0:00:00.477628,92.22265625,10
Drain,BGL,10,0:00:01.331429,98.9609375,1
Drain,BGL,10,0:00:01.287646,99.078125,2
Drain,BGL,10,0:00:01.297969,99.05859375,3
Drain,BGL,10,0:00:01.301015,99.07421875,4
Drain,BGL,10,0:00:01.335489,98.74609375,5
Drain,BGL,10,0:00:01.300189,98.73828125,6
Drain,BGL,10,0:00:01.318958,99.33984375,7
Drain,BGL,10,0:00:01.316222,99.08203125,8
Drain,BGL,10,0:00:01.321236,99.28125,9
Drain,BGL,10,0:00:01.294527,98.70703125,10
Drain,BGL,20,0:00:02.802228,110.87109375,1
Drain,BGL,20,0:00:02.800838,112.73828125,2
Drain,BGL,20,0:00:02.791938,113.0546875,3
Drain,BGL,20,0:00:02.812171,112.40234375,4
Drain,BGL,20,0:00:02.775757,112.94140625,5
Drain,BGL,20,0:00:02.784409,112.96875,6
Drain,BGL,20,0:00:02.822285,112.91015625,7
Drain,BGL,20,0:00:02.805397,112.9921875,8
Drain,BGL,20,0:00:02.824389,112.59765625,9
Drain,BGL,20,0:00:02.796136,111.2734375,10
Drain,BGL,50,0:00:07.003753,147.28515625,1
Drain,BGL,50,0:00:06.994987,147.125,2
Drain,BGL,50,0:00:07.004579,147.48046875,3
Drain,BGL,50,0:00:07.018550,147.13671875,4
Drain,BGL,50,0:00:07.057073,147.55078125,5
Drain,BGL,50,0:00:07.004251,147.1953125,6
Drain,BGL,50,0:00:06.997259,147.01171875,7
Drain,BGL,50,0:00:07.070169,147.04296875,8
Drain,BGL,50,0:00:07.028618,147.3046875,9
Drain,BGL,50,0:00:07.054246,147.46875,10
Drain,BGL,100,0:00:13.858007,205.8515625,1
Drain,BGL,100,0:00:14.032478,206.68359375,2
Drain,BGL,100,0:00:13.932796,206.2578125,3
Drain,BGL,100,0:00:13.917395,206.28125,4
Drain,BGL,100,0:00:13.939344,206.40625,5
Drain,BGL,100,0:00:13.953453,205.94140625,6
Drain,BGL,100,0:00:13.816941,206.4296875,7
Drain,BGL,100,0:00:13.756824,206.03515625,8
Drain,BGL,100,0:00:13.944029,206.18359375,9
Drain,BGL,100,0:00:13.806040,206.72265625,10
Drain,BGL,200,0:00:27.897511,342.82421875,1
Drain,BGL,200,0:00:27.685985,342.50390625,2
Drain,BGL,200,0:00:27.878773,342.88671875,3
Drain,BGL,200,0:00:27.872262,342.625,4
Drain,BGL,200,0:00:27.722599,342.87890625,5
Drain,BGL,200,0:00:27.335332,342.83984375,6
Drain,BGL,200,0:00:27.524545,342.703125,7
Drain,BGL,200,0:00:27.674935,342.765625,8
Drain,BGL,200,0:00:27.831126,342.53515625,9
Drain,BGL,200,0:00:27.607103,342.640625,10
Drain,BGL,300,0:00:39.588589,447.5625,1
Drain,BGL,300,0:00:40.559160,448.2578125,2
Drain,BGL,300,0:00:40.135759,447.36328125,3
Drain,BGL,300,0:00:40.143404,448.109375,4
Drain,BGL,300,0:00:40.141207,447.47265625,5
Drain,BGL,300,0:00:39.789619,448.11328125,6
Drain,BGL,300,0:00:39.849035,447.5078125,7
Drain,BGL,300,0:00:40.288566,447.9609375,8
Drain,BGL,300,0:00:39.852147,447.3515625,9
Drain,BGL,300,0:00:40.124809,447.296875,10
