method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Drain,Windows,1,0:00:00.195292,89.1015625,1
Drain,Windows,1,0:00:00.195107,88.97265625,2
Drain,Windows,1,0:00:00.197786,88.76953125,3
Drain,Windows,1,0:00:00.196330,88.84765625,4
Drain,Windows,1,0:00:00.194718,88.6796875,5
Drain,Windows,1,0:00:00.196104,88.62890625,6
Drain,Windows,1,0:00:00.199368,88.6484375,7
Drain,Windows,1,0:00:00.192583,89.01171875,8
Drain,Windows,1,0:00:00.192097,88.73828125,9
Drain,Windows,1,0:00:00.199639,88.88671875,10
Drain,Windows,2,0:00:00.344005,89.34765625,1
Drain,Windows,2,0:00:00.348099,89.84375,2
Drain,Windows,2,0:00:00.344935,89.94140625,3
Drain,Windows,2,0:00:00.340594,89.50390625,4
Drain,Windows,2,0:00:00.344976,89.5,5
Drain,Windows,2,0:00:00.348655,89.8984375,6
Drain,Windows,2,0:00:00.343731,89.4609375,7
Drain,Windows,2,0:00:00.346779,89.53515625,8
Drain,Windows,2,0:00:00.346339,89.40625,9
Drain,Windows,2,0:00:00.345573,89.4609375,10
Drain,Windows,4,0:00:00.645797,91.3203125,1
Drain,Windows,4,0:00:00.632036,91.24609375,2
Drain,Windows,4,0:00:00.636423,91.625,3
Drain,Windows,4,0:00:00.643616,91.66015625,4
Drain,Windows,4,0:00:00.642492,91.65234375,5
Drain,Windows,4,0:00:00.641552,91.33203125,6
Drain,Windows,4,0:00:00.641005,91.5859375,7
Drain,Windows,4,0:00:00.641424,91.375,8
Drain,Windows,4,0:00:00.634083,91.3125,9
Drain,Windows,4,0:00:00.638473,91.40625,10
Drain,Windows,10,0:00:01.537984,97.2734375,1
Drain,Windows,10,0:00:01.520200,97.03515625,2
Drain,Windows,10,0:00:01.528112,97.01953125,3
Drain,Windows,10,0:00:01.549034,96.23828125,4
Drain,Windows,10,0:00:01.542242,96.4296875,5
Drain,Windows,10,0:00:01.513212,96.828125,6
Drain,Windows,10,0:00:01.529463,96.55859375,7
Drain,Windows,10,0:00:01.550526,96.30859375,8
Drain,Windows,10,0:00:01.527982,96.5234375,9
Drain,Windows,10,0:00:01.529293,96.5625,10
Drain,Windows,20,0:00:03.042823,105.25390625,1
Drain,Windows,20,0:00:03.087650,104.3046875,2
Drain,Windows,20,0:00:03.101558,105.08984375,3
Drain,Windows,20,0:00:03.082252,104.359375,4
Drain,Windows,20,0:00:03.061981,105.65625,5
Drain,Windows,20,0:00:03.081733,104.8359375,6
Drain,Windows,20,0:00:03.085684,105.05078125,7
Drain,Windows,20,0:00:03.048277,105.4609375,8
Drain,Windows,20,0:00:03.119562,105.1953125,9
Drain,Windows,20,0:00:03.064234,105.34765625,10
Drain,Windows,50,0:00:08.358524,137.9921875,1
Drain,Windows,50,0:00:08.290088,138.171875,2
Drain,Windows,50,0:00:08.308327,137.8984375,3
Drain,Windows,50,0:00:08.290510,138.09765625,4
Drain,Windows,50,0:00:08.273229,135.88671875,5
Drain,Windows,50,0:00:08.264323,137.6953125,6
Drain,Windows,50,0:00:08.284230,138.03125,7
Drain,Windows,50,0:00:08.327297,138.03125,8
Drain,Windows,50,0:00:08.349961,135.36328125,9
Drain,Windows,50,0:00:08.386349,138.48046875,10
Drain,Windows,100,0:00:16.974321,192.1796875,1
Drain,Windows,100,0:00:17.065250,187.46484375,2
Drain,Windows,100,0:00:17.294010,192.44921875,3
Drain,Windows,100,0:00:17.133277,187.66015625,4
Drain,Windows,100,0:00:17.184196,192.234375,5
Drain,Windows,100,0:00:17.129874,192.59375,6
Drain,Windows,100,0:00:17.133183,192.21484375,7
Drain,Windows,100,0:00:17.282309,192.90234375,8
Drain,Windows,100,0:00:17.075343,192.3828125,9
Drain,Windows,100,0:00:17.261237,192.59765625,10
Drain,Windows,200,0:00:34.839968,294.52734375,1
Drain,Windows,200,0:00:35.223301,294.3984375,2
Drain,Windows,200,0:00:35.161361,294.703125,3
Drain,Windows,200,0:00:35.225515,294.3828125,4
Drain,Windows,200,0:00:35.095746,294.734375,5
Drain,Windows,200,0:00:35.045105,295.01953125,6
Drain,Windows,200,0:00:35.149954,294.77734375,7
Drain,Windows,200,0:00:34.753487,294.91015625,8
Drain,Windows,200,0:00:34.723592,294.73046875,9
Drain,Windows,200,0:00:35.001827,294.6953125,10
Drain,Windows,300,0:00:52.764988,406.11328125,1
Drain,Windows,300,0:00:53.149164,405.98828125,2
Drain,Windows,300,0:00:52.837586,405.98828125,3
Drain,Windows,300,0:00:52.887756,406.1875,4
Drain,Windows,300,0:00:53.098058,406.40234375,5
Drain,Windows,300,0:00:53.244252,406.015625,6
Drain,Windows,300,0:00:53.434213,405.8828125,7
Drain,Windows,300,0:00:53.179301,405.79296875,8
Drain,Windows,300,0:00:53.036650,405.828125,9
Drain,Windows,300,0:00:53.151051,405.98828125,10
Drain,Windows,500,0:01:28.314097,618.03125,1
