method,dataset,log_size,elapsed_time,peak_memory,iteration_no
IPLoM,BGL,1,0:00:00.136095,89.08203125,1
IPLoM,BGL,1,0:00:00.139437,88.99609375,2
IPLoM,BGL,1,0:00:00.135550,89.30859375,3
IPLoM,BGL,1,0:00:00.134011,89.109375,4
IPLoM,BGL,1,0:00:00.136832,89.390625,5
IPLoM,BGL,1,0:00:00.137433,88.984375,6
IPLoM,BGL,1,0:00:00.134624,89.33203125,7
IPLoM,BGL,1,0:00:00.136736,89.31640625,8
IPLoM,BGL,1,0:00:00.136312,88.76171875,9
IPLoM,BGL,1,0:00:00.137224,89.3515625,10
IPLoM,BGL,2,0:00:00.307887,90.78125,1
IPLoM,BGL,2,0:00:00.307882,91.0,2
IPLoM,BGL,2,0:00:00.307020,91.0390625,3
IPLoM,BGL,2,0:00:00.308138,90.78125,4
IPLoM,BGL,2,0:00:00.306936,91.30078125,5
IPLoM,BGL,2,0:00:00.312325,91.31640625,6
IPLoM,BGL,2,0:00:00.308371,90.78125,7
IPLoM,BGL,2,0:00:00.308870,91.00390625,8
IPLoM,BGL,2,0:00:00.307234,91.00390625,9
IPLoM,BGL,2,0:00:00.308598,91.125,10
IPLoM,BGL,4,0:00:00.439463,93.671875,1
IPLoM,BGL,4,0:00:00.436084,93.44921875,2
IPLoM,BGL,4,0:00:00.440058,93.4140625,3
IPLoM,BGL,4,0:00:00.439127,93.65234375,4
IPLoM,BGL,4,0:00:00.438972,93.81640625,5
IPLoM,BGL,4,0:00:00.441570,93.59765625,6
IPLoM,BGL,4,0:00:00.436912,93.8984375,7
IPLoM,BGL,4,0:00:00.437730,93.8984375,8
IPLoM,BGL,4,0:00:00.432195,93.62890625,9
IPLoM,BGL,4,0:00:00.440088,93.49609375,10
IPLoM,BGL,10,0:00:01.250304,102.2578125,1
IPLoM,BGL,10,0:00:01.243013,102.02734375,2
IPLoM,BGL,10,0:00:01.248319,101.9453125,3
IPLoM,BGL,10,0:00:01.245861,102.3359375,4
IPLoM,BGL,10,0:00:01.236980,102.12109375,5
IPLoM,BGL,10,0:00:01.237801,102.0,6
IPLoM,BGL,10,0:00:01.236711,102.03125,7
IPLoM,BGL,10,0:00:01.244601,102.12890625,8
IPLoM,BGL,10,0:00:01.240229,101.87890625,9
IPLoM,BGL,10,0:00:01.235055,102.09765625,10
IPLoM,BGL,20,0:00:02.428764,119.29296875,1
IPLoM,BGL,20,0:00:02.414154,119.2734375,2
IPLoM,BGL,20,0:00:02.428333,118.83203125,3
IPLoM,BGL,20,0:00:02.413574,119.08203125,4
IPLoM,BGL,20,0:00:02.444374,119.26953125,5
IPLoM,BGL,20,0:00:02.445574,119.0390625,6
IPLoM,BGL,20,0:00:02.450039,118.82421875,7
IPLoM,BGL,20,0:00:02.393607,118.73828125,8
IPLoM,BGL,20,0:00:02.425388,118.890625,9
IPLoM,BGL,20,0:00:02.422611,119.0546875,10
IPLoM,BGL,50,0:00:05.459614,160.8359375,1
IPLoM,BGL,50,0:00:05.536532,160.59375,2
IPLoM,BGL,50,0:00:05.453607,161.06640625,3
IPLoM,BGL,50,0:00:05.443020,160.63671875,4
IPLoM,BGL,50,0:00:05.522664,160.56640625,5
IPLoM,BGL,50,0:00:05.460640,161.0078125,6
IPLoM,BGL,50,0:00:05.488484,160.69921875,7
IPLoM,BGL,50,0:00:05.582877,160.8671875,8
IPLoM,BGL,50,0:00:05.462309,161.2890625,9
IPLoM,BGL,50,0:00:05.579864,160.9375,10
IPLoM,BGL,100,0:00:10.854206,230.140625,1
IPLoM,BGL,100,0:00:10.889492,230.2421875,2
IPLoM,BGL,100,0:00:10.808828,230.3359375,3
IPLoM,BGL,100,0:00:10.888609,230.0546875,4
IPLoM,BGL,100,0:00:10.784360,230.15234375,5
IPLoM,BGL,100,0:00:10.623783,230.13671875,6
IPLoM,BGL,100,0:00:10.724043,229.80078125,7
IPLoM,BGL,100,0:00:10.787392,230.43359375,8
IPLoM,BGL,100,0:00:10.704050,230.49609375,9
IPLoM,BGL,100,0:00:10.794728,230.28515625,10
IPLoM,BGL,200,0:00:21.710135,376.71484375,1
IPLoM,BGL,200,0:00:21.670244,376.7109375,2
IPLoM,BGL,200,0:00:21.422250,376.23828125,3
IPLoM,BGL,200,0:00:21.645976,376.8984375,4
IPLoM,BGL,200,0:00:21.547039,376.12890625,5
IPLoM,BGL,200,0:00:21.782176,376.61328125,6
IPLoM,BGL,200,0:00:21.896374,376.44921875,7
IPLoM,BGL,200,0:00:21.787600,376.75,8
IPLoM,BGL,200,0:00:21.513569,376.44921875,9
IPLoM,BGL,200,0:00:21.816896,376.76953125,10
IPLoM,BGL,300,0:00:32.612756,531.47265625,1
IPLoM,BGL,300,0:00:32.536973,531.55859375,2
IPLoM,BGL,300,0:00:32.489644,531.640625,3
IPLoM,BGL,300,0:00:32.338581,531.421875,4
IPLoM,BGL,300,0:00:32.471990,531.29296875,5
IPLoM,BGL,300,0:00:32.734624,531.8046875,6
IPLoM,BGL,300,0:00:32.674763,531.46484375,7
IPLoM,BGL,300,0:00:32.591189,531.734375,8
IPLoM,BGL,300,0:00:32.720174,531.73046875,9
IPLoM,BGL,300,0:00:32.923539,531.90234375,10
