method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,1
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,2
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,3
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,4
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,5
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,6
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,7
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,8
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,9
IPLoM,HDFS,2,1.0000,1.0000,1.0000,1.0000,10
