method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,1
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,2
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,3
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,4
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,5
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,6
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,7
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,8
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,9
IPLoM,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,10
