method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LFA,BGL,1,0:00:00.114824,88.734375,1
LFA,BGL,1,0:00:00.116769,88.44921875,2
LFA,BGL,1,0:00:00.115030,88.7421875,3
LFA,BGL,1,0:00:00.114989,88.59765625,4
LFA,BGL,1,0:00:00.117021,88.46484375,5
LFA,BGL,1,0:00:00.113047,88.9296875,6
LFA,BGL,1,0:00:00.113968,88.92578125,7
LFA,BGL,1,0:00:00.113833,88.76953125,8
LFA,BGL,1,0:00:00.105534,88.75,9
LFA,BGL,1,0:00:00.124836,88.64453125,10
LFA,BGL,2,0:00:00.208084,90.27734375,1
LFA,BGL,2,0:00:00.204841,90.28125,2
LFA,BGL,2,0:00:00.209449,90.32421875,3
LFA,BGL,2,0:00:00.205548,90.3203125,4
LFA,BGL,2,0:00:00.203653,90.140625,5
LFA,BGL,2,0:00:00.203798,90.32421875,6
LFA,BGL,2,0:00:00.208590,90.4375,7
LFA,BGL,2,0:00:00.205827,90.45703125,8
LFA,BGL,2,0:00:00.217439,90.48828125,9
LFA,BGL,2,0:00:00.203400,90.375,10
LFA,BGL,4,0:00:00.366467,92.0078125,1
LFA,BGL,4,0:00:00.361247,91.453125,2
LFA,BGL,4,0:00:00.365461,91.5859375,3
LFA,BGL,4,0:00:00.365016,91.55078125,4
LFA,BGL,4,0:00:00.361791,92.26953125,5
LFA,BGL,4,0:00:00.363951,92.08203125,6
LFA,BGL,4,0:00:00.361190,91.65234375,7
LFA,BGL,4,0:00:00.359562,92.10546875,8
LFA,BGL,4,0:00:00.363614,91.7109375,9
LFA,BGL,4,0:00:00.363253,91.6171875,10
LFA,BGL,10,0:00:00.880814,99.4921875,1
LFA,BGL,10,0:00:00.875712,99.23828125,2
LFA,BGL,10,0:00:00.870227,99.3671875,3
LFA,BGL,10,0:00:00.878397,98.98046875,4
LFA,BGL,10,0:00:00.886188,98.90625,5
LFA,BGL,10,0:00:00.867579,99.1796875,6
LFA,BGL,10,0:00:00.865333,99.31640625,7
LFA,BGL,10,0:00:00.870831,99.12109375,8
LFA,BGL,10,0:00:00.870829,99.2734375,9
LFA,BGL,10,0:00:00.873692,98.90234375,10
LFA,BGL,20,0:00:01.773573,111.9609375,1
LFA,BGL,20,0:00:01.805058,112.2421875,2
LFA,BGL,20,0:00:01.743007,112.39453125,3
LFA,BGL,20,0:00:01.770570,111.80859375,4
LFA,BGL,20,0:00:01.753634,112.11328125,5
LFA,BGL,20,0:00:01.752712,111.87109375,6
LFA,BGL,20,0:00:01.760048,112.34765625,7
LFA,BGL,20,0:00:01.766319,111.984375,8
LFA,BGL,20,0:00:01.763121,111.8984375,9
LFA,BGL,20,0:00:01.793922,112.359375,10
LFA,BGL,50,0:00:04.228260,144.2890625,1
LFA,BGL,50,0:00:04.168971,141.25390625,2
LFA,BGL,50,0:00:04.186925,141.234375,3
LFA,BGL,50,0:00:04.182405,141.36328125,4
LFA,BGL,50,0:00:04.128277,141.57421875,5
LFA,BGL,50,0:00:04.143661,144.20703125,6
LFA,BGL,50,0:00:04.199044,144.4296875,7
LFA,BGL,50,0:00:04.113469,144.1328125,8
LFA,BGL,50,0:00:04.189246,144.12109375,9
LFA,BGL,50,0:00:04.139187,144.15234375,10
LFA,BGL,100,0:00:08.132350,196.984375,1
LFA,BGL,100,0:00:08.137720,196.6796875,2
LFA,BGL,100,0:00:08.102232,197.12109375,3
LFA,BGL,100,0:00:08.175742,196.6328125,4
LFA,BGL,100,0:00:08.220945,197.19140625,5
LFA,BGL,100,0:00:08.201337,196.9453125,6
LFA,BGL,100,0:00:08.170060,197.19921875,7
LFA,BGL,100,0:00:08.276722,196.625,8
LFA,BGL,100,0:00:08.095123,197.1171875,9
LFA,BGL,100,0:00:08.273156,196.828125,10
LFA,BGL,200,0:00:16.732272,314.53125,1
LFA,BGL,200,0:00:16.980371,314.83984375,2
LFA,BGL,200,0:00:16.623876,314.5390625,3
LFA,BGL,200,0:00:16.589222,314.24609375,4
LFA,BGL,200,0:00:16.508869,314.28515625,5
LFA,BGL,200,0:00:16.573314,314.29296875,6
LFA,BGL,200,0:00:16.614382,314.53125,7
LFA,BGL,200,0:00:16.453716,314.73046875,8
LFA,BGL,200,0:00:16.457376,314.078125,9
LFA,BGL,200,0:00:16.670791,314.18359375,10
LFA,BGL,300,0:00:25.039633,429.05078125,1
LFA,BGL,300,0:00:24.983502,429.26953125,2
LFA,BGL,300,0:00:25.028389,429.25,3
LFA,BGL,300,0:00:25.303810,429.296875,4
LFA,BGL,300,0:00:25.041444,429.05078125,5
LFA,BGL,300,0:00:25.244980,428.98828125,6
LFA,BGL,300,0:00:25.309692,429.27734375,7
LFA,BGL,300,0:00:25.594042,429.58203125,8
LFA,BGL,300,0:00:25.247486,429.13671875,9
LFA,BGL,300,0:00:25.240147,429.05078125,10
