method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,1
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,2
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,3
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,4
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,5
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,6
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,7
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,8
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,9
LFA,OpenSSH,2,1.0000,0.9551,0.9770,0.5005,10
