method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LFA,OpenSSH,1,0:00:00.130568,88.9609375,1
LFA,OpenSSH,1,0:00:00.132250,89.1484375,2
LFA,OpenSSH,1,0:00:00.131204,88.828125,3
LFA,OpenSSH,1,0:00:00.130205,88.9609375,4
LFA,OpenSSH,1,0:00:00.130440,88.984375,5
LFA,OpenSSH,1,0:00:00.131345,88.8671875,6
LFA,OpenSSH,1,0:00:00.128438,89.15234375,7
LFA,OpenSSH,1,0:00:00.130383,88.98046875,8
LFA,OpenSSH,1,0:00:00.131136,88.73828125,9
LFA,OpenSSH,1,0:00:00.128915,89.20703125,10
LFA,OpenSSH,2,0:00:00.218996,90.0625,1
LFA,OpenSSH,2,0:00:00.229331,89.6796875,2
LFA,OpenSSH,2,0:00:00.230336,90.04296875,3
LFA,OpenSSH,2,0:00:00.227800,89.91015625,4
LFA,OpenSSH,2,0:00:00.231407,89.7734375,5
LFA,OpenSSH,2,0:00:00.230112,90.265625,6
LFA,OpenSSH,2,0:00:00.228201,90.07421875,7
LFA,OpenSSH,2,0:00:00.231808,89.8671875,8
LFA,OpenSSH,2,0:00:00.236521,90.25,9
LFA,OpenSSH,2,0:00:00.233234,90.03125,10
LFA,OpenSSH,4,0:00:00.435741,92.00390625,1
LFA,OpenSSH,4,0:00:00.430928,92.13671875,2
LFA,OpenSSH,4,0:00:00.429172,91.9765625,3
LFA,OpenSSH,4,0:00:00.434996,91.95703125,4
LFA,OpenSSH,4,0:00:00.425537,92.1875,5
LFA,OpenSSH,4,0:00:00.422066,92.26171875,6
LFA,OpenSSH,4,0:00:00.433522,92.05859375,7
LFA,OpenSSH,4,0:00:00.427333,92.26953125,8
LFA,OpenSSH,4,0:00:00.432590,92.34765625,9
LFA,OpenSSH,4,0:00:00.427137,92.4140625,10
LFA,OpenSSH,10,0:00:01.080745,98.76953125,1
LFA,OpenSSH,10,0:00:01.057962,99.0703125,2
LFA,OpenSSH,10,0:00:01.049600,99.00390625,3
LFA,OpenSSH,10,0:00:01.056714,99.06640625,4
LFA,OpenSSH,10,0:00:01.050177,99.64453125,5
LFA,OpenSSH,10,0:00:01.047768,99.31640625,6
LFA,OpenSSH,10,0:00:01.070768,99.09375,7
LFA,OpenSSH,10,0:00:01.059838,98.88671875,8
LFA,OpenSSH,10,0:00:01.068541,98.7578125,9
LFA,OpenSSH,10,0:00:01.055525,98.9375,10
LFA,OpenSSH,20,0:00:02.105078,111.96484375,1
LFA,OpenSSH,20,0:00:02.058538,112.46484375,2
LFA,OpenSSH,20,0:00:02.102003,111.13671875,3
LFA,OpenSSH,20,0:00:02.069235,112.04296875,4
LFA,OpenSSH,20,0:00:02.078191,112.03125,5
LFA,OpenSSH,20,0:00:02.080903,111.94140625,6
LFA,OpenSSH,20,0:00:02.074472,111.95703125,7
LFA,OpenSSH,20,0:00:02.094580,112.0703125,8
LFA,OpenSSH,20,0:00:02.074203,112.3359375,9
LFA,OpenSSH,20,0:00:02.106111,111.98828125,10
LFA,OpenSSH,50,0:00:05.139020,147.2421875,1
LFA,OpenSSH,50,0:00:05.126066,147.05078125,2
LFA,OpenSSH,50,0:00:05.077394,147.24609375,3
LFA,OpenSSH,50,0:00:05.148622,147.17578125,4
LFA,OpenSSH,50,0:00:05.123060,147.64453125,5
LFA,OpenSSH,50,0:00:05.057016,147.1796875,6
LFA,OpenSSH,50,0:00:05.051413,147.453125,7
LFA,OpenSSH,50,0:00:05.164677,147.45703125,8
LFA,OpenSSH,50,0:00:05.090786,147.00390625,9
LFA,OpenSSH,50,0:00:05.102462,147.23828125,10
LFA,OpenSSH,100,0:00:10.201998,204.21875,1
LFA,OpenSSH,100,0:00:10.321354,204.2109375,2
LFA,OpenSSH,100,0:00:10.272582,204.1171875,3
LFA,OpenSSH,100,0:00:10.204641,204.13671875,4
LFA,OpenSSH,100,0:00:10.324831,204.484375,5
LFA,OpenSSH,100,0:00:10.178795,204.33203125,6
LFA,OpenSSH,100,0:00:10.183477,204.32421875,7
LFA,OpenSSH,100,0:00:10.217107,204.12109375,8
LFA,OpenSSH,100,0:00:10.285801,204.75,9
LFA,OpenSSH,100,0:00:10.158447,204.32421875,10
LFA,OpenSSH,200,0:00:20.347067,315.71484375,1
LFA,OpenSSH,200,0:00:20.313101,316.109375,2
LFA,OpenSSH,200,0:00:20.285812,315.78515625,3
LFA,OpenSSH,200,0:00:20.311818,315.94140625,4
LFA,OpenSSH,200,0:00:20.788164,316.03515625,5
LFA,OpenSSH,200,0:00:20.535774,315.99609375,6
LFA,OpenSSH,200,0:00:20.451505,316.109375,7
LFA,OpenSSH,200,0:00:20.268970,315.93359375,8
LFA,OpenSSH,200,0:00:20.355338,315.6640625,9
LFA,OpenSSH,200,0:00:20.358019,315.81640625,10
LFA,OpenSSH,300,0:00:30.486609,428.328125,1
LFA,OpenSSH,300,0:00:30.727571,428.13671875,2
LFA,OpenSSH,300,0:00:30.777454,428.3203125,3
LFA,OpenSSH,300,0:00:30.665386,428.0234375,4
LFA,OpenSSH,300,0:00:30.753900,428.29296875,5
LFA,OpenSSH,300,0:00:30.550533,428.125,6
LFA,OpenSSH,300,0:00:31.051462,427.79296875,7
LFA,OpenSSH,300,0:00:30.557392,428.33203125,8
LFA,OpenSSH,300,0:00:30.430099,428.0859375,9
LFA,OpenSSH,300,0:00:30.334061,427.90625,10
LFA,OpenSSH,500,0:00:52.494245,650.0390625,1
LFA,OpenSSH,500,0:00:51.674697,649.9140625,2
LFA,OpenSSH,500,0:00:51.549235,649.984375,3
LFA,OpenSSH,500,0:00:51.591153,649.9296875,4
