method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LKE,HDFS,1,0:00:09.912437,284.796875,1
LKE,HDFS,1,0:00:12.715960,296.875,2
LKE,HDFS,1,0:00:15.787766,288.32421875,3
LKE,HDFS,1,0:00:12.835341,283.87890625,4
LKE,HDFS,1,0:00:12.962197,284.58984375,5
LKE,HDFS,1,0:00:12.678483,285.82421875,6
LKE,HDFS,1,0:00:18.471323,285.8125,7
LKE,HDFS,1,0:00:21.787477,287.32421875,8
LKE,HDFS,1,0:00:12.792922,286.24609375,9
LKE,HDFS,1,0:00:15.918128,286.0234375,10
LKE,HDFS,2,0:02:50.827592,312.0234375,1
LKE,HDFS,2,0:00:38.372031,902.171875,2
LKE,HDFS,2,0:01:01.809358,904.59375,3
LKE,HDFS,2,0:00:50.078219,900.9765625,4
LKE,HDFS,2,0:00:38.816455,900.25,5
LKE,HDFS,2,0:01:01.249559,901.19140625,6
LKE,HDFS,2,0:01:02.722291,911.11328125,7
LKE,HDFS,2,0:01:47.831563,912.00390625,8
LKE,HDFS,2,0:01:37.236684,900.19921875,9
LKE,HDFS,2,0:00:50.225008,914.2734375,10
LKE,HDFS,4,0:08:28.487123,896.8984375,1
LKE,HDFS,4,0:03:22.439678,3374.4453125,2
LKE,HDFS,4,0:02:33.266246,3367.859375,3
LKE,HDFS,4,0:04:08.899931,3372.4375,4
LKE,HDFS,4,0:04:55.445719,3365.515625,5
LKE,HDFS,4,0:02:34.733993,3365.734375,6
LKE,HDFS,4,0:03:22.052715,3372.63671875,7
LKE,HDFS,4,0:04:57.076077,3370.67578125,8
LKE,HDFS,4,0:04:58.331379,3368.234375,9
LKE,HDFS,4,0:02:36.765824,3371.76171875,10
LKE,HDFS,10,1:16:39.192844,5437.34375,1
LKE,HDFS,10,0:26:03.806544,20532.421875,2
LKE,HDFS,10,0:26:11.350605,20529.4921875,3
LKE,HDFS,10,0:31:06.344463,20534.7109375,4
LKE,HDFS,10,0:40:26.539796,20525.796875,5
LKE,HDFS,10,0:40:58.163034,20529.171875,6
LKE,HDFS,10,0:21:03.425854,20537.234375,7
LKE,HDFS,10,0:26:00.643317,20532.546875,8
LKE,HDFS,10,0:26:09.847376,20537.1132812,9
LKE,HDFS,10,0:26:17.579616,20528.1015625,10
