method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,1
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,2
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,3
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,4
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,5
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,6
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,7
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,8
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,9
LKE,Windows,2,0.9998,1.0000,0.9999,0.9895,10
