method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,1
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,2
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,3
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,4
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,5
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,6
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,7
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,8
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,9
Lenma,Android,2,0.9923,0.9920,0.9922,0.8795,10
