method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Lenma,Android,1,0:00:00.354872,105.72265625,1
Lenma,Android,1,0:00:00.352244,105.69140625,2
Lenma,Android,1,0:00:00.356056,105.15234375,3
Lenma,Android,1,0:00:00.376048,105.609375,4
Lenma,Android,1,0:00:00.358930,105.40234375,5
Lenma,Android,1,0:00:00.356092,105.3828125,6
Lenma,Android,1,0:00:00.354523,105.44140625,7
Lenma,Android,1,0:00:00.353346,105.390625,8
Lenma,Android,1,0:00:00.356098,105.46875,9
Lenma,Android,1,0:00:00.350089,105.38671875,10
Lenma,Android,2,0:00:00.636107,105.63671875,1
Lenma,Android,2,0:00:00.639353,105.54296875,2
Lenma,Android,2,0:00:00.633197,S105.59765625,3
Lenma,Android,2,0:00:00.636016,105.3984375,4
Lenma,Android,2,0:00:00.634576,105.734375,5
Lenma,Android,2,0:00:00.633480,105.5390625,6
Lenma,Android,2,0:00:00.646064,105.40234375,7
Lenma,Android,2,0:00:00.631845,105.55859375,8
Lenma,Android,2,0:00:00.647262,105.53125,9
Lenma,Android,2,0:00:00.639434,105.65625,10
Lenma,Android,4,0:00:01.695278,107.46484375,1
Lenma,Android,4,0:00:01.696361,107.23828125,2
Lenma,Android,4,0:00:01.700935,107.21875,3
Lenma,Android,4,0:00:01.704031,107.48828125,4
Lenma,Android,4,0:00:01.703602,107.99609375,5
Lenma,Android,4,0:00:01.695952,107.51171875,6
Lenma,Android,4,0:00:01.707749,107.85546875,7
Lenma,Android,4,0:00:01.697050,107.375,8
Lenma,Android,4,0:00:01.697653,107.43359375,9
Lenma,Android,4,0:00:01.698769,107.2578125,10
Lenma,Android,10,0:00:04.647442,112.046875,1
Lenma,Android,10,0:00:04.625335,111.9765625,2
Lenma,Android,10,0:00:04.642224,112.35546875,3
Lenma,Android,10,0:00:04.632237,112.40234375,4
Lenma,Android,10,0:00:04.649125,112.0390625,5
Lenma,Android,10,0:00:04.644190,111.80078125,6
Lenma,Android,10,0:00:04.695489,112.21875,7
Lenma,Android,10,0:00:04.628878,112.16015625,8
Lenma,Android,10,0:00:04.658717,112.2578125,9
Lenma,Android,10,0:00:04.655189,112.13671875,10
Lenma,Android,20,0:00:09.989709,118.68359375,1
Lenma,Android,20,0:00:09.910965,119.16015625,2
Lenma,Android,20,0:00:09.984935,119.1796875,3
Lenma,Android,20,0:00:09.931594,118.8359375,4
Lenma,Android,20,0:00:09.987388,118.70703125,5
Lenma,Android,20,0:00:09.994151,119.29296875,6
Lenma,Android,20,0:00:09.957244,118.94921875,7
Lenma,Android,20,0:00:09.964019,118.73828125,8
Lenma,Android,20,0:00:09.969888,120.34765625,9
Lenma,Android,20,0:00:09.918877,120.3203125,10
Lenma,Android,50,0:00:37.977817,144.296875,1
Lenma,Android,50,0:00:37.797172,144.10546875,2
Lenma,Android,50,0:00:37.865696,144.09765625,3
Lenma,Android,50,0:00:37.900799,144.33203125,4
Lenma,Android,50,0:00:37.768901,143.98828125,5
Lenma,Android,50,0:00:37.730346,144.11328125,6
Lenma,Android,50,0:00:38.017131,143.86328125,7
Lenma,Android,50,0:00:37.545110,144.23828125,8
Lenma,Android,50,0:00:37.778573,144.0078125,9
Lenma,Android,50,0:00:38.014045,144.0,10
Lenma,Android,100,0:02:07.260760,182.3671875,1
Lenma,Android,100,0:02:06.923541,182.7109375,2
Lenma,Android,100,0:02:06.732815,181.3515625,3
Lenma,Android,100,0:02:06.798594,181.22265625,4
Lenma,Android,100,0:02:06.285135,182.125,5
Lenma,Android,100,0:02:07.192195,182.58203125,6
Lenma,Android,100,0:02:06.934431,181.23046875,7
Lenma,Android,100,0:02:06.496029,182.61328125,8
Lenma,Android,100,0:02:06.797354,182.56640625,9
Lenma,Android,100,0:02:08.015188,182.2734375,10
Lenma,Android,200,0:17:49.954514,257.33984375,1
Lenma,Android,200,0:17:54.218289,257.49609375,2
Lenma,Android,200,0:17:58.492665,257.21484375,3
Lenma,Android,200,0:17:51.370824,257.53515625,4
Lenma,Android,200,0:17:45.361046,257.515625,5
Lenma,Android,200,0:17:56.515076,257.375,6
Lenma,Android,200,0:17:46.561467,257.10546875,7
Lenma,Android,200,0:17:56.236491,257.37109375,8
Lenma,Android,200,0:17:53.510639,257.171875,9
Lenma,Android,200,0:17:56.009693,257.515625,10
