method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,1
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,2
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,3
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,4
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,5
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,6
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,7
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,8
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,9
Lenma,HDFS,2,1.0000,1.0000,1.0000,0.9975,10
