method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,1
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,2
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,3
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,4
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,5
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,6
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,7
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,8
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,9
Lenma,OpenSSH,2,0.9980,1.0000,0.9990,0.9250,10
