method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,1
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,2
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,3
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,4
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,5
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,6
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,7
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,8
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,9
LogCluster,HDFS,2,1.0000,0.9081,0.9519,0.5460,10
