method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,1
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,2
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,3
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,4
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,5
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,6
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,7
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,8
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,9
LogCluster,OpenSSH,2,1.0000,0.8717,0.9315,0.4255,10
