method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogCluster,OpenSSH,1,0:00:00.126802,88.5625,1
LogCluster,OpenSSH,1,0:00:00.129573,88.3984375,2
LogCluster,OpenSSH,1,0:00:00.133192,88.40234375,3
LogCluster,OpenSSH,1,0:00:00.137523,88.609375,4
LogCluster,OpenSSH,1,0:00:00.135615,88.296875,5
LogCluster,OpenSSH,1,0:00:00.130785,88.578125,6
LogCluster,OpenSSH,1,0:00:00.131169,88.4609375,7
LogCluster,OpenSSH,1,0:00:00.143843,88.74609375,8
LogCluster,OpenSSH,1,0:00:00.129606,88.55078125,9
LogCluster,OpenSSH,1,0:00:00.133596,88.61328125,10
LogCluster,OpenSSH,2,0:00:00.195575,90.19140625,1
LogCluster,OpenSSH,2,0:00:00.193989,90.265625,2
LogCluster,OpenSSH,2,0:00:00.192184,90.171875,3
LogCluster,OpenSSH,2,0:00:00.191134,90.125,4
LogCluster,OpenSSH,2,0:00:00.198822,90.375,5
LogCluster,OpenSSH,2,0:00:00.190616,90.28515625,6
LogCluster,OpenSSH,2,0:00:00.195321,90.25,7
LogCluster,OpenSSH,2,0:00:00.191336,90.01953125,8
LogCluster,OpenSSH,2,0:00:00.194652,90.10546875,9
LogCluster,OpenSSH,2,0:00:00.189191,90.18359375,10
LogCluster,OpenSSH,4,0:00:00.271281,90.9375,1
LogCluster,OpenSSH,4,0:00:00.274986,90.6875,2
LogCluster,OpenSSH,4,0:00:00.312099,90.51953125,3
LogCluster,OpenSSH,4,0:00:00.270509,90.625,4
LogCluster,OpenSSH,4,0:00:00.274785,90.89453125,5
LogCluster,OpenSSH,4,0:00:00.274899,90.6171875,6
LogCluster,OpenSSH,4,0:00:00.273469,90.6015625,7
LogCluster,OpenSSH,4,0:00:00.277686,90.92578125,8
LogCluster,OpenSSH,4,0:00:00.276705,90.6484375,9
LogCluster,OpenSSH,4,0:00:00.293885,91.02734375,10
LogCluster,OpenSSH,10,0:00:00.552653,95.74609375,1
LogCluster,OpenSSH,10,0:00:00.545041,95.97265625,2
LogCluster,OpenSSH,10,0:00:00.553024,95.875,3
LogCluster,OpenSSH,10,0:00:00.554891,96.078125,4
LogCluster,OpenSSH,10,0:00:00.549550,95.70703125,5
LogCluster,OpenSSH,10,0:00:00.551101,96.08203125,6
LogCluster,OpenSSH,10,0:00:00.547979,96.0,7
LogCluster,OpenSSH,10,0:00:00.554966,95.87890625,8
LogCluster,OpenSSH,10,0:00:00.557677,95.84765625,9
LogCluster,OpenSSH,10,0:00:00.542918,96.21484375,10
LogCluster,OpenSSH,20,0:00:00.972772,102.6015625,1
LogCluster,OpenSSH,20,0:00:00.965276,102.71875,2
LogCluster,OpenSSH,20,0:00:00.965744,102.37890625,3
LogCluster,OpenSSH,20,0:00:00.963979,102.328125,4
LogCluster,OpenSSH,20,0:00:00.965695,102.328125,5
LogCluster,OpenSSH,20,0:00:00.971233,102.3046875,6
LogCluster,OpenSSH,20,0:00:00.971475,102.23046875,7
LogCluster,OpenSSH,20,0:00:00.966202,102.4921875,8
LogCluster,OpenSSH,20,0:00:00.974509,102.62109375,9
LogCluster,OpenSSH,20,0:00:00.966828,102.71484375,10
LogCluster,OpenSSH,50,0:00:02.325253,120.23046875,1
LogCluster,OpenSSH,50,0:00:02.326712,120.08984375,2
LogCluster,OpenSSH,50,0:00:02.337022,120.62890625,3
LogCluster,OpenSSH,50,0:00:02.371226,120.58203125,4
LogCluster,OpenSSH,50,0:00:02.324776,120.34375,5
LogCluster,OpenSSH,50,0:00:02.353049,120.3828125,6
LogCluster,OpenSSH,50,0:00:02.329523,120.234375,7
LogCluster,OpenSSH,50,0:00:02.324473,120.390625,8
LogCluster,OpenSSH,50,0:00:02.335062,120.12109375,9
LogCluster,OpenSSH,50,0:00:02.328079,120.2265625,10
LogCluster,OpenSSH,100,0:00:04.371243,157.25,1
LogCluster,OpenSSH,100,0:00:04.391578,157.6171875,2
LogCluster,OpenSSH,100,0:00:04.447970,157.14453125,3
LogCluster,OpenSSH,100,0:00:04.399354,159.53125,4
LogCluster,OpenSSH,100,0:00:04.409204,157.4375,5
LogCluster,OpenSSH,100,0:00:04.397183,157.30859375,6
LogCluster,OpenSSH,100,0:00:04.381077,157.6015625,7
LogCluster,OpenSSH,100,0:00:04.402182,157.31640625,8
LogCluster,OpenSSH,100,0:00:04.425761,157.23828125,9
LogCluster,OpenSSH,100,0:00:04.398216,157.57421875,10
LogCluster,OpenSSH,200,0:00:08.699178,225.76171875,1
LogCluster,OpenSSH,200,0:00:08.675796,226.0078125,2
LogCluster,OpenSSH,200,0:00:08.791374,226.109375,3
LogCluster,OpenSSH,200,0:00:08.755128,226.0234375,4
LogCluster,OpenSSH,200,0:00:08.689649,226.11328125,5
LogCluster,OpenSSH,200,0:00:08.683845,225.67578125,6
LogCluster,OpenSSH,200,0:00:08.686129,225.86328125,7
LogCluster,OpenSSH,200,0:00:08.708514,226.0234375,8
LogCluster,OpenSSH,200,0:00:08.711563,225.890625,9
LogCluster,OpenSSH,200,0:00:08.691539,226.078125,10
LogCluster,OpenSSH,300,0:00:13.256943,279.07421875,1
LogCluster,OpenSSH,300,0:00:13.349726,279.44140625,2
LogCluster,OpenSSH,300,0:00:13.311721,279.0625,3
LogCluster,OpenSSH,300,0:00:13.362945,279.05859375,4
LogCluster,OpenSSH,300,0:00:13.311894,279.11328125,5
LogCluster,OpenSSH,300,0:00:13.309379,279.06640625,6
LogCluster,OpenSSH,300,0:00:13.308872,279.2578125,7
LogCluster,OpenSSH,300,0:00:13.305160,279.2421875,8
LogCluster,OpenSSH,300,0:00:13.353804,279.4296875,9
LogCluster,OpenSSH,300,0:00:13.326383,279.09375,10
LogCluster,OpenSSH,500,0:00:22.622871,400.0625,1
LogCluster,OpenSSH,500,0:00:22.794966,400.421875,2
LogCluster,OpenSSH,500,0:00:22.782189,400.23828125,3
LogCluster,OpenSSH,500,0:00:22.726612,400.26953125,4
LogCluster,OpenSSH,500,0:00:22.719649,400.453125,5
LogCluster,OpenSSH,500,0:00:22.824969,421.41796875,6
LogCluster,OpenSSH,500,0:00:22.868515,400.03515625,7
LogCluster,OpenSSH,500,0:00:22.736502,400.50390625,8
LogCluster,OpenSSH,500,0:00:22.817548,400.578125,9
LogCluster,OpenSSH,500,0:00:22.806201,399.9765625,10
