method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogCluster,Thunderbird,1,0:00:00.178350,89.21484375,1
LogCluster,Thunderbird,1,0:00:00.179735,89.5,2
LogCluster,Thunderbird,1,0:00:00.175549,89.2734375,3
LogCluster,Thunderbird,1,0:00:00.174621,89.48046875,4
LogCluster,Thunderbird,1,0:00:00.174830,89.52734375,5
LogCluster,Thunderbird,1,0:00:00.178348,89.5703125,6
LogCluster,Thunderbird,1,0:00:00.169327,89.18359375,7
LogCluster,Thunderbird,1,0:00:00.169118,89.4375,8
LogCluster,Thunderbird,1,0:00:00.174724,89.1640625,9
LogCluster,Thunderbird,1,0:00:00.173581,89.49609375,10
LogCluster,Thunderbird,2,0:00:00.222219,89.86328125,1
LogCluster,Thunderbird,2,0:00:00.224805,89.69140625,2
LogCluster,Thunderbird,2,0:00:00.221488,89.89453125,3
LogCluster,Thunderbird,2,0:00:00.216999,89.95703125,4
LogCluster,Thunderbird,2,0:00:00.214411,90.12890625,5
LogCluster,Thunderbird,2,0:00:00.219221,90.046875,6
LogCluster,Thunderbird,2,0:00:00.217408,89.7890625,7
LogCluster,Thunderbird,2,0:00:00.219097,89.98046875,8
LogCluster,Thunderbird,2,0:00:00.225123,89.57421875,9
LogCluster,Thunderbird,2,0:00:00.219373,89.69921875,10
LogCluster,Thunderbird,4,0:00:00.342768,91.6796875,1
LogCluster,Thunderbird,4,0:00:00.342316,91.734375,2
LogCluster,Thunderbird,4,0:00:00.344015,91.7109375,3
LogCluster,Thunderbird,4,0:00:00.341641,91.94921875,4
LogCluster,Thunderbird,4,0:00:00.338818,91.62109375,5
LogCluster,Thunderbird,4,0:00:00.342175,91.6796875,6
LogCluster,Thunderbird,4,0:00:00.337991,91.66796875,7
LogCluster,Thunderbird,4,0:00:00.344025,92.0078125,8
LogCluster,Thunderbird,4,0:00:00.337201,91.9609375,9
LogCluster,Thunderbird,4,0:00:00.343755,91.6796875,10
LogCluster,Thunderbird,10,0:00:13.157169,97.7734375,1
LogCluster,Thunderbird,10,0:00:13.291816,97.78125,2
LogCluster,Thunderbird,10,0:00:13.113006,97.9296875,3
LogCluster,Thunderbird,10,0:00:13.100103,97.9375,4
LogCluster,Thunderbird,10,0:00:13.160205,97.78125,5
LogCluster,Thunderbird,10,0:00:13.147366,97.8984375,6
LogCluster,Thunderbird,10,0:00:13.120941,97.7734375,7
LogCluster,Thunderbird,10,0:00:13.106824,97.94921875,8
LogCluster,Thunderbird,10,0:00:13.164451,97.765625,9
LogCluster,Thunderbird,10,0:00:13.102385,98.109375,10
LogCluster,Thunderbird,20,0:00:17.994770,105.59765625,1
LogCluster,Thunderbird,20,0:00:18.009996,106.23046875,2
LogCluster,Thunderbird,20,0:00:18.015828,105.61328125,3
LogCluster,Thunderbird,20,0:00:17.968966,105.48046875,4
LogCluster,Thunderbird,20,0:00:17.991315,105.49609375,5
LogCluster,Thunderbird,20,0:00:17.984802,105.44921875,6
LogCluster,Thunderbird,20,0:00:18.008669,105.31640625,7
LogCluster,Thunderbird,20,0:00:17.933286,105.296875,8
LogCluster,Thunderbird,20,0:00:17.972918,105.578125,9
LogCluster,Thunderbird,20,0:00:17.964631,105.45703125,10
LogCluster,Thunderbird,50,0:00:42.472592,131.25390625,1
LogCluster,Thunderbird,50,0:00:42.334009,131.25,2
LogCluster,Thunderbird,50,0:00:42.495869,131.0859375,3
LogCluster,Thunderbird,50,0:00:42.353903,131.23046875,4
LogCluster,Thunderbird,50,0:00:42.335064,131.19921875,5
LogCluster,Thunderbird,50,0:00:42.289033,131.40625,6
LogCluster,Thunderbird,50,0:00:42.796382,131.0234375,7
LogCluster,Thunderbird,50,0:00:42.392781,131.4140625,8
LogCluster,Thunderbird,50,0:00:42.697526,131.0546875,9
LogCluster,Thunderbird,50,0:00:42.516986,131.0703125,10
LogCluster,Thunderbird,100,0:00:46.193130,175.58203125,1
LogCluster,Thunderbird,100,0:00:46.299711,175.36328125,2
LogCluster,Thunderbird,100,0:00:46.699559,175.12109375,3
LogCluster,Thunderbird,100,0:00:46.476724,175.17578125,4
LogCluster,Thunderbird,100,0:00:46.353973,175.15234375,5
LogCluster,Thunderbird,100,0:00:46.301574,175.34375,6
LogCluster,Thunderbird,100,0:00:46.323482,175.5859375,7
LogCluster,Thunderbird,100,0:00:46.405329,175.5390625,8
LogCluster,Thunderbird,100,0:00:46.321368,175.4765625,9
LogCluster,Thunderbird,100,0:00:46.203903,175.3125,10
LogCluster,Thunderbird,200,0:00:52.800711,266.25,1
LogCluster,Thunderbird,200,0:00:52.785975,266.453125,2
LogCluster,Thunderbird,200,0:00:52.971086,266.16015625,3
LogCluster,Thunderbird,200,0:00:52.867321,267.59765625,4
LogCluster,Thunderbird,200,0:00:52.907494,267.51171875,5
LogCluster,Thunderbird,200,0:00:52.816348,266.1484375,6
LogCluster,Thunderbird,200,0:00:52.757389,266.18359375,7
LogCluster,Thunderbird,200,0:00:53.136683,266.1796875,8
LogCluster,Thunderbird,200,0:00:52.906929,266.15625,9
LogCluster,Thunderbird,200,0:00:52.856743,266.3046875,10
LogCluster,Thunderbird,300,0:00:59.851297,356.8125,1
LogCluster,Thunderbird,300,0:01:00.713608,358.6640625,2
LogCluster,Thunderbird,300,0:01:00.224037,357.3671875,3
LogCluster,Thunderbird,300,0:00:59.988760,357.1796875,4
LogCluster,Thunderbird,300,0:01:00.272971,357.109375,5
LogCluster,Thunderbird,300,0:01:00.032575,358.98828125,6
LogCluster,Thunderbird,300,0:01:00.640986,358.91015625,7
LogCluster,Thunderbird,300,0:00:59.982662,358.7734375,8
LogCluster,Thunderbird,300,0:01:00.164210,358.62109375,9
LogCluster,Thunderbird,300,0:00:59.873442,358.46484375,10
LogCluster,Thunderbird,500,0:01:30.092034,529.3671875,1
LogCluster,Thunderbird,500,0:01:30.972291,526.8125,2
LogCluster,Thunderbird,500,0:01:30.221209,527.0234375,3
LogCluster,Thunderbird,500,0:01:30.658797,529.09375,4
LogCluster,Thunderbird,500,0:01:30.158924,527.3046875,5
LogCluster,Thunderbird,500,0:01:30.196068,529.3828125,6
LogCluster,Thunderbird,500,0:01:30.107762,528.875,7
LogCluster,Thunderbird,500,0:01:30.565990,529.31640625,8
LogCluster,Thunderbird,500,0:01:30.401611,529.5859375,9
LogCluster,Thunderbird,500,0:01:30.221108,527.05859375,10
LogCluster,Thunderbird,1000,0:02:29.366724,968.5625,1
LogCluster,Thunderbird,1000,0:02:28.222327,968.79296875,2
LogCluster,Thunderbird,1000,0:02:28.642097,968.79296875,3
LogCluster,Thunderbird,1000,0:02:30.012914,968.953125,4
LogCluster,Thunderbird,1000,0:02:27.978987,968.49609375,5
LogCluster,Thunderbird,1000,0:02:28.719360,968.81640625,6
LogCluster,Thunderbird,1000,0:02:28.403420,968.93359375,7
LogCluster,Thunderbird,1000,0:02:28.286523,968.7734375,8
LogCluster,Thunderbird,1000,0:02:29.062546,968.7890625,9
LogCluster,Thunderbird,1000,0:02:28.166012,968.88671875,10
