method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,1
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,2
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,3
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,4
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,5
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,6
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,7
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,8
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,9
LogMine,BGL,2,0.9447,0.9994,0.9713,0.7230,10
