method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogMine,HDFS,1,0:00:01.331699,90.63671875,1
LogMine,HDFS,1,0:00:01.335195,90.35546875,2
LogMine,HDFS,1,0:00:01.336334,90.3828125,3
LogMine,HDFS,1,0:00:01.332847,90.28125,4
LogMine,HDFS,1,0:00:01.330097,90.3828125,5
LogMine,HDFS,1,0:00:01.329222,90.26953125,6
LogMine,HDFS,1,0:00:01.320501,90.5078125,7
LogMine,HDFS,1,0:00:01.324352,90.8984375,8
LogMine,HDFS,1,0:00:01.331121,90.296875,9
LogMine,HDFS,1,0:00:01.328973,90.234375,10
LogMine,HDFS,2,0:00:05.512880,91.94921875,1
LogMine,HDFS,2,0:00:05.484166,92.46484375,2
LogMine,HDFS,2,0:00:05.492626,91.92578125,3
LogMine,HDFS,2,0:00:05.547482,92.453125,4
LogMine,HDFS,2,0:00:05.538236,92.375,5
LogMine,HDFS,2,0:00:05.551814,92.2265625,6
LogMine,HDFS,2,0:00:05.534435,92.2890625,7
LogMine,HDFS,2,0:00:05.517387,92.2578125,8
LogMine,HDFS,2,0:00:05.513222,92.1953125,9
LogMine,HDFS,2,0:00:05.537892,92.63671875,10
LogMine,HDFS,4,0:00:20.298878,98.91015625,1
LogMine,HDFS,4,0:00:20.186765,96.8125,2
LogMine,HDFS,4,0:00:20.175292,97.16015625,3
LogMine,HDFS,4,0:00:20.249485,96.296875,4
LogMine,HDFS,4,0:00:20.201890,97.0390625,5
LogMine,HDFS,4,0:00:20.132058,96.75390625,6
LogMine,HDFS,4,0:00:20.309361,96.59375,7
LogMine,HDFS,4,0:00:20.296112,97.59375,8
LogMine,HDFS,4,0:00:20.817742,96.54296875,9
LogMine,HDFS,4,0:00:20.361629,96.5234375,10
LogMine,HDFS,10,0:02:06.724222,109.359375,1
LogMine,HDFS,10,0:02:05.717618,109.04296875,2
LogMine,HDFS,10,0:02:05.176643,109.08203125,3
LogMine,HDFS,10,0:02:06.486354,109.66796875,4
LogMine,HDFS,10,0:02:05.116999,109.08203125,5
LogMine,HDFS,10,0:02:05.736264,109.0546875,6
LogMine,HDFS,10,0:02:05.186816,109.82421875,7
LogMine,HDFS,10,0:02:06.524661,109.0703125,8
LogMine,HDFS,10,0:02:05.508316,110.05078125,9
LogMine,HDFS,10,0:02:05.376965,109.9921875,10
LogMine,HDFS,20,0:08:20.931234,131.09765625,1
LogMine,HDFS,20,0:08:25.601581,133.265625,2
LogMine,HDFS,20,0:08:22.384140,134.1484375,3
LogMine,HDFS,20,0:08:22.867100,135.15625,4
LogMine,HDFS,20,0:08:22.290073,134.4609375,5
LogMine,HDFS,20,0:08:23.056210,131.2109375,6
LogMine,HDFS,20,0:08:22.470546,133.1796875,7
LogMine,HDFS,20,0:08:24.132053,133.9296875,8
LogMine,HDFS,20,0:08:23.188028,137.296875,9
LogMine,HDFS,20,0:08:23.092104,131.40234375,10
