method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,1
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,2
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,3
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,4
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,5
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,6
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,7
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,8
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,9
LogMine,Thunderbird,2,0.9989,0.9986,0.9988,0.9185,10
