method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogMine,Windows,1,0:00:01.867873,90.015625,1
LogMine,Windows,1,0:00:01.878223,90.31640625,2
LogMine,Windows,1,0:00:01.871715,90.046875,3
LogMine,Windows,1,0:00:01.905584,90.34765625,4
LogMine,Windows,1,0:00:01.877070,90.20703125,5
LogMine,Windows,1,0:00:01.876962,89.89453125,6
LogMine,Windows,1,0:00:01.872933,90.00390625,7
LogMine,Windows,1,0:00:01.893835,90.328125,8
LogMine,Windows,1,0:00:01.866808,90.07421875,9
LogMine,Windows,1,0:00:01.859571,89.9453125,10
LogMine,Windows,2,0:00:06.802312,92.0078125,1
LogMine,Windows,2,0:00:06.781245,92.19921875,2
LogMine,Windows,2,0:00:06.806217,92.01171875,3
LogMine,Windows,2,0:00:06.770693,91.61328125,4
LogMine,Windows,2,0:00:06.829431,92.0234375,5
LogMine,Windows,2,0:00:06.806979,92.2265625,6
LogMine,Windows,2,0:00:06.815680,91.90234375,7
LogMine,Windows,2,0:00:06.824680,92.32421875,8
LogMine,Windows,2,0:00:06.828993,92.328125,9
LogMine,Windows,2,0:00:06.748186,92.23046875,10
LogMine,Windows,4,0:00:25.795520,96.0390625,1
LogMine,Windows,4,0:00:26.046401,95.86328125,2
LogMine,Windows,4,0:00:25.826830,96.12890625,3
LogMine,Windows,4,0:00:25.902576,96.1328125,4
LogMine,Windows,4,0:00:25.965412,95.76953125,5
LogMine,Windows,4,0:00:25.837600,96.0,6
LogMine,Windows,4,0:00:25.839055,98.625,7
LogMine,Windows,4,0:00:26.107309,96.12109375,8
LogMine,Windows,4,0:00:25.756091,95.93359375,9
LogMine,Windows,4,0:00:25.853056,99.140625,10
LogMine,Windows,10,0:02:36.609246,108.98046875,1
LogMine,Windows,10,0:02:38.418789,109.328125,2
LogMine,Windows,10,0:02:36.742820,109.10546875,3
LogMine,Windows,10,0:02:37.008656,109.03515625,4
LogMine,Windows,10,0:02:37.247211,108.0546875,5
LogMine,Windows,10,0:02:36.883787,110.39453125,6
LogMine,Windows,10,0:02:37.005139,109.0625,7
LogMine,Windows,10,0:02:36.738099,107.58203125,8
LogMine,Windows,10,0:02:37.356867,108.01171875,9
LogMine,Windows,10,0:02:37.788932,110.88671875,10
LogMine,Windows,20,0:10:33.157829,128.40625,1
LogMine,Windows,20,0:10:30.324639,130.5234375,2
LogMine,Windows,20,0:10:28.878666,130.35546875,3
LogMine,Windows,20,0:10:33.095677,129.09765625,4
LogMine,Windows,20,0:10:27.788395,128.55859375,5
LogMine,Windows,20,0:10:27.267314,128.5859375,6
LogMine,Windows,20,0:10:34.254958,132.84765625,7
LogMine,Windows,20,0:10:31.586317,128.9375,8
