method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogMine,Android,1,0:00:01.652239,90.43359375,1
LogMine,Android,1,0:00:01.645996,90.99609375,2
LogMine,Android,1,0:00:01.650046,90.4453125,3
LogMine,Android,1,0:00:01.638092,90.7734375,4
LogMine,Android,1,0:00:01.649348,91.1015625,5
LogMine,Android,1,0:00:01.649476,90.578125,6
LogMine,Android,1,0:00:01.648736,90.796875,7
LogMine,Android,1,0:00:01.655370,90.9375,8
LogMine,Android,1,0:00:01.649943,90.3203125,9
LogMine,Android,1,0:00:01.638221,90.82421875,10
LogMine,Android,2,0:00:06.129079,92.83203125,1
LogMine,Android,2,0:00:06.219804,92.8984375,2
LogMine,Android,2,0:00:06.190884,92.6796875,3
LogMine,Android,2,0:00:06.150291,92.70703125,4
LogMine,Android,2,0:00:06.164162,92.37109375,5
LogMine,Android,2,0:00:06.171481,92.90625,6
LogMine,Android,2,0:00:06.379933,92.5390625,7
LogMine,Android,2,0:00:06.125679,92.57421875,8
LogMine,Android,2,0:00:06.138676,92.96484375,9
LogMine,Android,2,0:00:06.136343,92.88671875,10
LogMine,Android,4,0:00:23.576315,96.6171875,1
LogMine,Android,4,0:00:23.806012,96.8359375,2
LogMine,Android,4,0:00:23.991673,96.8671875,3
LogMine,Android,4,0:00:24.066306,96.55859375,4
LogMine,Android,4,0:00:23.667503,97.34765625,5
LogMine,Android,4,0:00:24.341243,96.890625,6
LogMine,Android,4,0:00:23.569757,96.9453125,7
LogMine,Android,4,0:00:23.598224,96.80859375,8
LogMine,Android,4,0:00:23.822067,96.890625,9
LogMine,Android,4,0:00:23.877782,96.734375,10
LogMine,Android,10,0:02:20.730914,108.99609375,1
LogMine,Android,10,0:02:19.560192,109.27734375,2
LogMine,Android,10,0:02:21.094335,109.53515625,3
LogMine,Android,10,0:02:20.772868,111.05078125,4
LogMine,Android,10,0:02:20.656388,109.53515625,5
LogMine,Android,10,0:02:20.490844,109.0859375,6
LogMine,Android,10,0:02:20.097601,109.2421875,7
LogMine,Android,10,0:02:20.703099,109.26171875,8
LogMine,Android,10,0:02:20.690736,111.390625,9
LogMine,Android,10,0:02:21.491528,108.93359375,10
LogMine,HDFS,1,0:00:01.288649,90.640625,1
LogMine,HDFS,1,0:00:01.305480,90.68359375,2
LogMine,HDFS,1,0:00:01.320899,90.671875,3
LogMine,HDFS,1,0:00:01.304703,90.734375,4
LogMine,HDFS,1,0:00:01.306276,90.375,5
LogMine,HDFS,1,0:00:01.303885,90.62890625,6
LogMine,HDFS,1,0:00:01.295070,90.68359375,7
LogMine,HDFS,1,0:00:01.305487,90.69921875,8
LogMine,HDFS,1,0:00:01.306777,91.08984375,9
LogMine,HDFS,1,0:00:01.300623,90.68359375,10
LogMine,HDFS,2,0:00:05.025870,93.171875,1
LogMine,HDFS,2,0:00:04.995621,93.15234375,2
LogMine,HDFS,2,0:00:05.025028,92.50390625,3
LogMine,HDFS,2,0:00:05.001259,92.8515625,4
LogMine,HDFS,2,0:00:05.048180,92.91796875,5
LogMine,HDFS,2,0:00:04.977777,93.13671875,6
LogMine,HDFS,2,0:00:05.036571,92.77734375,7
LogMine,HDFS,2,0:00:05.057976,93.078125,8
LogMine,HDFS,2,0:00:05.034351,92.55859375,9
LogMine,HDFS,2,0:00:05.008674,92.51171875,10
LogMine,HDFS,4,0:00:20.037322,97.421875,1
LogMine,HDFS,4,0:00:19.580173,97.109375,2
LogMine,HDFS,4,0:00:19.896518,97.2109375,3
LogMine,HDFS,4,0:00:19.720963,97.0234375,4
LogMine,HDFS,4,0:00:19.715561,96.96875,5
LogMine,HDFS,4,0:00:19.689859,96.96875,6
LogMine,HDFS,4,0:00:19.755413,97.09375,7
LogMine,HDFS,4,0:00:19.927679,97.37109375,8
LogMine,HDFS,4,0:00:19.757882,97.41015625,9
LogMine,HDFS,4,0:00:19.635163,97.08203125,10
LogMine,HDFS,10,0:02:05.571181,110.328125,1
LogMine,HDFS,10,0:02:05.598166,109.4453125,2
LogMine,HDFS,10,0:02:05.807050,109.56640625,3
LogMine,HDFS,10,0:02:05.223355,109.53125,4
LogMine,HDFS,10,0:02:06.732360,109.42578125,5
LogMine,HDFS,10,0:02:05.883950,110.41796875,6
LogMine,HDFS,10,0:02:05.913503,109.703125,7
LogMine,HDFS,10,0:02:05.397131,109.34375,8
LogMine,HDFS,10,0:02:05.765565,110.578125,9
LogMine,HDFS,10,0:02:05.695062,110.0703125,10
LogMine,Thunderbird,1,0:00:01.692890,90.8359375,1
LogMine,Thunderbird,1,0:00:01.691797,90.6328125,2
LogMine,Thunderbird,1,0:00:01.689672,91.15625,3
LogMine,Thunderbird,1,0:00:01.682862,90.8203125,4
LogMine,Thunderbird,1,0:00:01.677837,90.65234375,5
LogMine,Thunderbird,1,0:00:01.675641,91.0234375,6
LogMine,Thunderbird,1,0:00:01.675958,91.22265625,7
LogMine,Thunderbird,1,0:00:01.669548,90.88671875,8
LogMine,Thunderbird,1,0:00:01.679526,90.81640625,9
LogMine,Thunderbird,1,0:00:01.666657,90.88671875,10
LogMine,Thunderbird,2,0:00:06.702485,92.6796875,1
LogMine,Thunderbird,2,0:00:06.710529,93.2578125,2
LogMine,Thunderbird,2,0:00:06.678375,92.56640625,3
