method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,1
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,2
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,3
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,4
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,5
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,6
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,7
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,8
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,9
LogSig,OpenSSH,2,0.9978,0.9269,0.9611,0.3730,10
