method,dataset,log_size,elapsed_time,peak_memory,iteration_no
LogSig,Thunderbird,1,0:00:01.960061,91.421875,1
LogSig,Thunderbird,1,0:00:01.941927,91.234375,2
LogSig,Thunderbird,1,0:00:01.971544,91.4609375,3
LogSig,Thunderbird,1,0:00:01.931559,91.68359375,4
LogSig,Thunderbird,1,0:00:01.996241,91.03515625,5
LogSig,Thunderbird,1,0:00:01.972455,91.515625,6
LogSig,Thunderbird,1,0:00:01.963994,91.70703125,7
LogSig,Thunderbird,1,0:00:01.982999,91.421875,8
LogSig,Thunderbird,1,0:00:01.968483,91.5703125,9
LogSig,Thunderbird,1,0:00:01.984011,91.3515625,10
LogSig,Thunderbird,2,0:00:18.977984,147.484375,1
LogSig,Thunderbird,2,0:00:19.100451,147.61328125,2
LogSig,Thunderbird,2,0:00:19.249062,147.40625,3
LogSig,Thunderbird,2,0:00:19.450218,147.0078125,4
LogSig,Thunderbird,2,0:00:19.041559,147.3828125,5
LogSig,Thunderbird,2,0:00:19.412400,147.515625,6
LogSig,Thunderbird,2,0:00:19.297246,147.515625,7
LogSig,Thunderbird,2,0:00:19.351130,146.53515625,8
LogSig,Thunderbird,2,0:00:19.264152,147.1796875,9
LogSig,Thunderbird,2,0:00:18.923993,147.44921875,10
LogSig,Thunderbird,4,0:00:06.998982,102.89453125,1
LogSig,Thunderbird,4,0:00:06.953277,103.51953125,2
LogSig,Thunderbird,4,0:00:06.954183,103.39453125,3
LogSig,Thunderbird,4,0:00:06.822276,104.57421875,4
LogSig,Thunderbird,4,0:00:06.772311,102.56640625,5
LogSig,Thunderbird,4,0:00:06.935356,104.06640625,6
LogSig,Thunderbird,4,0:00:06.808264,102.54296875,7
LogSig,Thunderbird,4,0:00:06.916060,102.6796875,8
LogSig,Thunderbird,4,0:00:06.895039,102.98828125,9
LogSig,Thunderbird,4,0:00:06.870345,103.453125,10
LogSig,Thunderbird,10,0:01:22.731584,247.0234375,1
LogSig,Thunderbird,10,0:01:21.529063,247.46484375,2
LogSig,Thunderbird,10,0:01:23.109547,247.49609375,3
LogSig,Thunderbird,10,0:01:23.211721,247.08203125,4
LogSig,Thunderbird,10,0:01:22.133572,247.55078125,5
LogSig,Thunderbird,10,0:01:23.615138,247.26171875,6
LogSig,Thunderbird,10,0:01:22.224754,246.96484375,7
LogSig,Thunderbird,10,0:01:22.148526,247.05078125,8
LogSig,Thunderbird,10,0:01:22.823229,245.48828125,9
LogSig,Thunderbird,10,0:01:23.009995,246.90234375,10
LogSig,Thunderbird,20,0:03:01.857097,303.21484375,1
LogSig,Thunderbird,20,0:02:55.858229,303.10546875,2
LogSig,Thunderbird,20,0:02:58.785232,303.1796875,3
LogSig,Thunderbird,20,0:02:55.740859,303.234375,4
LogSig,Thunderbird,20,0:03:00.304787,303.33203125,5
LogSig,Thunderbird,20,0:02:56.276032,303.1171875,6
LogSig,Thunderbird,20,0:02:58.317326,303.14453125,7
LogSig,Thunderbird,20,0:02:53.385759,303.06640625,8
LogSig,Thunderbird,20,0:02:57.823551,303.1640625,9
LogSig,Thunderbird,20,0:02:54.246838,303.1171875,10
LogSig,Thunderbird,50,0:06:08.715810,532.08984375,1
LogSig,Thunderbird,50,0:06:08.237535,531.796875,2
LogSig,Thunderbird,50,0:06:06.103381,531.76953125,3
LogSig,Thunderbird,50,0:06:10.188147,531.91796875,4
LogSig,Thunderbird,50,0:06:15.937018,532.046875,5
LogSig,Thunderbird,50,0:06:15.614339,532.1171875,6
LogSig,Thunderbird,50,0:06:19.269502,532.06640625,7
LogSig,Thunderbird,50,0:06:15.586036,531.73828125,8
LogSig,Thunderbird,50,0:06:18.073808,531.49609375,9
LogSig,Thunderbird,50,0:06:18.394113,532.09375,10
LogSig,Thunderbird,100,0:08:25.610299,721.83984375,1
LogSig,Thunderbird,100,0:08:38.374120,721.6484375,2
LogSig,Thunderbird,100,0:08:37.549355,722.171875,3
LogSig,Thunderbird,100,0:08:30.022411,722.04296875,4
LogSig,Thunderbird,100,0:08:36.895414,722.13671875,5
LogSig,Thunderbird,100,0:08:25.588166,721.84765625,6
LogSig,Thunderbird,100,0:08:26.623658,721.88671875,7
LogSig,Thunderbird,100,0:08:34.903919,721.98828125,8
LogSig,Thunderbird,100,0:08:33.912078,721.93359375,9
LogSig,Thunderbird,100,0:08:28.421275,721.83203125,10
LogSig,Thunderbird,200,0:12:30.582912,1043.6328125,1
LogSig,Thunderbird,200,0:12:16.742732,1043.28125,2
LogSig,Thunderbird,200,0:12:30.777590,1043.60546875,3
LogSig,Thunderbird,200,0:12:17.383119,1043.265625,4
LogSig,Thunderbird,200,0:12:29.086340,1043.58203125,5
LogSig,Thunderbird,200,0:12:26.090493,1043.6640625,6
LogSig,Thunderbird,200,0:12:17.617966,1043.66796875,7
LogSig,Thunderbird,200,0:12:29.655921,1043.60546875,8
LogSig,Thunderbird,200,0:12:18.120050,1043.66796875,9
LogSig,Thunderbird,200,0:12:17.782523,1043.1171875,10
