method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,1
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,2
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,3
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,4
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,5
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,6
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,7
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,8
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,9
MoLFI,HDFS,2,1.0000,1.0000,1.0000,0.9975,10
