method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,1
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,2
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,3
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,4
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,5
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,6
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,7
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,8
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,9
MoLFI,OpenSSH,2,0.9966,0.9986,0.9976,0.5400,10
