method,dataset,log_size,elapsed_time,peak_memory,iteration_no
MoLFI,Windows,1,0:00:38.567076,111.140625,1
MoLFI,Windows,1,0:00:40.364467,110.8984375,2
MoLFI,Windows,1,0:00:44.379516,111.31640625,3
MoLFI,Windows,1,0:00:38.163667,110.79296875,4
MoLFI,Windows,1,0:00:36.917571,110.9375,5
MoLFI,Windows,1,0:00:37.678705,110.5625,6
MoLFI,Windows,1,0:00:40.199261,110.58203125,7
MoLFI,Windows,1,0:00:36.088535,110.64453125,8
MoLFI,Windows,1,0:00:37.577981,110.6640625,9
MoLFI,Windows,1,0:00:37.393442,110.83984375,10
MoLFI,Windows,2,0:00:33.166443,111.6171875,1
MoLFI,Windows,2,0:00:41.683563,112.2109375,2
MoLFI,Windows,2,0:00:43.653372,111.57421875,3
MoLFI,Windows,2,0:00:38.264400,111.984375,4
MoLFI,Windows,2,0:00:39.281087,111.7890625,5
MoLFI,Windows,2,0:00:43.194610,112.203125,6
MoLFI,Windows,2,0:00:38.360068,112.66015625,7
MoLFI,Windows,2,0:00:42.817295,111.55078125,8
MoLFI,Windows,2,0:00:40.157597,111.44140625,9
MoLFI,Windows,2,0:00:36.608703,111.515625,10
MoLFI,Windows,4,0:00:49.816603,115.0703125,1
MoLFI,Windows,4,0:00:47.944640,114.09375,2
MoLFI,Windows,4,0:00:43.432695,114.16015625,3
MoLFI,Windows,4,0:00:43.746384,114.42578125,4
MoLFI,Windows,4,0:00:45.706171,115.72265625,5
MoLFI,Windows,4,0:00:45.172451,114.11328125,6
MoLFI,Windows,4,0:00:46.006168,114.30078125,7
MoLFI,Windows,4,0:00:42.541767,114.33203125,8
MoLFI,Windows,4,0:00:41.832059,114.15625,9
MoLFI,Windows,4,0:00:36.871497,114.15625,10
MoLFI,Windows,10,0:00:56.441982,122.609375,1
MoLFI,Windows,10,0:00:46.560196,121.1328125,2
MoLFI,Windows,10,0:00:53.937449,123.03125,3
MoLFI,Windows,10,0:00:46.981754,122.4609375,4
MoLFI,Windows,10,0:00:52.000686,122.80078125,5
MoLFI,Windows,10,0:00:55.659055,122.83203125,6
MoLFI,Windows,10,0:00:55.548089,122.5078125,7
MoLFI,Windows,10,0:00:49.403467,122.5625,8
MoLFI,Windows,10,0:00:53.869850,120.828125,9
MoLFI,Windows,10,0:00:51.826488,122.67578125,10
MoLFI,Windows,20,0:01:32.302633,135.125,1
MoLFI,Windows,20,0:01:23.719635,134.1640625,2
MoLFI,Windows,20,0:01:22.885014,134.78515625,3
MoLFI,Windows,20,0:01:19.689581,134.4453125,4
MoLFI,Windows,20,0:01:18.703776,133.953125,5
MoLFI,Windows,20,0:01:25.181028,134.703125,6
MoLFI,Windows,20,0:01:20.718320,133.73828125,7
MoLFI,Windows,20,0:01:12.272092,134.23828125,8
MoLFI,Windows,20,0:01:20.262213,134.4921875,9
MoLFI,Windows,20,0:01:21.169077,134.41015625,10
MoLFI,Windows,50,0:09:52.333752,243.15234375,1
MoLFI,Windows,50,0:09:21.158762,242.8046875,2
MoLFI,Windows,50,0:09:23.403881,242.5625,3
MoLFI,Windows,50,0:09:22.913849,242.66015625,4
MoLFI,Windows,50,0:09:36.294110,242.859375,5
MoLFI,Windows,50,0:09:28.136931,242.81640625,6
MoLFI,Windows,50,0:09:34.495947,242.62890625,7
MoLFI,Windows,50,0:09:38.087203,243.34765625,8
MoLFI,Windows,50,0:10:05.285741,242.98046875,9
MoLFI,Windows,50,0:09:26.993751,242.68359375,10
