method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SHISO,BGL,1,0:00:00.277198,126.8203125,1
SHISO,BGL,1,0:00:00.278312,126.90625,2
SHISO,BGL,1,0:00:00.275610,127.32421875,3
SHISO,BGL,1,0:00:00.279409,126.91015625,4
SHISO,BGL,1,0:00:00.281892,126.875,5
SHISO,BGL,1,0:00:00.295098,126.8359375,6
SHISO,BGL,1,0:00:00.282802,127.2734375,7
SHISO,BGL,1,0:00:00.269175,126.75,8
SHISO,BGL,1,0:00:00.281220,126.69921875,9
SHISO,BGL,1,0:00:00.280051,126.8515625,10
SHISO,BGL,2,0:00:04.862802,128.54296875,1
SHISO,BGL,2,0:00:04.858545,128.0625,2
SHISO,BGL,2,0:00:04.807503,128.05078125,3
SHISO,BGL,2,0:00:04.825683,128.0078125,4
SHISO,BGL,2,0:00:04.876478,127.8828125,5
SHISO,BGL,2,0:00:04.871684,128.0625,6
SHISO,BGL,2,0:00:04.893298,127.98828125,7
SHISO,BGL,2,0:00:04.848518,127.953125,8
SHISO,BGL,2,0:00:04.867780,128.17578125,9
SHISO,BGL,2,0:00:04.862566,127.9140625,10
SHISO,BGL,4,0:00:00.996021,129.12109375,1
SHISO,BGL,4,0:00:00.982966,129.0,2
SHISO,BGL,4,0:00:00.985164,129.08203125,3
SHISO,BGL,4,0:00:00.993717,129.06640625,4
SHISO,BGL,4,0:00:01.001508,129.21875,5
SHISO,BGL,4,0:00:00.993797,128.9375,6
SHISO,BGL,4,0:00:00.988823,129.015625,7
SHISO,BGL,4,0:00:00.993490,129.0078125,8
SHISO,BGL,4,0:00:00.987746,129.16796875,9
SHISO,BGL,4,0:00:00.984845,129.12890625,10
SHISO,BGL,10,0:00:05.603181,134.1171875,1
SHISO,BGL,10,0:00:05.636387,135.77734375,2
SHISO,BGL,10,0:00:05.617952,135.78515625,3
SHISO,BGL,10,0:00:05.560583,135.19140625,4
SHISO,BGL,10,0:00:05.585683,135.921875,5
SHISO,BGL,10,0:00:05.546783,135.80078125,6
SHISO,BGL,10,0:00:05.637169,135.14453125,7
SHISO,BGL,10,0:00:05.625269,135.09765625,8
SHISO,BGL,10,0:00:05.551938,135.203125,9
SHISO,BGL,10,0:00:05.538523,135.1953125,10
SHISO,BGL,20,0:00:14.954113,145.04296875,1
SHISO,BGL,20,0:00:14.759898,146.09765625,2
SHISO,BGL,20,0:00:15.051213,146.84765625,3
SHISO,BGL,20,0:00:15.180175,146.27734375,4
SHISO,BGL,20,0:00:15.017767,146.25390625,5
SHISO,BGL,20,0:00:14.843613,144.45703125,6
SHISO,BGL,20,0:00:14.857814,144.5703125,7
SHISO,BGL,20,0:00:15.049017,144.58984375,8
SHISO,BGL,20,0:00:15.008398,144.68359375,9
SHISO,BGL,20,0:00:14.883329,146.1796875,10
SHISO,BGL,50,0:00:21.574784,172.1015625,1
SHISO,BGL,50,0:00:21.489877,172.48046875,2
SHISO,BGL,50,0:00:21.693168,172.33203125,3
SHISO,BGL,50,0:00:21.702737,172.44921875,4
SHISO,BGL,50,0:00:21.640172,172.4921875,5
SHISO,BGL,50,0:00:21.523856,172.08203125,6
SHISO,BGL,50,0:00:21.668330,172.66015625,7
SHISO,BGL,50,0:00:21.641848,172.67578125,8
SHISO,BGL,50,0:00:21.689669,173.0,9
SHISO,BGL,50,0:00:21.869847,172.515625,10
SHISO,BGL,100,0:00:34.267157,218.4140625,1
SHISO,BGL,100,0:00:34.618410,218.85546875,2
SHISO,BGL,100,0:00:34.802213,218.33984375,3
SHISO,BGL,100,0:00:34.089486,217.9453125,4
SHISO,BGL,100,0:00:34.482311,217.9609375,5
SHISO,BGL,100,0:00:34.225529,218.40625,6
SHISO,BGL,100,0:00:34.166195,218.44140625,7
SHISO,BGL,100,0:00:34.844997,218.625,8
SHISO,BGL,100,0:00:34.375356,218.30078125,9
SHISO,BGL,100,0:00:34.554556,218.51953125,10
SHISO,BGL,200,0:01:11.790809,312.16015625,1
SHISO,BGL,200,0:01:11.306529,311.578125,2
SHISO,BGL,200,0:01:10.701500,311.78515625,3
SHISO,BGL,200,0:01:11.796024,311.6875,4
SHISO,BGL,200,0:01:11.775425,311.61328125,5
SHISO,BGL,200,0:01:11.619346,311.32421875,6
SHISO,BGL,200,0:01:10.924472,311.3203125,7
SHISO,BGL,200,0:01:10.920153,311.4921875,8
SHISO,BGL,200,0:01:11.343936,312.07421875,9
SHISO,BGL,200,0:01:11.044788,311.578125,10
SHISO,BGL,300,0:02:39.538616,408.0703125,1
SHISO,BGL,300,0:02:39.539015,407.1171875,2
SHISO,BGL,300,0:02:39.204606,407.47265625,3
SHISO,BGL,300,0:02:38.625252,407.09375,4
SHISO,BGL,300,0:02:39.822376,407.38671875,5
SHISO,BGL,300,0:02:36.430855,407.36328125,6
SHISO,BGL,300,0:02:37.957572,407.00390625,7
SHISO,BGL,300,0:02:37.695600,407.453125,8
SHISO,BGL,300,0:02:38.219662,407.828125,9
SHISO,BGL,300,0:02:37.511990,407.71875,10
