method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,1
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,2
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,3
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,4
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,5
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,6
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,7
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,8
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,9
SHISO,HDFS,2,1.0000,1.0000,1.0000,0.9975,10
