method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SHISO,OpenSSH,1,0:00:01.660117,126.48828125,1
SHISO,OpenSSH,1,0:00:01.682565,126.63671875,2
SHISO,OpenSSH,1,0:00:01.663030,126.41015625,3
SHISO,OpenSSH,1,0:00:01.651204,126.79296875,4
SHISO,OpenSSH,1,0:00:01.681548,126.6328125,5
SHISO,OpenSSH,1,0:00:01.655125,126.44140625,6
SHISO,OpenSSH,1,0:00:01.658182,126.28515625,7
SHISO,OpenSSH,1,0:00:01.658709,126.484375,8
SHISO,OpenSSH,1,0:00:01.686590,126.4921875,9
SHISO,OpenSSH,1,0:00:01.693901,127.12890625,10
SHISO,OpenSSH,2,0:00:04.083789,127.05859375,1
SHISO,OpenSSH,2,0:00:04.176263,127.41796875,2
SHISO,OpenSSH,2,0:00:04.126118,127.22265625,3
SHISO,OpenSSH,2,0:00:04.224259,127.11328125,4
SHISO,OpenSSH,2,0:00:04.192208,127.421875,5
SHISO,OpenSSH,2,0:00:04.206363,127.35546875,6
SHISO,OpenSSH,2,0:00:04.110322,127.234375,7
SHISO,OpenSSH,2,0:00:04.188003,127.76953125,8
SHISO,OpenSSH,2,0:00:04.157369,127.578125,9
SHISO,OpenSSH,2,0:00:04.173556,127.8828125,10
SHISO,OpenSSH,4,0:00:09.190107,129.6171875,1
SHISO,OpenSSH,4,0:00:09.234327,129.07421875,2
SHISO,OpenSSH,4,0:00:09.260590,128.98046875,3
SHISO,OpenSSH,4,0:00:09.275924,128.98046875,4
SHISO,OpenSSH,4,0:00:09.118342,129.0390625,5
SHISO,OpenSSH,4,0:00:09.155264,129.11328125,6
SHISO,OpenSSH,4,0:00:09.229426,129.48046875,7
SHISO,OpenSSH,4,0:00:09.178122,129.15234375,8
SHISO,OpenSSH,4,0:00:09.354399,129.52734375,9
SHISO,OpenSSH,4,0:00:09.244783,128.87109375,10
SHISO,OpenSSH,10,0:00:21.797355,133.1796875,1
SHISO,OpenSSH,10,0:00:21.750218,132.15625,2
SHISO,OpenSSH,10,0:00:21.802809,133.27734375,3
SHISO,OpenSSH,10,0:00:21.798377,133.46875,4
SHISO,OpenSSH,10,0:00:22.111645,132.9921875,5
SHISO,OpenSSH,10,0:00:22.238273,132.92578125,6
SHISO,OpenSSH,10,0:00:21.605702,132.59765625,7
SHISO,OpenSSH,10,0:00:21.695258,133.23046875,8
SHISO,OpenSSH,10,0:00:21.685304,133.46484375,9
SHISO,OpenSSH,10,0:00:22.009766,133.1875,10
SHISO,OpenSSH,20,0:00:48.315797,140.17578125,1
SHISO,OpenSSH,20,0:00:48.551349,140.453125,2
SHISO,OpenSSH,20,0:00:48.653048,140.34375,3
SHISO,OpenSSH,20,0:00:47.898642,141.31640625,4
SHISO,OpenSSH,20,0:00:48.141944,140.31640625,5
SHISO,OpenSSH,20,0:00:48.615767,140.1640625,6
SHISO,OpenSSH,20,0:00:48.053155,140.17578125,7
SHISO,OpenSSH,20,0:00:48.113608,140.3984375,8
SHISO,OpenSSH,20,0:00:47.636935,140.2109375,9
SHISO,OpenSSH,20,0:00:47.507570,140.625,10
SHISO,OpenSSH,50,0:02:00.303980,162.78125,1
SHISO,OpenSSH,50,0:01:58.925224,163.16015625,2
SHISO,OpenSSH,50,0:02:00.493590,163.02734375,3
SHISO,OpenSSH,50,0:01:58.509954,163.07421875,4
SHISO,OpenSSH,50,0:01:59.995616,162.8671875,5
SHISO,OpenSSH,50,0:01:58.985893,163.30078125,6
SHISO,OpenSSH,50,0:02:00.217081,162.9921875,7
SHISO,OpenSSH,50,0:01:58.518531,162.65234375,8
SHISO,OpenSSH,50,0:02:00.799379,163.44140625,9
SHISO,OpenSSH,50,0:01:58.368252,162.74609375,10
SHISO,OpenSSH,100,0:03:52.248835,199.33984375,1
SHISO,OpenSSH,100,0:03:52.987443,193.828125,2
SHISO,OpenSSH,100,0:03:54.353093,199.63671875,3
SHISO,OpenSSH,100,0:03:50.702865,199.05859375,4
SHISO,OpenSSH,100,0:03:50.748721,193.87109375,5
SHISO,OpenSSH,100,0:03:50.684241,193.8359375,6
SHISO,OpenSSH,100,0:03:54.597905,194.0,7
SHISO,OpenSSH,100,0:03:49.355982,194.1875,8
SHISO,OpenSSH,100,0:03:51.341410,193.73828125,9
SHISO,OpenSSH,100,0:03:49.614295,193.88671875,10
SHISO,OpenSSH,200,0:07:34.641153,263.96875,1
SHISO,OpenSSH,200,0:07:33.773042,271.82421875,2
SHISO,OpenSSH,200,0:07:36.709345,263.8515625,3
SHISO,OpenSSH,200,0:07:28.040963,264.2734375,4
SHISO,OpenSSH,200,0:07:27.094408,271.07421875,5
SHISO,OpenSSH,200,0:07:32.684815,271.51953125,6
SHISO,OpenSSH,200,0:07:33.670866,271.2890625,7
SHISO,OpenSSH,200,0:07:26.333637,271.3515625,8
SHISO,OpenSSH,200,0:07:29.409249,271.3984375,9
SHISO,OpenSSH,200,0:07:34.917861,263.9375,10
SHISO,OpenSSH,300,0:10:40.012688,332.82421875,1
SHISO,OpenSSH,300,0:10:39.290886,332.46484375,2
SHISO,OpenSSH,300,0:10:52.029810,332.484375,3
SHISO,OpenSSH,300,0:10:48.376338,332.875,4
SHISO,OpenSSH,300,0:10:46.826874,332.77734375,5
SHISO,OpenSSH,300,0:10:38.585705,332.45703125,6
SHISO,OpenSSH,300,0:10:36.601522,332.42578125,7
SHISO,OpenSSH,300,0:10:40.130766,332.47265625,8
SHISO,OpenSSH,300,0:10:44.077404,332.6953125,9
SHISO,OpenSSH,300,0:10:36.649639,332.625,10
