method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SHISO,Thunderbird,1,0:00:02.777024,127.15234375,1
SHISO,Thunderbird,1,0:00:02.813528,127.0703125,2
SHISO,Thunderbird,1,0:00:02.748641,127.08203125,3
SHISO,Thunderbird,1,0:00:02.785994,127.0390625,4
SHISO,Thunderbird,1,0:00:02.808285,127.10546875,5
SHISO,Thunderbird,1,0:00:02.777349,127.55078125,6
SHISO,Thunderbird,1,0:00:02.772213,127.2109375,7
SHISO,Thunderbird,1,0:00:02.774677,127.234375,8
SHISO,Thunderbird,1,0:00:02.791639,127.08203125,9
SHISO,Thunderbird,1,0:00:02.747036,126.85546875,10
SHISO,Thunderbird,2,0:00:02.786742,128.1484375,1
SHISO,Thunderbird,2,0:00:02.767938,128.125,2
SHISO,Thunderbird,2,0:00:02.778277,128.09765625,3
SHISO,Thunderbird,2,0:00:02.764981,128.01953125,4
SHISO,Thunderbird,2,0:00:02.763623,127.88671875,5
SHISO,Thunderbird,2,0:00:02.747064,128.1640625,6
SHISO,Thunderbird,2,0:00:02.774613,128.19140625,7
SHISO,Thunderbird,2,0:00:02.794990,128.1796875,8
SHISO,Thunderbird,2,0:00:02.770100,128.03125,9
SHISO,Thunderbird,2,0:00:02.787593,128.17578125,10
SHISO,Thunderbird,4,0:00:13.508026,130.08203125,1
SHISO,Thunderbird,4,0:00:13.537914,130.4140625,2
SHISO,Thunderbird,4,0:00:13.644671,130.83984375,3
SHISO,Thunderbird,4,0:00:13.581748,130.57421875,4
SHISO,Thunderbird,4,0:00:13.468316,130.11328125,5
SHISO,Thunderbird,4,0:00:13.826335,130.65625,6
SHISO,Thunderbird,4,0:00:13.602659,130.30078125,7
SHISO,Thunderbird,4,0:00:13.734692,130.4375,8
SHISO,Thunderbird,4,0:00:13.724341,130.625,9
SHISO,Thunderbird,4,0:00:13.784127,130.4453125,10
SHISO,Thunderbird,10,0:00:49.709286,136.14453125,1
SHISO,Thunderbird,10,0:00:50.337407,136.72265625,2
SHISO,Thunderbird,10,0:00:50.039787,136.22265625,3
SHISO,Thunderbird,10,0:00:49.910424,136.1796875,4
SHISO,Thunderbird,10,0:00:49.947058,136.1953125,5
SHISO,Thunderbird,10,0:00:49.667745,136.0859375,6
SHISO,Thunderbird,10,0:00:49.869912,136.41015625,7
SHISO,Thunderbird,10,0:00:50.306992,136.1953125,8
SHISO,Thunderbird,10,0:00:49.379250,136.37109375,9
SHISO,Thunderbird,10,0:00:49.914173,136.40625,10
SHISO,Thunderbird,20,0:01:32.832141,147.67578125,1
SHISO,Thunderbird,20,0:01:32.858874,148.2421875,2
SHISO,Thunderbird,20,0:01:31.324456,147.6953125,3
SHISO,Thunderbird,20,0:01:31.608836,147.69140625,4
SHISO,Thunderbird,20,0:01:33.903351,147.8125,5
SHISO,Thunderbird,20,0:01:32.450919,147.6640625,6
SHISO,Thunderbird,20,0:01:31.971836,147.65234375,7
SHISO,Thunderbird,20,0:01:33.458603,147.7734375,8
SHISO,Thunderbird,20,0:01:32.148572,147.3828125,9
SHISO,Thunderbird,20,0:01:31.852849,148.0703125,10
