method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SHISO,Windows,1,0:00:02.217961,126.5234375,1
SHISO,Windows,1,0:00:02.215133,127.02734375,2
SHISO,Windows,1,0:00:02.213795,127.0625,3
SHISO,Windows,1,0:00:02.194731,127.07421875,4
SHISO,Windows,1,0:00:02.217841,127.07421875,5
SHISO,Windows,1,0:00:02.210895,126.40234375,6
SHISO,Windows,1,0:00:02.240146,126.99609375,7
SHISO,Windows,1,0:00:02.227065,126.66015625,8
SHISO,Windows,1,0:00:02.222609,126.61328125,9
SHISO,Windows,1,0:00:02.229251,127.08984375,10
SHISO,Windows,2,0:00:04.946511,127.64453125,1
SHISO,Windows,2,0:00:04.993241,127.22265625,2
SHISO,Windows,2,0:00:04.933282,127.1015625,3
SHISO,Windows,2,0:00:04.939652,127.171875,4
SHISO,Windows,2,0:00:04.965376,127.87109375,5
SHISO,Windows,2,0:00:05.051762,127.453125,6
SHISO,Windows,2,0:00:04.921737,127.4375,7
SHISO,Windows,2,0:00:04.958470,127.21875,8
SHISO,Windows,2,0:00:05.017750,127.44140625,9
SHISO,Windows,2,0:00:04.966732,127.46875,10
SHISO,Windows,4,0:00:08.640397,128.9453125,1
SHISO,Windows,4,0:00:08.721144,128.9296875,2
SHISO,Windows,4,0:00:08.690727,128.7265625,3
SHISO,Windows,4,0:00:08.741212,128.65234375,4
SHISO,Windows,4,0:00:08.796320,128.6328125,5
SHISO,Windows,4,0:00:08.767301,128.703125,6
SHISO,Windows,4,0:00:08.802668,129.0234375,7
SHISO,Windows,4,0:00:08.689272,128.7265625,8
SHISO,Windows,4,0:00:08.682980,128.62890625,9
SHISO,Windows,4,0:00:08.794302,128.71875,10
SHISO,Windows,10,0:00:21.607060,132.984375,1
SHISO,Windows,10,0:00:21.478845,133.0390625,2
SHISO,Windows,10,0:00:22.242783,132.515625,3
SHISO,Windows,10,0:00:21.880270,131.9453125,4
SHISO,Windows,10,0:00:22.072588,131.7109375,5
SHISO,Windows,10,0:00:21.507088,132.90625,6
SHISO,Windows,10,0:00:22.031247,132.5,7
SHISO,Windows,10,0:00:21.888163,133.015625,8
SHISO,Windows,10,0:00:21.741281,132.59375,9
SHISO,Windows,10,0:00:21.720222,132.48828125,10
SHISO,Windows,20,0:00:43.133102,139.21875,1
SHISO,Windows,20,0:00:43.556737,139.38671875,2
SHISO,Windows,20,0:00:43.495490,139.28515625,3
SHISO,Windows,20,0:00:43.894071,139.40625,4
SHISO,Windows,20,0:00:43.523152,139.078125,5
SHISO,Windows,20,0:00:43.172130,139.33203125,6
SHISO,Windows,20,0:00:43.578728,139.21484375,7
SHISO,Windows,20,0:00:43.848256,139.375,8
SHISO,Windows,20,0:00:44.066555,139.79296875,9
SHISO,Windows,20,0:00:43.670891,139.171875,10
SHISO,Windows,50,0:03:00.657992,163.48046875,1
SHISO,Windows,50,0:02:56.688284,162.96875,2
SHISO,Windows,50,0:02:58.366599,163.20703125,3
SHISO,Windows,50,0:02:59.356341,162.97265625,4
SHISO,Windows,50,0:03:01.652258,163.07421875,5
SHISO,Windows,50,0:03:00.002933,163.0703125,6
SHISO,Windows,50,0:02:57.801998,162.890625,7
SHISO,Windows,50,0:02:58.808379,163.0390625,8
SHISO,Windows,50,0:02:58.702721,163.5,9
SHISO,Windows,50,0:03:00.628294,163.08203125,10
SHISO,Windows,100,0:07:01.976033,203.58984375,1
SHISO,Windows,100,0:07:03.251947,203.55078125,2
SHISO,Windows,100,0:07:02.865518,199.26171875,3
SHISO,Windows,100,0:07:03.081482,199.17578125,4
SHISO,Windows,100,0:06:58.041381,199.171875,5
SHISO,Windows,100,0:07:01.010787,198.96875,6
SHISO,Windows,100,0:07:06.733252,204.01171875,7
SHISO,Windows,100,0:07:04.135743,199.4140625,8
SHISO,Windows,100,0:07:02.148128,199.09765625,9
SHISO,Windows,100,0:06:57.010259,199.03125,10
SHISO,Windows,200,0:15:30.365547,277.5,1
SHISO,Windows,200,0:15:30.022890,281.58203125,2
SHISO,Windows,200,0:15:19.743900,274.921875,3
SHISO,Windows,200,0:15:15.905596,274.90625,4
SHISO,Windows,200,0:15:21.683430,275.0625,5
SHISO,Windows,200,0:15:25.111943,275.546875,6
SHISO,Windows,200,0:15:25.686394,275.078125,7
SHISO,Windows,200,0:15:35.029824,274.84765625,8
SHISO,Windows,200,0:15:19.085937,275.20703125,9
SHISO,Windows,200,0:15:13.901535,275.296875,10
SHISO,Windows,300,0:23:46.009348,367.765625,1
SHISO,Windows,300,0:23:53.878850,364.5234375,2
SHISO,Windows,300,0:23:25.903931,367.17578125,3
SHISO,Windows,300,0:23:20.629419,365.9140625,4
SHISO,Windows,300,0:23:39.878340,365.0078125,5
SHISO,Windows,300,0:23:40.103689,364.87109375,6
SHISO,Windows,300,0:23:27.048668,364.1171875,7
SHISO,Windows,300,0:23:39.232806,365.0078125,8
SHISO,Windows,300,0:23:57.547589,364.6640625,9
SHISO,Windows,300,0:23:39.924625,364.67578125,10
SHISO,Windows,500,0:39:50.523092,538.91796875,1
SHISO,Windows,500,0:39:59.200110,530.91796875,2
SHISO,Windows,500,0:40:39.355113,530.8828125,3
SHISO,Windows,500,0:40:16.665105,532.421875,4
SHISO,Windows,500,0:40:20.218738,532.2890625,5
SHISO,Windows,500,0:39:53.547863,533.484375,6
SHISO,Windows,500,0:40:38.315702,537.94140625,7
SHISO,Windows,500,0:39:53.341940,531.6328125,8
SHISO,Windows,500,0:40:08.618476,532.171875,9
SHISO,Windows,500,0:39:41.700504,533.20703125,10
SHISO,Windows,1000,1:22:34.808415,962.14453125,1
SHISO,Windows,1000,1:21:29.419539,960.93359375,2
SHISO,Windows,1000,1:22:15.392564,964.203125,3
SHISO,Windows,1000,1:21:13.911055,963.375,4
SHISO,Windows,1000,1:22:07.760087,964.9375,5
SHISO,Windows,1000,1:21:52.756185,964.70703125,6
SHISO,Windows,1000,1:21:24.024911,962.25,7
SHISO,Windows,1000,1:21:25.991523,963.3671875,8
SHISO,Windows,1000,1:21:45.566966,959.953125,9
SHISO,Windows,1000,1:22:11.573259,966.01953125,10
