method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,1
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,2
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,3
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,4
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,5
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,6
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,7
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,8
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,9
SLCT,BGL,2,0.9931,0.9202,0.9552,0.5725,10
