method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,1
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,2
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,3
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,4
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,5
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,6
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,7
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,8
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,9
SLCT,HDFS,2,0.9711,0.9606,0.9658,0.5450,10
