method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,1
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,2
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,3
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,4
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,5
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,6
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,7
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,8
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,9
SLCT,OpenSSH,2,0.9920,0.9596,0.9755,0.5210,10
