method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SLCT,OpenSSH,1,0:00:00.554038,89.671875,1
SLCT,OpenSSH,1,0:00:00.549140,89.4453125,2
SLCT,OpenSSH,1,0:00:00.568965,89.74609375,3
SLCT,OpenSSH,1,0:00:00.551628,89.48046875,4
SLCT,OpenSSH,1,0:00:00.550687,89.26953125,5
SLCT,OpenSSH,1,0:00:00.553323,89.3671875,6
SLCT,OpenSSH,1,0:00:00.550250,89.63671875,7
SLCT,OpenSSH,1,0:00:00.554460,89.4609375,8
SLCT,OpenSSH,1,0:00:00.552848,89.6796875,9
SLCT,OpenSSH,1,0:00:00.546315,89.3515625,10
SLCT,OpenSSH,2,0:00:00.752315,90.6796875,1
SLCT,OpenSSH,2,0:00:00.764192,90.80078125,2
SLCT,OpenSSH,2,0:00:00.764793,90.68359375,3
SLCT,OpenSSH,2,0:00:00.756127,91.0078125,4
SLCT,OpenSSH,2,0:00:00.751933,90.984375,5
SLCT,OpenSSH,2,0:00:00.754707,90.796875,6
SLCT,OpenSSH,2,0:00:00.755463,90.83203125,7
SLCT,OpenSSH,2,0:00:00.750675,90.57421875,8
SLCT,OpenSSH,2,0:00:00.757714,90.6171875,9
SLCT,OpenSSH,2,0:00:00.755868,91.07421875,10
SLCT,OpenSSH,4,0:00:01.112494,93.6953125,1
SLCT,OpenSSH,4,0:00:01.095374,93.43359375,2
SLCT,OpenSSH,4,0:00:01.085461,93.625,3
SLCT,OpenSSH,4,0:00:01.092631,93.69921875,4
SLCT,OpenSSH,4,0:00:01.134267,93.51953125,5
SLCT,OpenSSH,4,0:00:01.101079,93.81640625,6
SLCT,OpenSSH,4,0:00:01.099275,93.76171875,7
SLCT,OpenSSH,4,0:00:01.100763,93.68359375,8
SLCT,OpenSSH,4,0:00:01.098720,93.46875,9
SLCT,OpenSSH,4,0:00:01.098514,93.68359375,10
SLCT,OpenSSH,20,0:00:04.431778,115.50390625,1
SLCT,OpenSSH,20,0:00:04.432781,115.23046875,2
SLCT,OpenSSH,20,0:00:04.460373,115.2890625,3
SLCT,OpenSSH,20,0:00:04.467817,115.1015625,4
SLCT,OpenSSH,20,0:00:04.468381,114.51953125,5
SLCT,OpenSSH,20,0:00:04.437020,115.5390625,6
SLCT,OpenSSH,20,0:00:04.468581,115.2890625,7
SLCT,OpenSSH,20,0:00:04.449404,115.54296875,8
SLCT,OpenSSH,20,0:00:04.440211,115.3984375,9
SLCT,OpenSSH,20,0:00:04.429298,115.296875,10
SLCT,OpenSSH,50,0:00:11.441326,154.8046875,1
SLCT,OpenSSH,50,0:00:11.442184,154.43359375,2
SLCT,OpenSSH,50,0:00:11.485560,154.51953125,3
SLCT,OpenSSH,50,0:00:11.513872,154.703125,4
SLCT,OpenSSH,50,0:00:11.508358,154.80078125,5
SLCT,OpenSSH,50,0:00:11.530448,155.296875,6
SLCT,OpenSSH,50,0:00:11.491687,154.515625,7
SLCT,OpenSSH,50,0:00:11.502825,154.83984375,8
SLCT,OpenSSH,50,0:00:11.578737,154.59375,9
SLCT,OpenSSH,50,0:00:11.497979,154.921875,10
SLCT,OpenSSH,100,0:00:26.128789,222.5390625,1
SLCT,OpenSSH,100,0:00:26.074801,222.890625,2
SLCT,OpenSSH,100,0:00:26.207557,222.80078125,3
SLCT,OpenSSH,100,0:00:26.008878,222.50390625,4
SLCT,OpenSSH,100,0:00:25.893722,222.859375,5
SLCT,OpenSSH,100,0:00:25.715889,222.5,6
SLCT,OpenSSH,100,0:00:25.786612,225.26171875,7
SLCT,OpenSSH,100,0:00:25.935431,222.5234375,8
SLCT,OpenSSH,100,0:00:26.009490,223.01171875,9
SLCT,OpenSSH,100,0:00:25.819382,224.734375,10
SLCT,OpenSSH,200,0:01:11.457066,340.3515625,1
SLCT,OpenSSH,200,0:01:11.096866,346.73046875,2
SLCT,OpenSSH,200,0:01:11.738101,345.078125,3
SLCT,OpenSSH,200,0:01:11.473149,345.7578125,4
SLCT,OpenSSH,200,0:01:11.418750,340.37109375,5
SLCT,OpenSSH,200,0:01:11.249771,342.6875,6
SLCT,OpenSSH,200,0:01:11.421195,340.328125,7
SLCT,OpenSSH,200,0:01:11.646412,340.5859375,8
SLCT,OpenSSH,200,0:01:11.360477,346.96875,9
SLCT,OpenSSH,200,0:01:11.183558,341.390625,10
