method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SLCT,Thunderbird,1,0:00:00.608284,90.08984375,1
SLCT,Thunderbird,1,0:00:00.622436,89.8046875,2
SLCT,Thunderbird,1,0:00:00.622241,90.08984375,3
SLCT,Thunderbird,1,0:00:00.619904,90.08984375,4
SLCT,Thunderbird,1,0:00:00.615873,89.99609375,5
SLCT,Thunderbird,1,0:00:00.613771,89.68359375,6
SLCT,Thunderbird,1,0:00:00.624032,89.76953125,7
SLCT,Thunderbird,1,0:00:00.617220,89.890625,8
SLCT,Thunderbird,1,0:00:00.614035,89.796875,9
SLCT,Thunderbird,1,0:00:00.609025,89.9296875,10
SLCT,Thunderbird,2,0:00:00.970336,92.48046875,1
SLCT,Thunderbird,2,0:00:00.981394,92.41015625,2
SLCT,Thunderbird,2,0:00:00.976781,92.3203125,3
SLCT,Thunderbird,2,0:00:00.982587,92.0078125,4
SLCT,Thunderbird,2,0:00:00.953337,92.08984375,5
SLCT,Thunderbird,2,0:00:00.957494,92.05859375,6
SLCT,Thunderbird,2,0:00:00.973778,91.93359375,7
SLCT,Thunderbird,2,0:00:00.974341,92.1328125,8
SLCT,Thunderbird,2,0:00:00.975650,91.86328125,9
SLCT,Thunderbird,2,0:00:00.966517,92.42578125,10
SLCT,Thunderbird,4,0:00:12.644714,96.23046875,1
SLCT,Thunderbird,4,0:00:12.679453,95.58203125,2
SLCT,Thunderbird,4,0:00:12.540822,95.7734375,3
SLCT,Thunderbird,4,0:00:12.784232,95.8671875,4
SLCT,Thunderbird,4,0:00:12.520151,95.6484375,5
SLCT,Thunderbird,4,0:00:12.651213,95.88671875,6
SLCT,Thunderbird,4,0:00:12.537909,96.19921875,7
SLCT,Thunderbird,4,0:00:12.601765,96.12109375,8
SLCT,Thunderbird,4,0:00:12.620838,95.88671875,9
SLCT,Thunderbird,4,0:00:12.583061,95.9765625,10
SLCT,Thunderbird,10,0:01:59.739885,106.76953125,1
SLCT,Thunderbird,10,0:02:01.120316,106.625,2
SLCT,Thunderbird,10,0:02:00.951979,107.0859375,3
SLCT,Thunderbird,10,0:02:00.755663,107.12890625,4
SLCT,Thunderbird,10,0:02:00.482857,106.56640625,5
SLCT,Thunderbird,10,0:02:00.763442,106.9375,6
SLCT,Thunderbird,10,0:02:00.649411,106.6796875,7
SLCT,Thunderbird,10,0:02:00.580666,107.01171875,8
SLCT,Thunderbird,10,0:02:00.650555,106.94140625,9
SLCT,Thunderbird,10,0:02:00.809120,106.75390625,10
SLCT,Thunderbird,20,0:09:05.221998,125.6953125,1
SLCT,Thunderbird,20,0:09:07.706196,125.77734375,2
SLCT,Thunderbird,20,0:09:11.667143,126.10546875,3
SLCT,Thunderbird,20,0:09:05.964680,126.06640625,4
SLCT,Thunderbird,20,0:09:09.062640,125.77734375,5
SLCT,Thunderbird,20,0:09:09.961156,125.5859375,6
SLCT,Thunderbird,20,0:09:08.738513,125.95703125,7
SLCT,Thunderbird,20,0:09:07.425564,125.8125,8
SLCT,Thunderbird,20,0:09:04.808211,126.0234375,9
