method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,1
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,2
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,3
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,4
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,5
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,6
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,7
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,8
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,9
SLCT,Windows,2,0.9994,0.8303,0.9071,0.6965,10
