method,dataset,log_size,elapsed_time,peak_memory,iteration_no
SLCT,Windows,1,0:00:00.594817,89.23828125,1
SLCT,Windows,1,0:00:00.596766,89.25,2
SLCT,Windows,1,0:00:00.601457,89.6015625,3
SLCT,Windows,1,0:00:00.602758,89.44921875,4
SLCT,Windows,1,0:00:00.594917,89.6015625,5
SLCT,Windows,1,0:00:00.596458,89.69921875,6
SLCT,Windows,1,0:00:00.602088,89.63671875,7
SLCT,Windows,1,0:00:00.594010,89.76171875,8
SLCT,Windows,1,0:00:00.599570,89.6171875,9
SLCT,Windows,1,0:00:00.617451,89.63671875,10
SLCT,Windows,2,0:00:00.795434,91.109375,1
SLCT,Windows,2,0:00:00.803741,91.10546875,2
SLCT,Windows,2,0:00:00.817629,90.8828125,3
SLCT,Windows,2,0:00:00.797303,91.21484375,4
SLCT,Windows,2,0:00:00.795379,90.890625,5
SLCT,Windows,2,0:00:00.811028,91.2734375,6
SLCT,Windows,2,0:00:00.820568,91.32421875,7
SLCT,Windows,2,0:00:00.799319,91.2578125,8
SLCT,Windows,2,0:00:00.812073,91.0390625,9
SLCT,Windows,2,0:00:00.787561,90.82421875,10
SLCT,Windows,4,0:04:57.189435,96.59375,1
SLCT,Windows,4,0:04:55.065791,96.08984375,2
SLCT,Windows,4,0:04:53.576736,96.12109375,3
SLCT,Windows,4,0:04:55.822242,96.0625,4
SLCT,Windows,4,0:04:54.416844,96.30078125,5
SLCT,Windows,4,0:04:56.440974,96.546875,6
SLCT,Windows,4,0:04:54.490677,96.26171875,7
SLCT,Windows,4,0:04:54.118430,96.1875,8
SLCT,Windows,4,0:04:53.642927,96.15625,9
SLCT,Windows,4,0:04:57.278998,96.56640625,10
SLCT,Windows,10,0:12:57.967559,106.05078125,1
SLCT,Windows,10,0:13:01.713871,105.99609375,2
SLCT,Windows,10,0:13:01.647172,105.9375,3
SLCT,Windows,10,0:12:56.915851,106.046875,4
SLCT,Windows,10,0:12:56.088373,105.96875,5
SLCT,Windows,10,0:13:04.895007,106.64453125,6
SLCT,Windows,10,0:12:57.269606,105.875,7
SLCT,Windows,10,0:12:59.999872,106.1171875,8
SLCT,Windows,10,0:12:53.956725,106.140625,9
SLCT,Windows,10,0:12:56.322275,106.1796875,10
SLCT,Windows,20,0:26:38.847159,122.625,1
SLCT,Windows,20,0:26:33.525182,122.4140625,2
SLCT,Windows,20,0:26:36.297265,122.73828125,3
SLCT,Windows,20,0:26:10.756466,122.42578125,4
SLCT,Windows,20,0:26:22.391148,122.7578125,5
SLCT,Windows,20,0:26:15.877681,122.40234375,6
SLCT,Windows,20,0:26:08.991229,122.67578125,7
SLCT,Windows,20,0:26:16.434414,122.6796875,8
