method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Spell,HDFS,1,0:00:00.203845,88.87109375,1
Spell,HDFS,1,0:00:00.205731,88.640625,2
Spell,HDFS,1,0:00:00.199553,88.7890625,3
Spell,HDFS,1,0:00:00.205294,88.48046875,4
Spell,HDFS,1,0:00:00.205477,88.60546875,5
Spell,HDFS,1,0:00:00.227670,88.36328125,6
Spell,HDFS,1,0:00:00.203115,88.41796875,7
Spell,HDFS,1,0:00:00.203946,88.80078125,8
Spell,HDFS,1,0:00:00.205932,88.359375,9
Spell,HDFS,1,0:00:00.204008,88.28125,10
Spell,HDFS,2,0:00:00.372723,89.6015625,1
Spell,HDFS,2,0:00:00.373456,89.91796875,2
Spell,HDFS,2,0:00:00.374279,89.59375,3
Spell,HDFS,2,0:00:00.375770,89.7109375,4
Spell,HDFS,2,0:00:00.376878,89.94921875,5
Spell,HDFS,2,0:00:00.372778,89.65234375,6
Spell,HDFS,2,0:00:00.376723,89.98828125,7
Spell,HDFS,2,0:00:00.376959,89.5,8
Spell,HDFS,2,0:00:00.379016,89.9765625,9
Spell,HDFS,2,0:00:00.377650,89.76171875,10
Spell,HDFS,4,0:00:00.698270,91.75390625,1
Spell,HDFS,4,0:00:00.708283,91.73828125,2
Spell,HDFS,4,0:00:00.708838,92.2265625,3
Spell,HDFS,4,0:00:00.712008,92.16015625,4
Spell,HDFS,4,0:00:00.713142,92.296875,5
Spell,HDFS,4,0:00:00.705401,92.19921875,6
Spell,HDFS,4,0:00:00.702800,91.94140625,7
Spell,HDFS,4,0:00:00.702221,91.875,8
Spell,HDFS,4,0:00:00.712826,92.0546875,9
Spell,HDFS,4,0:00:00.711316,91.84375,10
Spell,HDFS,10,0:00:01.705537,98.7109375,1
Spell,HDFS,10,0:00:01.714215,98.6953125,2
Spell,HDFS,10,0:00:01.709121,98.83984375,3
Spell,HDFS,10,0:00:01.715631,99.16015625,4
Spell,HDFS,10,0:00:01.740447,98.85546875,5
Spell,HDFS,10,0:00:01.690774,98.28125,6
Spell,HDFS,10,0:00:01.728846,98.4765625,7
Spell,HDFS,10,0:00:01.713166,98.703125,8
Spell,HDFS,10,0:00:01.701218,98.3671875,9
Spell,HDFS,10,0:00:01.723493,99.08203125,10
Spell,HDFS,20,0:00:03.471864,108.6171875,1
Spell,HDFS,20,0:00:03.448496,108.515625,2
Spell,HDFS,20,0:00:03.427883,107.38671875,3
Spell,HDFS,20,0:00:03.421162,108.25,4
Spell,HDFS,20,0:00:03.430639,108.12890625,5
Spell,HDFS,20,0:00:03.474865,108.92578125,6
Spell,HDFS,20,0:00:03.466041,108.69140625,7
Spell,HDFS,20,0:00:03.460077,108.99609375,8
Spell,HDFS,20,0:00:03.473110,108.9375,9
Spell,HDFS,20,0:00:03.476335,108.97265625,10
Spell,HDFS,50,0:00:08.535407,140.7578125,1
Spell,HDFS,50,0:00:08.536561,140.83984375,2
Spell,HDFS,50,0:00:08.511335,140.71875,3
Spell,HDFS,50,0:00:08.571140,141.08984375,4
Spell,HDFS,50,0:00:08.501286,140.63671875,5
Spell,HDFS,50,0:00:08.574253,141.20703125,6
Spell,HDFS,50,0:00:08.585003,141.09375,7
Spell,HDFS,50,0:00:08.646541,140.73828125,8
Spell,HDFS,50,0:00:08.489068,140.53515625,9
Spell,HDFS,50,0:00:08.529278,141.09375,10
Spell,HDFS,100,0:00:17.222683,193.98046875,1
Spell,HDFS,100,0:00:17.215496,194.0390625,2
Spell,HDFS,100,0:00:17.042662,193.8203125,3
Spell,HDFS,100,0:00:17.105701,193.61328125,4
Spell,HDFS,100,0:00:17.183287,193.65625,5
Spell,HDFS,100,0:00:17.078484,194.15625,6
