method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,1
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,2
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,3
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,4
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,5
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,6
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,7
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,8
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,9
Spell,OpenSSH,2,0.8638,0.9795,0.9180,0.5540,10
