method,dataset,log_size,elapsed_time,peak_memory,iteration_no
Spell,Windows,1,0:00:00.232140,88.66796875,1
Spell,Windows,1,0:00:00.215425,88.9453125,2
Spell,Windows,1,0:00:00.210961,88.69140625,3
Spell,Windows,1,0:00:00.214168,88.72265625,4
Spell,Windows,1,0:00:00.210687,88.8671875,5
Spell,Windows,1,0:00:00.204057,88.96484375,6
Spell,Windows,1,0:00:00.207713,88.93359375,7
Spell,Windows,1,0:00:00.212249,88.87109375,8
Spell,Windows,1,0:00:00.211367,88.90625,9
Spell,Windows,1,0:00:00.211601,88.609375,10
Spell,Windows,2,0:00:00.370494,89.8359375,1
Spell,Windows,2,0:00:00.371830,89.59765625,2
Spell,Windows,2,0:00:00.368194,89.515625,3
Spell,Windows,2,0:00:00.369709,89.56640625,4
Spell,Windows,2,0:00:00.369554,89.49609375,5
Spell,Windows,2,0:00:00.368609,89.24609375,6
Spell,Windows,2,0:00:00.370575,89.60546875,7
Spell,Windows,2,0:00:00.371927,89.5234375,8
Spell,Windows,2,0:00:00.369274,89.49609375,9
Spell,Windows,2,0:00:00.368732,89.48046875,10
Spell,Windows,4,0:00:00.676505,91.515625,1
Spell,Windows,4,0:00:00.681330,91.3125,2
Spell,Windows,4,0:00:00.690052,91.83984375,3
Spell,Windows,4,0:00:00.682196,91.50390625,4
Spell,Windows,4,0:00:00.687869,91.7734375,5
Spell,Windows,4,0:00:00.699438,91.546875,6
Spell,Windows,4,0:00:00.693126,91.16796875,7
Spell,Windows,4,0:00:00.679494,91.80859375,8
Spell,Windows,4,0:00:00.682655,91.4296875,9
Spell,Windows,4,0:00:00.679744,91.46484375,10
Spell,Windows,10,0:00:01.606623,97.13671875,1
Spell,Windows,10,0:00:01.623194,97.015625,2
Spell,Windows,10,0:00:01.612666,96.52734375,3
Spell,Windows,10,0:00:01.623497,97.0390625,4
Spell,Windows,10,0:00:01.611872,97.1328125,5
Spell,Windows,10,0:00:01.633075,97.078125,6
Spell,Windows,10,0:00:01.613638,97.4765625,7
Spell,Windows,10,0:00:01.599938,96.71875,8
Spell,Windows,10,0:00:01.604290,96.80078125,9
Spell,Windows,10,0:00:01.628604,97.15625,10
Spell,Windows,20,0:00:03.234812,105.1328125,1
Spell,Windows,20,0:00:03.193914,104.52734375,2
Spell,Windows,20,0:00:03.246192,105.88671875,3
Spell,Windows,20,0:00:03.223267,105.26953125,4
Spell,Windows,20,0:00:03.258955,105.734375,5
Spell,Windows,20,0:00:03.239164,105.69140625,6
Spell,Windows,20,0:00:03.266130,105.953125,7
Spell,Windows,20,0:00:03.226859,105.09765625,8
Spell,Windows,20,0:00:03.253503,104.54296875,9
Spell,Windows,20,0:00:03.234155,105.59765625,10
