method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,1
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,2
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,3
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,4
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,5
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,6
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,7
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,8
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,9
AEL,BGL,2,0.9992,1.0000,0.9996,0.9570,10
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,1
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,2
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,3
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,4
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,5
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,6
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,7
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,8
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,9
AEL,OpenStack,2,0.9725,1.0000,0.9860,0.7575,10
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,1
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,2
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,3
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,4
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,5
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,6
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,7
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,8
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,9
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,10
