method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,1
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,2
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,3
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,4
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,5
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,6
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,7
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,8
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,9
AEL,HDFS,2,1.0000,1.0000,1.0000,0.9975,10
