method,dataset,log_size,elapsed_time,peak_memory,iteration_no
AEL,HDFS,1,0:00:00.156237,89.03515625,1
AEL,HDFS,1,0:00:00.160626,89.18359375,2
AEL,HDFS,1,0:00:00.152120,89.18359375,3
AEL,HDFS,1,0:00:00.155336,89.25,4
AEL,HDFS,1,0:00:00.157849,89.19140625,5
AEL,HDFS,1,0:00:00.153616,88.94921875,6
AEL,HDFS,1,0:00:00.158222,89.30078125,7
AEL,HDFS,1,0:00:00.150565,89.08203125,8
AEL,HDFS,1,0:00:00.151637,89.30078125,9
AEL,HDFS,1,0:00:00.161066,89.1328125,10
AEL,HDFS,2,0:00:00.281074,89.98828125,1
AEL,HDFS,2,0:00:00.277095,90.328125,2
AEL,HDFS,2,0:00:00.271196,89.81640625,3
AEL,HDFS,2,0:00:00.271135,90.125,4
AEL,HDFS,2,0:00:00.281758,90.15625,5
AEL,HDFS,2,0:00:00.271377,90.34375,6
AEL,HDFS,2,0:00:00.274080,90.04296875,7
AEL,HDFS,2,0:00:00.276179,89.96875,8
AEL,HDFS,2,0:00:00.272387,90.03125,9
AEL,HDFS,2,0:00:00.277966,90.30859375,10
AEL,HDFS,4,0:00:00.501932,92.23828125,1
AEL,HDFS,4,0:00:00.509307,92.640625,2
AEL,HDFS,4,0:00:00.503453,92.5234375,3
AEL,HDFS,4,0:00:00.509590,91.9765625,4
AEL,HDFS,4,0:00:00.502860,92.20703125,5
AEL,HDFS,4,0:00:00.511840,92.703125,6
AEL,HDFS,4,0:00:00.499290,91.99609375,7
AEL,HDFS,4,0:00:00.504862,92.125,8
AEL,HDFS,4,0:00:00.507572,92.5546875,9
AEL,HDFS,4,0:00:00.499251,91.9140625,10
AEL,HDFS,10,0:00:01.221680,98.09765625,1
AEL,HDFS,10,0:00:01.221511,98.1015625,2
AEL,HDFS,10,0:00:01.216135,98.12890625,3
AEL,HDFS,10,0:00:01.221466,97.78515625,4
AEL,HDFS,10,0:00:01.243685,98.0078125,5
AEL,HDFS,10,0:00:01.230185,97.99609375,6
AEL,HDFS,10,0:00:01.225972,98.05078125,7
AEL,HDFS,10,0:00:01.238006,98.09375,8
AEL,HDFS,10,0:00:01.229108,98.0859375,9
AEL,HDFS,10,0:00:01.224803,98.046875,10
AEL,HDFS,20,0:00:02.392683,107.953125,1
AEL,HDFS,20,0:00:02.382252,108.1015625,2
AEL,HDFS,20,0:00:02.407039,108.01953125,3
AEL,HDFS,20,0:00:02.379060,108.30859375,4
AEL,HDFS,20,0:00:02.370583,108.1953125,5
AEL,HDFS,20,0:00:02.417247,108.16015625,6
AEL,HDFS,20,0:00:02.397545,108.359375,7
AEL,HDFS,20,0:00:02.385019,108.0234375,8
AEL,HDFS,20,0:00:02.413324,107.7578125,9
AEL,HDFS,20,0:00:02.429362,108.44921875,10
AEL,HDFS,50,0:00:05.888524,135.36328125,1
AEL,HDFS,50,0:00:05.869048,135.46484375,2
AEL,HDFS,50,0:00:05.965784,135.7734375,3
AEL,HDFS,50,0:00:05.984303,135.78515625,4
AEL,HDFS,50,0:00:05.927105,135.49609375,5
